gene,ligand,receptor,pair,cell_type,mean,std,n
ATP1A1,TGFB1,TGFBR2,TGFB1$TGFBR2,Endothelial,0.0,0.0,243
ATP1A1,TGFB1,ACVR1B,TGFB1$ACVR1B,Endothelial,0.0,0.0,243
ATP1A1,BMP2,BMPR1A,BMP2$BMPR1A,Endothelial,0.0,0.0,243
ATP1A1,BMP2,ACVR2A,BMP2$ACVR2A,Endothelial,0.0,0.0,243
ATP1A1,BMP2,BMPR2,BMP2$BMPR2,Endothelial,0.0,0.0,243
ATP1A1,BMP4,BMPR1A,BMP4$BMPR1A,Endothelial,0.0,0.0,243
ATP1A1,BMP4,ACVR2A,BMP4$ACVR2A,Endothelial,0.0,0.0,243
ATP1A1,BMP4,BMPR2,BMP4$BMPR2,Endothelial,0.0,0.0,243
ATP1A1,BMP6,ACVR2A,BMP6$ACVR2A,Endothelial,0.0,0.0,243
ATP1A1,BMP6,BMPR2,BMP6$BMPR2,Endothelial,0.0,0.0,243
ATP1A1,BMP6,BMPR1A,BMP6$BMPR1A,Endothelial,0.0,0.0,243
ATP1A1,BMP7,BMPR2,BMP7$BMPR2,Endothelial,0.0,0.0,243
ATP1A1,BMP8A,BMPR2,BMP8A$BMPR2,Endothelial,0.0,0.0,243
ATP1A1,BMP8A,BMPR1A,BMP8A$BMPR1A,Endothelial,0.0,0.0,243
ATP1A1,BMP8B,BMPR2,BMP8B$BMPR2,Endothelial,0.0,0.0,243
ATP1A1,BMP8B,BMPR1A,BMP8B$BMPR1A,Endothelial,0.0,0.0,243
ATP1A1,GDF2,ACVRL1,GDF2$ACVRL1,Endothelial,0.0,0.0,243
ATP1A1,GDF11,ACVR1B,GDF11$ACVR1B,Endothelial,0.0,0.0,243
ATP1A1,MSTN,ACVR1B,MSTN$ACVR1B,Endothelial,0.0,0.0,243
ATP1A1,MSTN,ACVR2A,MSTN$ACVR2A,Endothelial,0.0,0.0,243
ATP1A1,INHBA,ACVR1B,INHBA$ACVR1B,Endothelial,0.0,0.0,243
ATP1A1,TGFA,EGFR,TGFA$EGFR,Endothelial,0.0,0.0,243
ATP1A1,TGFA,ERBB2,TGFA$ERBB2,Endothelial,0.0,0.0,243
ATP1A1,HBEGF,EGFR,HBEGF$EGFR,Endothelial,0.0,0.0,243
ATP1A1,HBEGF,ERBB2,HBEGF$ERBB2,Endothelial,0.0,0.0,243
ATP1A1,EREG,ERBB2,EREG$ERBB2,Endothelial,0.0,0.0,243
ATP1A1,FGF2,FGFR3,FGF2$FGFR3,Endothelial,0.0,0.0,243
ATP1A1,FGF2,FGFR4,FGF2$FGFR4,Endothelial,0.0,0.0,243
ATP1A1,FGF7,FGFR2,FGF7$FGFR2,Endothelial,0.0,0.0,243
ATP1A1,FGF9,FGFR3,FGF9$FGFR3,Endothelial,0.0,0.0,243
ATP1A1,FGF9,FGFR4,FGF9$FGFR4,Endothelial,0.0,0.0,243
ATP1A1,PDGFA,PDGFRA,PDGFA$PDGFRA,Endothelial,0.0,0.0,243
ATP1A1,PDGFA,PDGFRB,PDGFA$PDGFRB,Endothelial,0.0,0.0,243
