gene,tf,cell_type,mean,std,n
CD3E,ARID3B,CD8 T Cell,2.259116,0.5377679,2451
CD3E,BCL6,CD8 T Cell,-0.29584086,0.097870216,2451
CD3E,BCL6B,CD8 T Cell,1.4902248,0.104432985,2451
CD3E,CTCF,CD8 T Cell,-0.09093924,0.1312576,2451
CD3E,EHF,CD8 T Cell,0.16715758,0.024820052,2451
CD3E,ELK4,CD8 T Cell,0.44883943,0.052230474,2451
CD3E,EP300,CD8 T Cell,0.6203884,0.37664434,2451
CD3E,ESRRA,CD8 T Cell,-0.08526583,0.09548577,2451
CD3E,ETV5,CD8 T Cell,0.16819726,0.011393602,2451
CD3E,FLI1,CD8 T Cell,-0.29544687,0.21897385,2451
CD3E,FOXA1,CD8 T Cell,-0.57217544,0.09716565,2451
CD3E,FOXD2,CD8 T Cell,2.0058794,0.13914017,2451
CD3E,FOXI1,CD8 T Cell,0.46475768,0.033203572,2451
CD3E,FOXJ2,CD8 T Cell,-3.056088,0.6676156,2451
CD3E,FOXL2,CD8 T Cell,-0.48611024,0.03919012,2451
CD3E,FOXO1,CD8 T Cell,3.6153877,0.51257825,2451
CD3E,FOXO3,CD8 T Cell,-0.8161501,0.066845685,2451
CD3E,FOXO4,CD8 T Cell,3.2631826,0.9661805,2451
CD3E,GATA1,CD8 T Cell,-0.41699687,0.033886407,2451
CD3E,GATA2,CD8 T Cell,-1.2224647,0.17596436,2451
CD3E,GATA3,CD8 T Cell,2.6022239,0.5445456,2451
CD3E,HOXA5,CD8 T Cell,-2.5261545,0.17937116,2451
CD3E,HOXB4,CD8 T Cell,-1.3428884,0.2507286,2451
CD3E,HOXB6,CD8 T Cell,-0.13384303,0.012779238,2451
CD3E,HOXB7,CD8 T Cell,0.0008092359,0.0019426674,2451
CD3E,HOXB9,CD8 T Cell,-0.22066821,0.020797847,2451
CD3E,IRX1,CD8 T Cell,-0.43835554,0.10143286,2451
CD3E,MECOM,CD8 T Cell,-1.1050578,0.088029355,2451
CD3E,MEF2A,CD8 T Cell,-3.7989404,0.7869698,2451
CD3E,MYEF2,CD8 T Cell,-2.396053,0.31041646,2451
CD3E,NR3C1,CD8 T Cell,1.719647,0.1341662,2451
CD3E,PDX1,CD8 T Cell,-0.059607405,0.07527881,2451
CD3E,PITX1,CD8 T Cell,-0.15733728,0.013366837,2451
CD3E,POU1F1,CD8 T Cell,-0.041492164,0.004950834,2451
CD3E,POU2F1,CD8 T Cell,-0.11654612,0.009005894,2451
CD3E,PPARGC1A,CD8 T Cell,-0.8003303,0.06787866,2451
CD3E,RUNX1,CD8 T Cell,-0.4548685,0.40543205,2451
CD3E,SIN3A,CD8 T Cell,-0.029165288,0.026818356,2451
CD3E,SMAD4,CD8 T Cell,0.41153958,0.031706244,2451
CD3E,STAT1,CD8 T Cell,0.001567079,0.0034083272,2451
CD3E,STAT3,CD8 T Cell,2.1912818,0.21624348,2451
CD3E,STAT5A,CD8 T Cell,3.800605,0.47640598,2451
CD3E,STAT5B,CD8 T Cell,1.5668447,0.14724243,2451
CD3E,TCF7L2,CD8 T Cell,0.8421207,0.059664182,2451
CD3E,THRA,CD8 T Cell,-0.17587227,0.18506049,2451
CD3E,THRB,CD8 T Cell,0.7499939,0.053659994,2451
CD3E,ZBTB1,CD8 T Cell,-0.00076321163,0.002705786,2451
CD3E,ARID3B,other,0.064696856,0.33738524,190549
CD3E,BCL6,other,-0.0039035694,0.04834316,190549
CD3E,BCL6B,other,0.03355875,0.21841761,190549
CD3E,CTCF,other,0.0029208784,0.024472043,190549
CD3E,EHF,other,0.0053410996,0.025943082,190549
CD3E,ELK4,other,0.016255455,0.06611841,190549
CD3E,EP300,other,0.015145373,0.09311024,190549
CD3E,ESRRA,other,0.0068777646,0.03355993,190549
CD3E,ETV5,other,0.016389498,0.027535783,190549
CD3E,FLI1,other,0.013603671,0.066355444,190549
CD3E,FOXA1,other,-0.014921441,0.08549461,190549
CD3E,FOXD2,other,0.05454916,0.29228187,190549
CD3E,FOXI1,other,0.018643951,0.06786514,190549
CD3E,FOXJ2,other,-0.058083527,0.463423,190549
CD3E,FOXL2,other,-0.007054779,0.073265895,190549
CD3E,FOXO1,other,0.07341386,0.5272089,190549
CD3E,FOXO3,other,-0.010886685,0.122184955,190549
CD3E,FOXO4,other,0.08312312,0.5139566,190549
CD3E,GATA1,other,-0.006796456,0.062038045,190549
CD3E,GATA2,other,-0.02914752,0.18092805,190549
CD3E,GATA3,other,0.07123723,0.39075467,190549
CD3E,HOXA5,other,-0.05105985,0.37026894,190549
CD3E,HOXB4,other,-0.025013702,0.19918028,190549
CD3E,HOXB6,other,0.008597106,0.0321732,190549
CD3E,HOXB7,other,0.002258761,0.0027987729,190549
CD3E,HOXB9,other,-0.00017333108,0.03561223,190549
CD3E,IRX1,other,0.002166125,0.06838088,190549
CD3E,MECOM,other,-0.01495891,0.16558413,190549
