cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
Endothelial_arterial,TAP1_TAP1,106,0.04716981132075472,0.6855495569258424,14.533650606827859,1.4694546,0.1603544628779725
Endothelial_arterial,AQP8_AQP8,106,0.009433962264150943,0.5164117769491929,54.73964835661445,1.9132016,-2.165678030342127
Endothelial_arterial,AQP7_AQP8,106,0.0,0.0,,2.7361963,-inf
Endothelial_arterial,AQP7_AQP7,106,0.03773584905660377,0.8137613606960893,21.564676058446366,2.3681648,2.460863574130429
Endothelial_arterial,ABCB1_SLC22A5,106,0.0,0.0,,2.6676981,-inf
Endothelial_arterial,ABCG2_SLC22A5,106,0.0,0.0,,2.7234275,-inf
Endothelial_arterial,ABCC3_SLC22A5,106,0.0,0.0,,2.6045208,-inf
Endothelial_arterial,ABCB1_SLC15A1,106,0.0,0.0,,2.9297879,-inf
Endothelial_arterial,CLCN3_CLCN3,106,0.0,0.0,,1.5686687,-inf
Endothelial_arterial,SLC9A3_SLC9A3,106,0.0,0.0929102613817849,,1.2688062,-inf
Endothelial_arterial,SLC9A1_SLC9A3,106,0.0,0.0,,2.6201904,-inf
Endothelial_arterial,SLC9A1_SLC9A1,106,0.0,0.0,,1.7745374,-inf
Endothelial_arterial,SLC6A9_SLC6A9,106,0.0,0.0,,2.4120698,-inf
Endothelial_arterial,SLC26A2_SLC26A3,106,0.0,0.0,,2.385733,-inf
Endothelial_arterial,SLC26A2_SLC26A2,106,0.0,0.1518033720334115,,0.7587173,-inf
Endothelial_arterial,SLC26A3_SLC26A3,106,0.0,0.0,,1.2777867,-inf
Endothelial_arterial,SCNN1A_SCNN1A,106,0.009433962264150943,0.07698327324458591,8.160226963926107,1.460482,-2.382203444646578
Endothelial_lymphatic,SLC16A1_SLC16A1,71,0.0,0.0,,1.9316024,-inf
Endothelial_lymphatic,SLCO2B1_SLCO2B1,71,0.014084507042253521,0.15377544545692576,10.918056627441729,1.6022105,-1.0469363139209065
Endothelial_lymphatic,SLC16A1_SLC22A5,71,0.0,0.0,,2.7406619,-inf
Endothelial_lymphatic,SLC22A5_SLC22A5,71,0.0,0.0,,1.6162763,-inf
Endothelial_lymphatic,SLC3A1_SLC3A1,71,0.0,0.0,,2.6253722,-inf
Endothelial_lymphatic,SLC40A1_SLC40A1,71,0.014084507042253521,0.1252142794123748,8.890213838278612,1.4945157,-1.4318538248234152
Endothelial_lymphatic,SLC16A9_SLC22A5,71,0.0,0.0,,2.863112,-inf
