gene,tf,cell_type,mean,std,n
CD3E,IRX1,Proliferating CD8 T cell,-0.46229005,0.044643026,19
CD3E,MECOM,Proliferating CD8 T cell,-1.1108575,0.016883617,19
CD3E,MEF2A,Proliferating CD8 T cell,-3.8925724,0.69626844,19
CD3E,MYEF2,Proliferating CD8 T cell,-2.4065576,0.3459537,19
CD3E,NR3C1,Proliferating CD8 T cell,1.7309841,0.06357901,19
CD3E,PDX1,Proliferating CD8 T cell,-0.07816744,0.081050746,19
CD3E,PITX1,Proliferating CD8 T cell,-0.15807183,0.0023269637,19
CD3E,POU1F1,Proliferating CD8 T cell,-0.041644346,0.004328472,19
CD3E,POU2F1,Proliferating CD8 T cell,-0.116620116,0.0040391237,19
CD3E,PPARGC1A,Proliferating CD8 T cell,-0.80724883,0.009662969,19
CD3E,RUNX1,Proliferating CD8 T cell,-0.46042356,0.42632392,19
CD3E,SIN3A,Proliferating CD8 T cell,-0.035921752,0.027603311,19
CD3E,SMAD4,Proliferating CD8 T cell,0.4124058,0.015717227,19
CD3E,STAT1,Proliferating CD8 T cell,0.0015485821,0.0047094338,19
CD3E,STAT3,Proliferating CD8 T cell,2.1810575,0.2717252,19
CD3E,STAT5A,Proliferating CD8 T cell,3.8781357,0.10188862,19
CD3E,STAT5B,Proliferating CD8 T cell,1.5910921,0.06878658,19
CD3E,TCF7L2,Proliferating CD8 T cell,0.8436812,0.02024568,19
CD3E,THRA,Proliferating CD8 T cell,-0.13265152,0.17489956,19
CD3E,THRB,Proliferating CD8 T cell,0.75359315,0.0035328565,19
CD3E,ZBTB1,Proliferating CD8 T cell,-0.000941573,0.0028328113,19
CD3E,ARID3B,other,0.064696856,0.33738524,190549
CD3E,BCL6,other,-0.0039035694,0.04834316,190549
CD3E,BCL6B,other,0.03355875,0.21841761,190549
CD3E,CTCF,other,0.0029208784,0.024472043,190549
CD3E,EHF,other,0.0053410996,0.025943082,190549
CD3E,ELK4,other,0.016255455,0.06611841,190549
CD3E,EP300,other,0.015145373,0.09311024,190549
CD3E,ESRRA,other,0.0068777646,0.03355993,190549
CD3E,ETV5,other,0.016389498,0.027535783,190549
CD3E,FLI1,other,0.013603671,0.066355444,190549
CD3E,FOXA1,other,-0.014921441,0.08549461,190549
CD3E,FOXD2,other,0.05454916,0.29228187,190549
CD3E,FOXI1,other,0.018643951,0.06786514,190549
CD3E,FOXJ2,other,-0.058083527,0.463423,190549
CD3E,FOXL2,other,-0.007054779,0.073265895,190549
CD3E,FOXO1,other,0.07341386,0.5272089,190549
CD3E,FOXO3,other,-0.010886685,0.122184955,190549
CD3E,FOXO4,other,0.08312312,0.5139566,190549
CD3E,GATA1,other,-0.006796456,0.062038045,190549
CD3E,GATA2,other,-0.02914752,0.18092805,190549
CD3E,GATA3,other,0.07123723,0.39075467,190549
CD3E,HOXA5,other,-0.05105985,0.37026894,190549
CD3E,HOXB4,other,-0.025013702,0.19918028,190549
CD3E,HOXB6,other,0.008597106,0.0321732,190549
CD3E,HOXB7,other,0.002258761,0.0027987729,190549
CD3E,HOXB9,other,-0.00017333108,0.03561223,190549
CD3E,IRX1,other,0.002166125,0.06838088,190549
CD3E,MECOM,other,-0.01495891,0.16558413,190549
CD3E,MEF2A,other,-0.07414118,0.56105256,190549
CD3E,MYEF2,other,-0.04601398,0.35725737,190549
CD3E,NR3C1,other,0.044760216,0.2499881,190549
CD3E,PDX1,other,0.0009548541,0.017818773,190549
CD3E,PITX1,other,-0.00036276525,0.030354792,190549
CD3E,POU1F1,other,0.0012759357,0.008767411,190549
CD3E,POU2F1,other,-0.008199903,0.02261065,190549
CD3E,PPARGC1A,other,-0.0032271117,0.12182049,190549
CD3E,RUNX1,other,-0.014549335,0.09774533,190549
CD3E,SIN3A,other,-0.0011520586,0.008977264,190549
CD3E,SMAD4,other,0.0048178313,0.06158114,190549
CD3E,STAT1,other,0.005503203,0.008722808,190549
CD3E,STAT3,other,0.051403075,0.32249916,190549
CD3E,STAT5A,other,0.09267734,0.5606259,190549
CD3E,STAT5B,other,0.036335558,0.2303639,190549
CD3E,TCF7L2,other,0.019375812,0.12322415,190549
CD3E,THRA,other,0.004714691,0.04733818,190549
CD3E,THRB,other,0.015312465,0.11061028,190549
CD3E,ZBTB1,other,0.003914829,0.0119678285,190549
CD3G,ATOH8,Effector CD8 T cell,0.02631646,0.0018778415,2432
CD3G,BCL11A,Effector CD8 T cell,-0.32708138,0.028544424,2432
CD3G,BCL11B,Effector CD8 T cell,0.36914805,0.026195232,2432
CD3G,CTCF,Effector CD8 T cell,0.22316647,0.019138886,2432
CD3G,CTCFL,Effector CD8 T cell,0.034194764,0.0011927516,2432
CD3G,E2F3,Effector CD8 T cell,0.045226045,0.00530521,2432
CD3G,E2F4,Effector CD8 T cell,0.06663074,0.004540328,2432
