gene,export,import,pair,cell_type,mean,std,n
CD3E,ABCA1,ABCA1,ABCA1@ABCA1,T Cell,-5.7879006e-06,4.1584126e-06,9364
CD3E,ATP7A,ATP7A,ATP7A@ATP7A,T Cell,-4.871437e-07,3.004529e-07,9364
CD3E,SLC16A4,SLC16A4,SLC16A4@SLC16A4,T Cell,1.42351555e-05,2.8771894e-06,9364
CD3E,SLC16A4,SLCO2B1,SLC16A4@SLCO2B1,T Cell,-2.4073556e-06,6.32867e-07,9364
CD3E,SLCO2B1,SLC16A4,SLCO2B1@SLC16A4,T Cell,3.3952774e-06,8.6167836e-07,9364
CD3E,SLC16A1,SLC16A1,SLC16A1@SLC16A1,T Cell,9.294091e-07,2.7256405e-07,9364
CD3E,SLC16A1,SLC16A4,SLC16A1@SLC16A4,T Cell,3.581016e-06,1.793169e-06,9364
CD3E,SLC16A4,SLC16A1,SLC16A4@SLC16A1,T Cell,8.202215e-06,2.020603e-06,9364
CD3E,SLCO2B1,SLCO2B1,SLCO2B1@SLCO2B1,T Cell,-2.934321e-05,6.218362e-06,9364
CD3E,SLC29A1,SLC29A1,SLC29A1@SLC29A1,T Cell,1.8354669e-05,5.8400324e-06,9364
CD3E,CD38,CD38,CD38@CD38,T Cell,-2.459665e-06,8.658526e-07,9364
CD3E,ATP7B,TAP1,ATP7B@TAP1,T Cell,-7.625084e-09,5.046441e-09,9364
CD3E,ATP7A,TAP1,ATP7A@TAP1,T Cell,7.973916e-06,1.8971244e-06,9364
CD3E,TAP1,ATP7A,TAP1@ATP7A,T Cell,1.1117509e-06,4.0408864e-07,9364
CD3E,TAP1,TAP1,TAP1@TAP1,T Cell,1.4647289e-05,4.594449e-06,9364
CD3E,ABCC2,ABCC2,ABCC2@ABCC2,T Cell,6.790635e-08,1.5972846e-08,9364
CD3E,SLC39A8,SLC39A8,SLC39A8@SLC39A8,T Cell,2.2406208e-08,5.599501e-09,9364
CD3E,CLCN5,CLCN5,CLCN5@CLCN5,T Cell,1.9476681e-07,1.4580948e-07,9364
CD3E,CLCN3,CLCN3,CLCN3@CLCN3,T Cell,9.429346e-06,7.414838e-06,9364
