sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,24_11_12_ICI_5K_Fine_annotations_n_sig_pairs,24_11_12_ICI_5K_Fine_annotations_interactions,24_11_12_ICI_5K_Fine_annotations_within_Tcell,24_11_12_ICI_5K_Fine_annotations_Tcell_interfaces,24_11_12_ICI_5K_Fine_annotations_tcell_involved,25_06_11_ICI_5K_Coarse_annotations_n_sig_pairs,25_06_11_ICI_5K_Coarse_annotations_interactions,25_06_11_ICI_5K_Coarse_annotations_within_Tcell,25_06_11_ICI_5K_Coarse_annotations_Tcell_interfaces,25_06_11_ICI_5K_Coarse_annotations_tcell_involved
13473_HS4_UC-Slice_2,Bilirubin,3,"ABCC2, SLCO1B1",False,0.9025333432050852,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,Butyrate,1,SLC16A1,True,0.0047830955591052,1,2,IEC_Colonocyte_NOS–T_CD8 (1.9e-02); IEC_Colonocyte_NOS–MNP_macrophage (4.5e-02),,IEC_Colonocyte_NOS–T_CD8 (1.9e-02); IEC_Colonocyte_NOS–MNP_macrophage (4.5e-02),True,1,IEC (self) (4.7e-03),IEC (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,Cadmium,1,SLC39A8,True,0.0026752907364487,1,9,Enteric_glia–T_CD8 (7.7e-03); IEC_Goblet_2–T_CD4 (7.7e-03); IEC_BEST4_OTOP2–IEC_ISC (1.7e-02); Fibroblast_CTF_S2–IEC_Colonocyte_NOS (2.0e-02); IEC_Goblet–MNP_macrophage (2.1e-02); IEC_Goblet (self) (2.7e-02); IEC_Colonocyte_NOS–IEC_Goblet_2 (3.7e-02); IEC_Goblet_2–Muscularis_mucosa (4.8e-02); IEC_Colonocyte_NOS–MNP_macrophage (4.9e-02),IEC_Goblet (self) (2.7e-02),Enteric_glia–T_CD8 (7.7e-03); IEC_Goblet_2–T_CD4 (7.7e-03); IEC_BEST4_OTOP2–IEC_ISC (1.7e-02); Fibroblast_CTF_S2–IEC_Colonocyte_NOS (2.0e-02); IEC_Goblet–MNP_macrophage (2.1e-02); IEC_Colonocyte_NOS–IEC_Goblet_2 (3.7e-02); IEC_Goblet_2–Muscularis_mucosa (4.8e-02); IEC_Colonocyte_NOS–MNP_macrophage (4.9e-02),True,4,Enteric_glia–T (2.5e-03); Fibroblast–IEC (2.5e-03); IEC–MNP (1.5e-02); IEC (self) (2.4e-02),IEC (self) (2.4e-02),Enteric_glia–T (2.5e-03); Fibroblast–IEC (2.5e-03); IEC–MNP (1.5e-02),True
13473_HS4_UC-Slice_2,Calcidiol,3,"CUBN, LRP2",True,0.0252547455330689,1,1,IEC_Colonocyte_NOS (self) (2.4e-03),IEC_Colonocyte_NOS (self) (2.4e-03),,True,0,,,,False
13473_HS4_UC-Slice_2,Calcium,1,CUBN,False,0.0947052973839971,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,Calcium release-activated calcium transport,1,ORAI3,False,0.6218980876604716,0,0,,,,False,0,,,,False
13473_HS4_UC-Slice_2,Chenodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",False,0.12364302786688,1,3,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),True,1,Fibroblast (self) (4.7e-03),Fibroblast (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,Chenodeoxycholic acid 3-sulfate,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",False,0.12364302786688,1,3,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),,Fibroblast_CTF_S2–Fibroblast_cCF_S1 (2.4e-03); IEC_Goblet–MNP_macrophage (6.1e-03); Plasma–T_CD8 (4.0e-02),True,1,Fibroblast (self) (4.7e-03),Fibroblast (self) (4.7e-03),,True
13473_HS4_UC-Slice_2,Chloride,3,"CLCN3, CLCN5",True,0.0026752907364487,1,8,IEC_Goblet_2–IEC_NOS2_DUOX2_colonocyte (2.4e-03); IEC_Goblet–Muscularis_mucosa (6.1e-03); Endothelial_arterial–IEC_ISC (7.7e-03); Endothelial_arterial–IEC_Goblet_2 (1.9e-02); Fibroblast_CTF_S2–IEC_Goblet (2.0e-02); MNP_macrophage (self) (3.2e-02); IEC_CT_absorptive_colonocyte–T_CD8 (3.4e-02); Plasma–T_gd_and_ambiguous (4.2e-02),MNP_macrophage (self) (3.2e-02),IEC_Goblet_2–IEC_NOS2_DUOX2_colonocyte (2.4e-03); IEC_Goblet–Muscularis_mucosa (6.1e-03); Endothelial_arterial–IEC_ISC (7.7e-03); Endothelial_arterial–IEC_Goblet_2 (1.9e-02); Fibroblast_CTF_S2–IEC_Goblet (2.0e-02); IEC_CT_absorptive_colonocyte–T_CD8 (3.4e-02); Plasma–T_gd_and_ambiguous (4.2e-02),True,2,MNP (self) (2.4e-02); IEC–Plasma (4.6e-02),MNP (self) (2.4e-02),IEC–Plasma (4.6e-02),True
13473_HS4_UC-Slice_2,Chloride ion,6,"SLC12A2, SLC12A6, SLC5A7",True,0.0111156453863835,2,6,Myofibroblast–T_CD4 (4.4e-03); IEC_Colonocyte_NOS–IEC_Goblet_2 (7.7e-03); MNP_mDC–MNP_macrophage (7.7e-03); Muscularis_mucosa–Plasma (1.5e-02); IEC_BEST4_OTOP2–IEC_Goblet (2.0e-02); IEC_Goblet_2 (self) (2.5e-02),IEC_Goblet_2 (self) (2.5e-02),Myofibroblast–T_CD4 (4.4e-03); IEC_Colonocyte_NOS–IEC_Goblet_2 (7.7e-03); MNP_mDC–MNP_macrophage (7.7e-03); Muscularis_mucosa–Plasma (1.5e-02); IEC_BEST4_OTOP2–IEC_Goblet (2.0e-02),True,5,IEC (self) (8.5e-03); Muscularis_mucosa–Plasma (1.5e-02); Myofibroblast–T (2.6e-02); Fibroblast–IEC (3.4e-02); MNP (self) (3.5e-02),IEC (self) (8.5e-03); MNP (self) (3.5e-02),Muscularis_mucosa–Plasma (1.5e-02); Myofibroblast–T (2.6e-02); Fibroblast–IEC (3.4e-02),True
