gene,ligand,tf,pair,cell_type,mean,std,n
HIF1A,TNFSF10,KLF4,TNFSF10#KLF4,T Cell,0.0,0.0,9364
HIF1A,WNT3A,KLF5,WNT3A#KLF5,T Cell,0.0,0.0,9364
HIF1A,PDGFC,KLF5,PDGFC#KLF5,T Cell,0.0,0.0,9364
HIF1A,TGFB3,MYC,TGFB3#MYC,T Cell,0.0,0.0,9364
HIF1A,ADM,PAX1,ADM#PAX1,T Cell,0.0,0.0,9364
HIF1A,WNT5A,PAX8,WNT5A#PAX8,T Cell,0.0,0.0,9364
HIF1A,IL18,POLR2A,IL18#POLR2A,T Cell,0.0,0.0,9364
HIF1A,TGFA,POLR2A,TGFA#POLR2A,T Cell,0.0,0.0,9364
HIF1A,IL6,POU5F1,IL6#POU5F1,T Cell,0.0,0.0,9364
HIF1A,IL36G,PPARD,IL36G#PPARD,T Cell,0.0,0.0,9364
HIF1A,INHBA,PRDM1,INHBA#PRDM1,T Cell,0.0,0.0,9364
HIF1A,VEGFA,PRDM1,VEGFA#PRDM1,T Cell,0.0,0.0,9364
HIF1A,WNT3A,PRDM1,WNT3A#PRDM1,T Cell,0.0,0.0,9364
HIF1A,IL36G,PRDM1,IL36G#PRDM1,T Cell,0.0,0.0,9364
HIF1A,IL18,RREB1,IL18#RREB1,T Cell,0.0,0.0,9364
HIF1A,ANGPTL4,RREB1,ANGPTL4#RREB1,T Cell,0.0,0.0,9364
HIF1A,ADM,RREB1,ADM#RREB1,T Cell,0.0,0.0,9364
HIF1A,BMP2,RXRA,BMP2#RXRA,T Cell,0.0,0.0,9364
HIF1A,CXCL12,RXRA,CXCL12#RXRA,T Cell,0.0,0.0,9364
HIF1A,IL18,SIN3A,IL18#SIN3A,T Cell,0.0,0.0,9364
HIF1A,CXCL12,SIN3A,CXCL12#SIN3A,T Cell,0.0,0.0,9364
HIF1A,IL6,SMAD1,IL6#SMAD1,T Cell,0.0,0.0,9364
HIF1A,IL18,SMAD1,IL18#SMAD1,T Cell,0.0,0.0,9364
HIF1A,PDGFA,SP1,PDGFA#SP1,T Cell,0.0,0.0,9364
HIF1A,IL6,STAT3,IL6#STAT3,T Cell,0.0,0.0,9364
HIF1A,PDGFA,TAF1,PDGFA#TAF1,T Cell,0.0,0.0,9364
HIF1A,PDGFD,ATF3,PDGFD#ATF3,other,-4.933877e-10,2.345675e-09,103187
HIF1A,ANGPTL4,BRCA1,ANGPTL4#BRCA1,other,-1.9028649e-08,1.0754929e-07,103187
HIF1A,IL18,E2F1,IL18#E2F1,other,-2.3019037e-08,1.3011494e-07,103187
HIF1A,VEGFA,EGR3,VEGFA#EGR3,other,-3.096819e-07,1.7508223e-06,103187
HIF1A,IL18,EMX2,IL18#EMX2,other,-3.9313836e-08,1.8202455e-07,103187
HIF1A,VEGFA,ETS1,VEGFA#ETS1,other,7.893444e-09,4.648906e-08,103187
HIF1A,CXCL12,FOXJ2,CXCL12#FOXJ2,other,-4.7634017e-09,2.2636351e-08,103187
HIF1A,TGFA,FOXN1,TGFA#FOXN1,other,-2.639894e-08,1.4921386e-07,103187
HIF1A,VEGFA,FOXO4,VEGFA#FOXO4,other,-6.471873e-07,3.6580054e-06,103187
HIF1A,BMP4,GATA3,BMP4#GATA3,other,-1.5154629e-07,8.565503e-07,103187
HIF1A,BMP4,HES1,BMP4#HES1,other,-1.49453e-07,8.446161e-07,103187
HIF1A,VEGFA,HLX,VEGFA#HLX,other,-4.2154563e-10,2.12235e-09,103187
HIF1A,VEGFA,KLF4,VEGFA#KLF4,other,-6.0209986e-06,3.403051e-05,103187
HIF1A,TNFSF10,KLF4,TNFSF10#KLF4,other,-1.8928708e-06,1.0677559e-05,103187
