gene,metabolite,cell_type,mean,std,n
CD3E,D-Glucose,T Cell,0.00075766584,0.000117680516,9364
CD3E,D-Galactose|D-Mannose,T Cell,0.00083666947,0.00015223022,9364
CD3E,Glucosamine,T Cell,5.2214453e-08,3.5044827e-08,9364
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,T Cell,0.0008461269,0.00015862663,9364
CD3E,D-Xylose|D-Maltose,T Cell,0.0005310008,0.00012568236,9364
CD3E,L-Glutamine,T Cell,-0.0018944406,0.00022272652,9364
CD3E,L-Alanine|L-Asparagine|L-Threonine,T Cell,-3.1596435e-05,1.0872129e-05,9364
CD3E,L-Cysteine,T Cell,-0.00020901399,5.2642794e-05,9364
CD3E,L-Histidine|L-Tyrosine,T Cell,8.088705e-05,1.43895095e-05,9364
CD3E,L-Serine,T Cell,-9.265241e-05,2.2105674e-05,9364
CD3E,L-Methionine|L-Phenylalanine,T Cell,-6.798116e-05,1.7977221e-05,9364
CD3E,L-Lactate,T Cell,-0.0003366517,8.602649e-05,9364
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,T Cell,-1.6975098e-05,8.493648e-06,9364
CD3E,Nicotinate,T Cell,-0.002103864,0.00024451147,9364
CD3E,L-Glutamate,T Cell,-0.00080443127,0.00013468492,9364
CD3E,L-Aspartate|D-Aspartate,T Cell,2.1760302e-07,5.7537846e-08,9364
CD3E,L-Cystine,T Cell,-3.7520874e-06,1.553478e-06,9364
CD3E,Zinc,T Cell,-2.68574e-06,6.4391094e-07,9364
CD3E,Iron,T Cell,-0.0034176547,0.00035514004,9364
CD3E,Cadmium,T Cell,-1.7347011e-06,1.0222374e-06,9364
CD3E,Manganese,T Cell,-8.4528365e-06,2.5035895e-06,9364
CD3E,L-Carnitine,T Cell,-1.1048483e-08,8.333942e-09,9364
CD3E,Sodium,T Cell,-0.0009728072,0.00012480703,9364
CD3E,Acetate,T Cell,-0.0035058458,0.00036035973,9364
CD3E,L-Leucine,T Cell,-0.00042679094,7.922736e-05,9364
CD3E,L-Arginine,T Cell,7.404047e-05,2.0769892e-05,9364
CD3E,Fatty acid,T Cell,-0.0013611655,0.00019794176,9364
CD3E,25-Hydroxycholesterol,T Cell,-0.0008123518,0.00014053173,9364
CD3E,Cholesterol,T Cell,1.7892406e-05,3.8592234e-06,9364
CD3E,Phosphate,T Cell,2.2422039e-07,6.897032e-08,9364
CD3E,Ethanol,T Cell,-0.00063835096,0.00011339048,9364
CD3E,Folic acid,T Cell,-3.5577676e-05,2.6474689e-05,9364
CD3E,Heme,T Cell,-0.0008918582,0.0001428026,9364
CD3E,Citric acid|Oxalic acid,T Cell,-0.0010940287,0.00016216084,9364
CD3E,Malic acid,T Cell,2.064481e-07,5.5557553e-08,9364
CD3E,L-Valine|L-Isoleucine,T Cell,-4.7071484e-08,3.545639e-08,9364
CD3E,Adenosine|Uridine|Inosine|Cytidine|Guanosine,T Cell,-0.00059027254,0.0001069541,9364
CD3E,Thymidine,T Cell,-0.00059818645,0.00011207809,9364
CD3E,Vitamin D3,T Cell,-4.9811e-07,8.1981034e-07,9364
CD3E,Urea,T Cell,0.0,0.0,9364
CD3E,Adenosine diphosphate ribose,T Cell,6.3905186e-06,3.6645336e-06,9364
CD3E,Chloride ion,T Cell,1.9289557e-07,1.2728603e-07,9364
CD3E,alpha-Tocopherol,T Cell,-1.7525894e-05,5.771607e-06,9364
CD3E,Taurocholic acid,T Cell,-0.0024218026,0.0002751097,9364
CD3E,Bilirubin,T Cell,5.3150387e-08,2.7187935e-08,9364
CD3E,Glutathione,T Cell,-3.0064566e-05,9.4597e-06,9364
CD3E,Estradiol,T Cell,-0.0007148821,0.0001265283,9364
CD3E,Adenosine triphosphate,T Cell,0.0013483345,0.00019210883,9364
CD3E,Cholic acid,T Cell,9.107312e-05,3.260457e-05,9364
CD3E,Leukotriene C4,T Cell,-7.708204e-06,1.9245606e-06,9364
CD3E,ADP,T Cell,5.101156e-07,9.235613e-08,9364
CD3E,Folinic acid,T Cell,1.5337961e-06,5.064721e-07,9364
CD3E,Progesterone,T Cell,2.3568537e-05,7.409996e-06,9364
CD3E,17a-Ethynylestradiol,T Cell,3.6639754e-05,8.993182e-06,9364
CD3E,Water,T Cell,1.2233882e-07,2.4174655e-08,9364
CD3E,"3',4'-Dihydrodiol",T Cell,3.3949334e-05,8.684376e-06,9364
CD3E,4-ene-Valproic acid,T Cell,-4.7518115e-05,1.2719958e-05,9364
CD3E,O-Desmethylverapamil (D-702),T Cell,6.440773e-05,4.699971e-05,9364
CD3E,4'-Hydroxydiclofenac,T Cell,7.125403e-05,1.8873821e-05,9364
