gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TGFB1,TGFBR1,TGFB1$TGFBR1,CD8 T Cell,7.74978e-08,1.5840294e-08,9364
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,CD8 T Cell,-8.463711e-07,1.5721909e-07,9364
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,CD8 T Cell,0.0,0.0,9364
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,CD8 T Cell,-0.00014673488,3.4165187e-05,9364
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,CD8 T Cell,-4.1628937e-05,1.4174909e-05,9364
CD3E,TGFB3,ACVR1,TGFB3$ACVR1,CD8 T Cell,1.1680726e-07,3.4499035e-08,9364
CD3E,BMP7,BMPR2,BMP7$BMPR2,CD8 T Cell,0.0,0.0,9364
CD3E,BMP8A,BMPR2,BMP8A$BMPR2,CD8 T Cell,-2.6765038e-08,1.9140824e-08,9364
CD3E,BMP8B,ACVR1,BMP8B$ACVR1,CD8 T Cell,2.524575e-07,1.5511137e-07,9364
CD3E,BMP8B,ACVR2A,BMP8B$ACVR2A,CD8 T Cell,-2.4815513e-08,5.150565e-09,9364
CD3E,BMP8B,BMPR2,BMP8B$BMPR2,CD8 T Cell,-9.9319395e-06,1.9441045e-06,9364
CD3E,BMP8B,BMPR1A,BMP8B$BMPR1A,CD8 T Cell,9.137479e-07,2.2607246e-07,9364
CD3E,GDF11,TGFBR1,GDF11$TGFBR1,CD8 T Cell,-3.4581253e-06,1.2502129e-06,9364
CD3E,GDF11,ACVR2A,GDF11$ACVR2A,CD8 T Cell,-1.6079855e-06,4.931636e-07,9364
CD3E,GDF11,ACVR1B,GDF11$ACVR1B,CD8 T Cell,-2.0441095e-07,1.1577368e-07,9364
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,CD8 T Cell,0.00013808886,9.334696e-05,9364
CD3E,INHBA,ACVR1B,INHBA$ACVR1B,CD8 T Cell,-2.5273832e-07,6.848634e-08,9364
CD3E,INHBA,ACVR2A,INHBA$ACVR2A,CD8 T Cell,-1.7194929e-05,3.9380793e-06,9364
