gene,tf,cell_type,mean,std,n
CD3E,ARID3B,CD8 T Cell,0.38280883,0.0313502,9364
CD3E,BCL6,CD8 T Cell,-2.2160208,0.21452162,9364
CD3E,BCL6B,CD8 T Cell,-0.47946498,0.07583862,9364
CD3E,CTCF,CD8 T Cell,0.20603992,0.01908718,9364
CD3E,EHF,CD8 T Cell,0.031042084,0.008023758,9364
CD3E,ELK4,CD8 T Cell,1.4168748,0.28182945,9364
CD3E,EP300,CD8 T Cell,0.24672806,0.060424164,9364
CD3E,ESRRA,CD8 T Cell,-0.4556951,0.1882069,9364
CD3E,ETV5,CD8 T Cell,-0.8413351,0.106427684,9364
CD3E,FLI1,CD8 T Cell,2.451333,0.20023623,9364
CD3E,FOXA1,CD8 T Cell,0.37374273,0.03428257,9364
CD3E,FOXD2,CD8 T Cell,0.09640923,0.060314976,9364
CD3E,FOXI1,CD8 T Cell,-0.030117236,0.0030751796,9364
CD3E,FOXJ2,CD8 T Cell,0.018015081,0.032923505,9364
CD3E,FOXL2,CD8 T Cell,0.17080867,0.015656412,9364
CD3E,FOXO1,CD8 T Cell,0.11053211,0.057992276,9364
CD3E,FOXO3,CD8 T Cell,-0.34310323,0.031557497,9364
CD3E,FOXO4,CD8 T Cell,2.789579,0.29756436,9364
CD3E,GATA1,CD8 T Cell,-0.20819183,0.045013163,9364
CD3E,GATA2,CD8 T Cell,-0.6739388,0.09390153,9364
CD3E,GATA3,CD8 T Cell,2.2797582,0.3142864,9364
CD3E,HOXA5,CD8 T Cell,-0.521288,0.16538075,9364
CD3E,HOXB4,CD8 T Cell,-0.4708949,0.040928803,9364
CD3E,HOXB6,CD8 T Cell,0.4385635,0.051751785,9364
CD3E,HOXB7,CD8 T Cell,-0.029544106,0.009368948,9364
CD3E,HOXB9,CD8 T Cell,0.014859252,0.017132001,9364
CD3E,IRX1,CD8 T Cell,-1.5590289,0.21284488,9364
CD3E,MECOM,CD8 T Cell,0.45206544,0.04115518,9364
CD3E,MEF2A,CD8 T Cell,-1.2641459,0.1825383,9364
CD3E,MYEF2,CD8 T Cell,-0.20307475,0.16900179,9364
CD3E,NR3C1,CD8 T Cell,-0.57263964,0.21501295,9364
CD3E,PDX1,CD8 T Cell,0.34248614,0.029929373,9364
CD3E,PITX1,CD8 T Cell,0.103266016,0.00673591,9364
CD3E,POU1F1,CD8 T Cell,-0.34946102,0.031922843,9364
CD3E,POU2F1,CD8 T Cell,-0.13688159,0.10711683,9364
CD3E,PPARGC1A,CD8 T Cell,-0.46066213,0.03677519,9364
CD3E,RUNX1,CD8 T Cell,0.0006842359,0.0072623338,9364
CD3E,SIN3A,CD8 T Cell,1.312152,0.121539846,9364
CD3E,SMAD4,CD8 T Cell,-0.5879709,0.052063495,9364
CD3E,STAT1,CD8 T Cell,-0.12974004,0.026741466,9364
CD3E,STAT3,CD8 T Cell,-0.82864714,0.11078805,9364
CD3E,STAT5A,CD8 T Cell,0.43712306,0.037865933,9364
CD3E,STAT5B,CD8 T Cell,1.9321331,0.17843704,9364
CD3E,TCF7L2,CD8 T Cell,-1.7215143,0.16220638,9364
CD3E,THRA,CD8 T Cell,0.6977605,0.3859441,9364
CD3E,THRB,CD8 T Cell,-0.8697419,0.086529076,9364
CD3E,ZBTB1,CD8 T Cell,2.437994,0.22112712,9364
CD3E,ARID3B,other,0.10776691,0.20818977,103187
CD3E,BCL6,other,-0.23708837,0.71972895,103187
