gene,tf,cell_type,mean,std,n
CD3E,ARID3B,CD4 T Cell,-0.1510393,0.40071464,34384
CD3E,BCL6,CD4 T Cell,-0.27757555,0.24127895,34384
CD3E,BCL6B,CD4 T Cell,-0.5233395,0.6367984,34384
CD3E,CTCF,CD4 T Cell,0.20882449,0.30841723,34384
CD3E,EHF,CD4 T Cell,0.5906608,0.9136543,34384
CD3E,ELK4,CD4 T Cell,0.7989293,0.6579933,34384
CD3E,EP300,CD4 T Cell,0.41233018,0.63315475,34384
CD3E,ESRRA,CD4 T Cell,-0.72300494,1.1495188,34384
CD3E,ETV5,CD4 T Cell,-0.087234996,0.06787928,34384
CD3E,FLI1,CD4 T Cell,0.33698002,0.13690566,34384
CD3E,FOXA1,CD4 T Cell,-0.1139962,0.17406681,34384
CD3E,FOXD2,CD4 T Cell,-0.08535276,0.052024107,34384
CD3E,FOXI1,CD4 T Cell,0.03527258,0.016479399,34384
CD3E,FOXJ2,CD4 T Cell,0.30512553,0.69062215,34384
CD3E,FOXL2,CD4 T Cell,0.008010567,0.093998484,34384
CD3E,FOXO1,CD4 T Cell,0.36175412,0.36866364,34384
CD3E,FOXO3,CD4 T Cell,-0.18715625,0.282354,34384
CD3E,FOXO4,CD4 T Cell,-0.23843098,0.7144918,34384
CD3E,GATA1,CD4 T Cell,0.13096346,0.1955603,34384
CD3E,GATA2,CD4 T Cell,0.0371709,0.44436547,34384
CD3E,GATA3,CD4 T Cell,0.9234231,0.46237838,34384
CD3E,HOXA5,CD4 T Cell,-0.37120265,1.03236,34384
CD3E,HOXB4,CD4 T Cell,-0.21945846,0.75378525,34384
CD3E,HOXB6,CD4 T Cell,-0.32949516,0.5743345,34384
CD3E,HOXB7,CD4 T Cell,0.065694585,0.1534481,34384
CD3E,HOXB9,CD4 T Cell,0.23328757,0.56760865,34384
CD3E,IRX1,CD4 T Cell,0.019511113,0.030972706,34384
CD3E,MECOM,CD4 T Cell,-0.38399112,0.99462223,34384
CD3E,MEF2A,CD4 T Cell,-0.28254715,0.44377205,34384
CD3E,MYEF2,CD4 T Cell,0.23247355,0.22209023,34384
CD3E,NR3C1,CD4 T Cell,0.19690417,0.37200966,34384
CD3E,PDX1,CD4 T Cell,-0.082498,0.03295896,34384
CD3E,PITX1,CD4 T Cell,0.0048625395,0.16641635,34384
CD3E,POU1F1,CD4 T Cell,-0.13014777,0.29106417,34384
CD3E,POU2F1,CD4 T Cell,-0.21112251,0.23552075,34384
CD3E,PPARGC1A,CD4 T Cell,0.067516394,0.33684528,34384
CD3E,RUNX1,CD4 T Cell,-0.042178072,0.06322878,34384
CD3E,SIN3A,CD4 T Cell,0.05609247,0.08034543,34384
CD3E,SMAD4,CD4 T Cell,0.06679008,0.12594944,34384
CD3E,STAT1,CD4 T Cell,0.016426612,0.050424095,34384
CD3E,STAT3,CD4 T Cell,-0.022764081,0.09054521,34384
CD3E,STAT5A,CD4 T Cell,0.012041105,0.13252182,34384
CD3E,STAT5B,CD4 T Cell,0.17004429,0.2555328,34384
CD3E,TCF7L2,CD4 T Cell,-0.54425824,0.7857711,34384
CD3E,THRA,CD4 T Cell,-0.117765926,0.11343242,34384
CD3E,THRB,CD4 T Cell,0.34591773,0.35321867,34384
CD3E,ZBTB1,CD4 T Cell,0.44113734,0.8242895,34384
CD3E,ARID3B,CD8 T Cell,-0.44225574,0.5682815,12339
CD3E,BCL6,CD8 T Cell,-0.43253326,0.28369403,12339
CD3E,BCL6B,CD8 T Cell,-1.5000932,0.6940653,12339
CD3E,CTCF,CD8 T Cell,0.69070494,0.1377341,12339
CD3E,EHF,CD8 T Cell,2.1430304,0.52704865,12339
CD3E,ELK4,CD8 T Cell,1.8250494,0.13511993,12339
CD3E,EP300,CD8 T Cell,1.4125367,0.12094484,12339
CD3E,ESRRA,CD8 T Cell,-2.707173,0.9985263,12339
CD3E,ETV5,CD8 T Cell,0.002945815,0.008802282,12339
CD3E,FLI1,CD8 T Cell,0.51698893,0.101921536,12339
CD3E,FOXA1,CD8 T Cell,-0.37164223,0.14583977,12339
CD3E,FOXD2,CD8 T Cell,-0.10369104,0.022881974,12339
CD3E,FOXI1,CD8 T Cell,0.024786877,0.019059105,12339
CD3E,FOXJ2,CD8 T Cell,1.3857204,0.14662275,12339
CD3E,FOXL2,CD8 T Cell,-0.17630458,0.1760348,12339
CD3E,FOXO1,CD8 T Cell,0.9917781,0.38535222,12339
CD3E,FOXO3,CD8 T Cell,-0.6274096,0.07980473,12339
CD3E,FOXO4,CD8 T Cell,-1.4959384,0.8454546,12339
CD3E,GATA1,CD8 T Cell,0.43983477,0.035686314,12339
CD3E,GATA2,CD8 T Cell,-0.75342274,0.5458155,12339
CD3E,GATA3,CD8 T Cell,0.8699233,0.22978903,12339
CD3E,HOXA5,CD8 T Cell,-1.9690788,0.19423768,12339
CD3E,HOXB4,CD8 T Cell,-1.4171292,0.4680231,12339
CD3E,HOXB6,CD8 T Cell,-0.8936163,0.58278936,12339
CD3E,HOXB7,CD8 T Cell,0.31049523,0.04069389,12339
CD3E,HOXB9,CD8 T Cell,1.1206641,0.14203526,12339
CD3E,IRX1,CD8 T Cell,0.04398432,0.03657428,12339
CD3E,MECOM,CD8 T Cell,-1.9556596,0.16213816,12339
CD3E,MEF2A,CD8 T Cell,-0.9846124,0.1502538,12339
CD3E,MYEF2,CD8 T Cell,0.011808628,0.018869134,12339
CD3E,NR3C1,CD8 T Cell,0.82208633,0.2616138,12339
CD3E,PDX1,CD8 T Cell,-0.08943906,0.0060174684,12339
CD3E,PITX1,CD8 T Cell,-0.25705218,0.026770957,12339
CD3E,POU1F1,CD8 T Cell,-0.49358696,0.21505542,12339
CD3E,POU2F1,CD8 T Cell,-0.59490275,0.39029005,12339
CD3E,PPARGC1A,CD8 T Cell,0.6165727,0.26772854,12339
CD3E,RUNX1,CD8 T Cell,0.030360846,0.038836654,12339
CD3E,SIN3A,CD8 T Cell,-0.092691846,0.08397744,12339
CD3E,SMAD4,CD8 T Cell,0.26117173,0.025731206,12339
CD3E,STAT1,CD8 T Cell,-0.05948904,0.014461107,12339
CD3E,STAT3,CD8 T Cell,0.13087058,0.096996255,12339
CD3E,STAT5A,CD8 T Cell,-0.092243865,0.13149147,12339
CD3E,STAT5B,CD8 T Cell,0.5672856,0.042626686,12339
CD3E,TCF7L2,CD8 T Cell,-1.8023666,0.38737863,12339
CD3E,THRA,CD8 T Cell,-0.10781717,0.1363941,12339
CD3E,THRB,CD8 T Cell,-0.14116876,0.064348996,12339
CD3E,ZBTB1,CD8 T Cell,1.7666024,0.1812,12339
CD3E,ARID3B,other,-0.054072976,0.280229,231605
CD3E,BCL6,other,-0.078836456,0.22946809,231605
CD3E,BCL6B,other,-0.16082922,0.47015947,231605
CD3E,CTCF,other,0.13632469,0.22852834,231605
CD3E,EHF,other,0.18217729,0.6784752,231605
CD3E,ELK4,other,0.2981313,0.5476019,231605
CD3E,EP300,other,0.14281556,0.44902897,231605
CD3E,ESRRA,other,-0.27137014,0.83002603,231605
CD3E,ETV5,other,-0.005093392,0.10731761,231605
CD3E,FLI1,other,0.2799814,0.33612198,231605
CD3E,FOXA1,other,-0.02005035,0.16235124,231605
CD3E,FOXD2,other,-0.061567795,0.11337831,231605
CD3E,FOXI1,other,0.0012807918,0.05129253,231605
CD3E,FOXJ2,other,0.15005936,0.44151023,231605
CD3E,FOXL2,other,-0.017182315,0.0672747,231605
CD3E,FOXO1,other,0.1330262,0.30552343,231605
CD3E,FOXO3,other,-0.100599825,0.2090725,231605
CD3E,FOXO4,other,-0.11334577,0.4586544,231605
CD3E,GATA1,other,0.049872003,0.14159723,231605
CD3E,GATA2,other,-0.01897729,0.3324167,231605
CD3E,GATA3,other,0.4399101,0.5412026,231605
CD3E,HOXA5,other,-0.2218186,0.6388841,231605
CD3E,HOXB4,other,-0.16952603,0.44841847,231605
