gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,CD4 T Cell,7.233654e-08,1.1553388e-07,34384
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,CD4 T Cell,3.5258195e-06,6.03541e-06,34384
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,CD4 T Cell,1.4728078e-05,1.05546105e-05,34384
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,CD4 T Cell,3.0582392e-05,2.0540396e-05,34384
CD3E,BMP2,BMPR2,BMP2$BMPR2,CD4 T Cell,-2.3113371e-07,3.741453e-07,34384
CD3E,BMP5,BMPR2,BMP5$BMPR2,CD4 T Cell,-7.576796e-08,1.2829035e-07,34384
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,CD4 T Cell,1.9328162e-07,1.7539286e-07,34384
CD3E,TGFA,EGFR,TGFA$EGFR,CD4 T Cell,-2.1792978e-08,3.766833e-08,34384
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,CD4 T Cell,-2.8519602e-07,4.790646e-07,34384
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,CD4 T Cell,-1.5514547e-06,2.6591647e-06,34384
CD3E,PDGFC,PDGFRA,PDGFC$PDGFRA,CD4 T Cell,-5.3602466e-06,8.7811195e-06,34384
CD3E,VEGFA,KDR,VEGFA$KDR,CD4 T Cell,-7.106324e-07,1.1825546e-06,34384
CD3E,VEGFD,KDR,VEGFD$KDR,CD4 T Cell,-2.809706e-08,4.6154586e-08,34384
CD3E,CCL8,CCR1,CCL8$CCR1,CD4 T Cell,-2.912676e-05,2.1869284e-05,34384
CD3E,CCL7,CCR1,CCL7$CCR1,CD4 T Cell,-2.075778e-05,1.498351e-05,34384
CD3E,CCL13,CCR1,CCL13$CCR1,CD4 T Cell,-8.6434346e-05,6.046967e-05,34384
CD3E,CCL14,CCR1,CCL14$CCR1,CD4 T Cell,2.2323215e-06,1.7806806e-06,34384
CD3E,CCL22,CCR4,CCL22$CCR4,CD4 T Cell,-2.1526913e-07,3.6219964e-07,34384
CD3E,CCL19,CCR7,CCL19$CCR7,CD4 T Cell,-2.928045e-06,7.3412602e-06,34384
CD3E,CXCL9,CXCR3,CXCL9$CXCR3,CD4 T Cell,5.10539e-06,1.15756575e-05,34384
CD3E,CXCL10,CXCR3,CXCL10$CXCR3,CD4 T Cell,2.747723e-08,2.7005447e-07,34384
CD3E,CXCL13,CXCR3,CXCL13$CXCR3,CD4 T Cell,-8.928934e-07,2.991363e-06,34384
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,CD4 T Cell,0.0017324134,0.00070679124,34384
CD3E,CXCL13,CXCR5,CXCL13$CXCR5,CD4 T Cell,1.4471041e-09,1.3985931e-08,34384
CD3E,CXCL16,CXCR6,CXCL16$CXCR6,CD4 T Cell,0.00010814149,0.00017925639,34384
CD3E,CX3CL1,CX3CR1,CX3CL1$CX3CR1,CD4 T Cell,-4.059488e-06,6.8578e-06,34384
CD3E,IL2,IL2RG,IL2$IL2RG,CD4 T Cell,1.22004495e-08,2.0093358e-08,34384
CD3E,IL7,IL2RG,IL7$IL2RG,CD4 T Cell,1.2648151e-05,2.1429141e-05,34384
CD3E,IL15,IL2RG,IL15$IL2RG,CD4 T Cell,7.893082e-06,5.977663e-06,34384
CD3E,IL6,IL6ST,IL6$IL6ST,CD4 T Cell,2.1210456e-06,3.5559804e-06,34384
CD3E,EBI3,IL6ST,EBI3$IL6ST,CD4 T Cell,-9.663884e-07,1.5942711e-06,34384
CD3E,IL34,CSF1R,IL34$CSF1R,CD4 T Cell,4.512646e-06,3.4293935e-06,34384
CD3E,CSF1,CSF1R,CSF1$CSF1R,CD4 T Cell,8.822463e-06,7.15698e-06,34384
CD3E,IL16,CD4,IL16$CD4,CD4 T Cell,0.0007367955,0.0011154121,34384
CD3E,LTA,TNFRSF14,LTA$TNFRSF14,CD4 T Cell,-9.936109e-09,1.6426556e-08,34384
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,CD4 T Cell,1.2329872e-05,2.0092972e-05,34384
CD3E,TNFSF12,TNFRSF12A,TNFSF12$TNFRSF12A,CD4 T Cell,2.3366228e-08,4.0750106e-08,34384
CD3E,TNFSF13B,TNFRSF13C,TNFSF13B$TNFRSF13C,CD4 T Cell,-1.7349801e-07,8.729323e-07,34384
CD3E,CD40LG,ITGAM,CD40LG$ITGAM,CD4 T Cell,3.532406e-05,2.6010292e-05,34384
CD3E,CD40LG,ITGB2,CD40LG$ITGB2,CD4 T Cell,0.0003001878,0.00021164537,34384
CD3E,RETN,TLR4,RETN$TLR4,CD4 T Cell,-7.972699e-06,6.0466236e-06,34384
CD3E,ANGPTL2,TLR4,ANGPTL2$TLR4,CD4 T Cell,4.0838677e-06,2.8327108e-06,34384
CD3E,ANGPTL4,CDH11,ANGPTL4$CDH11,CD4 T Cell,-2.6869433e-09,4.5857957e-09,34384
CD3E,ANGPT1,TEK,ANGPT1$TEK,CD4 T Cell,-5.4470854e-09,8.935417e-09,34384
CD3E,POSTN,ITGAV,POSTN$ITGAV,CD4 T Cell,7.957487e-06,9.112527e-06,34384
CD3E,POSTN,ITGB5,POSTN$ITGB5,CD4 T Cell,0.0001403001,0.00013361916,34384
CD3E,C4A,C3AR1,C4A$C3AR1,CD4 T Cell,5.0614526e-05,3.7858215e-05,34384
CD3E,C4A,CR2,C4A$CR2,CD4 T Cell,-1.6274473e-07,1.5660852e-06,34384
CD3E,GZMA,F2R,GZMA$F2R,CD4 T Cell,1.1432684e-05,1.9347486e-05,34384
CD3E,FLT3LG,FLT3,FLT3LG$FLT3,CD4 T Cell,8.614731e-10,1.597423e-07,34384
CD3E,SEMA3C,NRP1,SEMA3C$NRP1,CD4 T Cell,-7.211242e-05,2.2021091e-05,34384
CD3E,SEMA3C,NRP2,SEMA3C$NRP2,CD4 T Cell,-4.2178735e-06,3.2224045e-06,34384
CD3E,ADM,CALCRL,ADM$CALCRL,CD4 T Cell,-2.9189556e-07,5.0072686e-07,34384
CD3E,GAS6,AXL,GAS6$AXL,CD4 T Cell,0.00011860968,0.00011123875,34384
CD3E,GAS6,TYRO3,GAS6$TYRO3,CD4 T Cell,7.2818036e-11,1.1903623e-10,34384
CD3E,GRN,SORT1,GRN$SORT1,CD4 T Cell,-0.00010013042,3.6761703e-05,34384
CD3E,PROS1,AXL,PROS1$AXL,CD4 T Cell,3.910007e-08,5.3813046e-08,34384
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,CD4 T Cell,1.4599002e-05,1.6120883e-05,34384
CD3E,BAG6,NCR3,BAG6$NCR3,CD4 T Cell,-1.892338e-05,3.0911586e-05,34384
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,CD4 T Cell,-9.158038e-05,0.00011880486,34384
CD3E,LGALS9,CD44,LGALS9$CD44,CD4 T Cell,0.0003449274,0.0007419992,34384
CD3E,LAMB3,CD44,LAMB3$CD44,CD4 T Cell,2.4524854e-07,4.042767e-07,34384
CD3E,CD40LG,CD40,CD40LG$CD40,CD4 T Cell,1.0441131e-05,7.427422e-06,34384
CD3E,CD99,CD99,CD99$CD99,CD4 T Cell,1.796136e-06,3.0156375e-06,34384
CD3E,CDH1,CDH1,CDH1$CDH1,CD4 T Cell,2.513467e-07,4.0940486e-07,34384
CD3E,CDH1,ITGAE,CDH1$ITGAE,CD4 T Cell,5.919744e-07,9.979926e-07,34384
CD3E,ICAM1,ITGB2,ICAM1$ITGB2,CD4 T Cell,-1.7085487e-06,1.284266e-06,34384
CD3E,ICAM1,ITGAL,ICAM1$ITGAL,CD4 T Cell,8.928021e-07,1.4738025e-06,34384
CD3E,ITGB2,ICAM1,ITGB2$ICAM1,CD4 T Cell,-8.463682e-06,6.168571e-06,34384
CD3E,F11R,ITGAL,F11R$ITGAL,CD4 T Cell,3.0457545e-06,4.9947776e-06,34384
CD3E,F11R,F11R,F11R$F11R,CD4 T Cell,-1.6052252e-07,2.6844882e-07,34384
CD3E,LCK,CD8A,LCK$CD8A,CD4 T Cell,2.05507e-05,3.395569e-05,34384
CD3E,PECAM1,PECAM1,PECAM1$PECAM1,CD4 T Cell,-1.7912411e-08,2.9385832e-08,34384
CD3E,THY1,ITGB2,THY1$ITGB2,CD4 T Cell,6.9713783e-06,4.968984e-06,34384
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,CD8 T Cell,2.3730594e-07,5.7065694e-08,12339
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,CD8 T Cell,1.2484531e-05,5.0952676e-06,12339
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,CD8 T Cell,2.4896854e-08,7.3313674e-07,12339
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,CD8 T Cell,2.4640565e-06,1.5708166e-06,12339
CD3E,BMP2,BMPR2,BMP2$BMPR2,CD8 T Cell,-8.3617573e-07,1.6049005e-07,12339
CD3E,BMP5,BMPR2,BMP5$BMPR2,CD8 T Cell,-2.9499236e-07,1.18224726e-07,12339
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,CD8 T Cell,5.116526e-07,1.9565361e-07,12339
CD3E,TGFA,EGFR,TGFA$EGFR,CD8 T Cell,-5.9227027e-08,3.3910972e-08,12339
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,CD8 T Cell,-9.825947e-07,3.1045266e-07,12339
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,CD8 T Cell,-4.963826e-06,1.8766741e-06,12339
CD3E,PDGFC,PDGFRA,PDGFC$PDGFRA,CD8 T Cell,-1.7352473e-05,4.3519663e-06,12339
CD3E,VEGFA,KDR,VEGFA$KDR,CD8 T Cell,-2.7330375e-06,7.68129e-07,12339
CD3E,VEGFD,KDR,VEGFD$KDR,CD8 T Cell,-9.0611756e-08,2.2953532e-08,12339
CD3E,CCL8,CCR1,CCL8$CCR1,CD8 T Cell,-4.673145e-08,1.4165445e-06,12339
CD3E,CCL7,CCR1,CCL7$CCR1,CD8 T Cell,-3.6855447e-08,1.0835778e-06,12339
CD3E,CCL13,CCR1,CCL13$CCR1,CD8 T Cell,-1.6171911e-07,4.7073195e-06,12339
CD3E,CCL14,CCR1,CCL14$CCR1,CD8 T Cell,4.2908113e-09,1.2577274e-07,12339
CD3E,CCL22,CCR4,CCL22$CCR4,CD8 T Cell,-9.3009214e-07,3.0575708e-07,12339
CD3E,CCL19,CCR7,CCL19$CCR7,CD8 T Cell,-1.2559012e-05,2.3296532e-06,12339
CD3E,CXCL9,CXCR3,CXCL9$CXCR3,CD8 T Cell,-4.00216e-06,1.5505307e-06,12339
CD3E,CXCL10,CXCR3,CXCL10$CXCR3,CD8 T Cell,0.0,0.0,12339
CD3E,CXCL13,CXCR3,CXCL13$CXCR3,CD8 T Cell,-3.2990629e-06,1.2595796e-06,12339
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,CD8 T Cell,0.0027260552,0.00023657104,12339
CD3E,CXCL13,CXCR5,CXCL13$CXCR5,CD8 T Cell,0.0,0.0,12339
CD3E,CXCL16,CXCR6,CXCL16$CXCR6,CD8 T Cell,0.0004454146,0.00012359442,12339
CD3E,CX3CL1,CX3CR1,CX3CL1$CX3CR1,CD8 T Cell,-1.749463e-05,6.40045e-06,12339
CD3E,IL2,IL2RG,IL2$IL2RG,CD8 T Cell,4.8664738e-08,1.646212e-08,12339
CD3E,IL7,IL2RG,IL7$IL2RG,CD8 T Cell,5.4406384e-05,1.8629944e-05,12339
CD3E,IL15,IL2RG,IL15$IL2RG,CD8 T Cell,-5.775696e-08,4.475014e-07,12339
CD3E,IL6,IL6ST,IL6$IL6ST,CD8 T Cell,8.810614e-06,2.9512612e-06,12339
CD3E,EBI3,IL6ST,EBI3$IL6ST,CD8 T Cell,-3.9851166e-06,1.1658657e-06,12339
CD3E,IL34,CSF1R,IL34$CSF1R,CD8 T Cell,6.6789747e-09,2.0649105e-07,12339
CD3E,CSF1,CSF1R,CSF1$CSF1R,CD8 T Cell,-1.1251667e-06,7.148604e-07,12339
CD3E,IL16,CD4,IL16$CD4,CD8 T Cell,-0.00073341496,0.00040574092,12339
CD3E,LTA,TNFRSF14,LTA$TNFRSF14,CD8 T Cell,-2.900983e-08,1.2092103e-08,12339
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,CD8 T Cell,4.2483396e-05,9.252096e-06,12339
CD3E,TNFSF12,TNFRSF12A,TNFSF12$TNFRSF12A,CD8 T Cell,5.913542e-08,4.1052385e-08,12339
CD3E,TNFSF13B,TNFRSF13C,TNFSF13B$TNFRSF13C,CD8 T Cell,-9.569784e-07,2.9494018e-07,12339
CD3E,CD40LG,ITGAM,CD40LG$ITGAM,CD8 T Cell,5.7398307e-08,1.7193393e-06,12339
CD3E,CD40LG,ITGB2,CD40LG$ITGB2,CD8 T Cell,-1.9874892e-06,1.6096008e-05,12339
CD3E,RETN,TLR4,RETN$TLR4,CD8 T Cell,-1.6057209e-08,4.889729e-07,12339
CD3E,ANGPTL2,TLR4,ANGPTL2$TLR4,CD8 T Cell,7.3445348e-09,2.1294991e-07,12339
CD3E,ANGPTL4,CDH11,ANGPTL4$CDH11,CD8 T Cell,-1.1421928e-08,4.029777e-09,12339
CD3E,ANGPT1,TEK,ANGPT1$TEK,CD8 T Cell,-2.0786876e-08,5.091204e-09,12339
CD3E,POSTN,ITGAV,POSTN$ITGAV,CD8 T Cell,-6.004661e-06,1.7125699e-06,12339
CD3E,POSTN,ITGB5,POSTN$ITGB5,CD8 T Cell,-4.762426e-05,2.255641e-05,12339
CD3E,C4A,C3AR1,C4A$C3AR1,CD8 T Cell,9.429993e-08,2.755147e-06,12339
CD3E,C4A,CR2,C4A$CR2,CD8 T Cell,0.0,0.0,12339
CD3E,GZMA,F2R,GZMA$F2R,CD8 T Cell,4.7254696e-05,1.6020587e-05,12339
