group,left,right,count
metab,0.070655145,0.074068576,0
metab,0.074068576,0.077482015,0
metab,0.077482015,0.080895446,0
metab,0.080895446,0.084308885,0
metab,0.084308885,0.08772232,0
metab,0.08772232,0.09113575,0
metab,0.09113575,0.09454919,0
metab,0.09454919,0.09796262,0
metab,0.09796262,0.10137606,1
metab,0.10137606,0.10478949,0
metab,0.10478949,0.10820293,0
metab,0.10820293,0.11161636,0
metab,0.11161636,0.1150298,0
metab,0.1150298,0.11844323,1
tf,-1.0188763,-0.9586368,1
tf,-0.9586368,-0.8983973,0
tf,-0.8983973,-0.8381578,1
tf,-0.8381578,-0.7779183,2
tf,-0.7779183,-0.7176788,0
tf,-0.7176788,-0.6574393,1
tf,-0.6574393,-0.59719974,3
tf,-0.59719974,-0.53696024,2
tf,-0.53696024,-0.47672075,4
tf,-0.47672075,-0.41648123,4
tf,-0.41648123,-0.35624173,7
tf,-0.35624173,-0.2960022,8
tf,-0.2960022,-0.23576272,20
tf,-0.23576272,-0.1755232,17
tf,-0.1755232,-0.11528369,97
tf,-0.11528369,-0.055044185,460
tf,-0.055044185,0.0051953243,8424
tf,0.0051953243,0.065434836,2032
tf,0.065434836,0.12567434,480
tf,0.12567434,0.18591385,147
tf,0.18591385,0.24615335,58
tf,0.24615335,0.30639288,32
tf,0.30639288,0.36663237,14
tf,0.36663237,0.4268719,7
tf,0.4268719,0.4871114,5
tf,0.4871114,0.5473509,11
tf,0.5473509,0.6075904,2
tf,0.6075904,0.66782993,3
tf,0.66782993,0.7280694,0
tf,0.7280694,0.7883089,1
tf,0.7883089,0.8485484,4
tf,0.8485484,0.90878797,2
tf,0.90878797,0.96902746,2
tf,0.96902746,1.029267,1
tf,1.029267,1.0895065,2
tf,1.0895065,1.149746,1
tf,1.149746,1.2099855,0
tf,1.2099855,1.270225,0
tf,1.270225,1.3304645,0
tf,1.3304645,1.390704,0
tf,1.390704,1.4509435,2
tf,1.4509435,1.511183,0
tf,1.511183,1.5714226,0
tf,1.5714226,1.631662,0
tf,1.631662,1.6919016,0
tf,1.6919016,1.7521411,0
tf,1.7521411,1.8123806,0
tf,1.8123806,1.8726201,0
tf,1.8726201,1.9328595,0
tf,1.9328595,1.9930991,1
