gene,ligand,tf,pair,cell_type,mean,std,n
ATP1A1,CCL15,CREB3,CCL15#CREB3,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL18,E2F1,IL18#E2F1,Endothelial_arterial,0.0,0.0,106
ATP1A1,PDGFA,ETV6,PDGFA#ETV6,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP4,GRHL2,BMP4#GRHL2,Endothelial_arterial,0.0,0.0,106
ATP1A1,GAS6,GRHL2,GAS6#GRHL2,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL26,HDAC2,IL26#HDAC2,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP2,HES1,BMP2#HES1,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP4,HES1,BMP4#HES1,Endothelial_arterial,0.0,0.0,106
ATP1A1,IGF1,HNF4A,IGF1#HNF4A,Endothelial_arterial,0.0,0.0,106
ATP1A1,TGFB1,HNF4A,TGFB1#HNF4A,Endothelial_arterial,0.0,0.0,106
ATP1A1,WNT5A,HNF4A,WNT5A#HNF4A,Endothelial_arterial,0.0,0.0,106
ATP1A1,IFNB1,IRF1,IFNB1#IRF1,Endothelial_arterial,0.0,0.0,106
ATP1A1,EGF,JUN,EGF#JUN,Endothelial_arterial,0.0,0.0,106
ATP1A1,TGFA,JUN,TGFA#JUN,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL18,KLF16,IL18#KLF16,Endothelial_arterial,0.0,0.0,106
ATP1A1,IFNG,KLF4,IFNG#KLF4,Endothelial_arterial,0.0,0.0,106
ATP1A1,VEGFA,KLF4,VEGFA#KLF4,Endothelial_arterial,0.0,0.0,106
ATP1A1,TNFSF10,KLF4,TNFSF10#KLF4,Endothelial_arterial,0.0,0.0,106
ATP1A1,PDGFB,KLF4,PDGFB#KLF4,Endothelial_arterial,0.0,0.0,106
ATP1A1,PDGFC,KLF5,PDGFC#KLF5,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP6,KLF5,BMP6#KLF5,Endothelial_arterial,0.0,0.0,106
ATP1A1,PDGFB,KLF5,PDGFB#KLF5,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL26,MAX,IL26#MAX,Endothelial_arterial,0.0,0.0,106
ATP1A1,CXCL12,OVOL2,CXCL12#OVOL2,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL18,POLR2A,IL18#POLR2A,Endothelial_arterial,0.0,0.0,106
ATP1A1,TGFA,POLR2A,TGFA#POLR2A,Endothelial_arterial,0.0,0.0,106
ATP1A1,VEGFA,PRDM1,VEGFA#PRDM1,Endothelial_arterial,0.0,0.0,106
ATP1A1,CXCL12,RELA,CXCL12#RELA,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP2,REST,BMP2#REST,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP2,RXRA,BMP2#RXRA,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP6,RXRA,BMP6#RXRA,Endothelial_arterial,0.0,0.0,106
ATP1A1,EGF,RXRA,EGF#RXRA,Endothelial_arterial,0.0,0.0,106
ATP1A1,CXCL12,RXRA,CXCL12#RXRA,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL18,SIN3A,IL18#SIN3A,Endothelial_arterial,0.0,0.0,106
ATP1A1,CXCL12,SIN3A,CXCL12#SIN3A,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL18,SMAD1,IL18#SMAD1,Endothelial_arterial,0.0,0.0,106
ATP1A1,PTHLH,SMAD4,PTHLH#SMAD4,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP6,SMAD4,BMP6#SMAD4,Endothelial_arterial,0.0,0.0,106
ATP1A1,LIF,SMC3,LIF#SMC3,Endothelial_arterial,0.0,0.0,106
ATP1A1,PDGFA,SP1,PDGFA#SP1,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL18,SREBF1,IL18#SREBF1,Endothelial_arterial,0.0,0.0,106
ATP1A1,GAS6,TFEB,GAS6#TFEB,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL13,VDR,IL13#VDR,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP6,VDR,BMP6#VDR,Endothelial_arterial,0.0,0.0,106
ATP1A1,GDF11,VDR,GDF11#VDR,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL12A,XBP1,IL12A#XBP1,Endothelial_arterial,0.0,0.0,106
ATP1A1,IL15,XBP1,IL15#XBP1,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP2,ZBTB1,BMP2#ZBTB1,Endothelial_arterial,0.0,0.0,106
ATP1A1,BMP6,ZBTB1,BMP6#ZBTB1,Endothelial_arterial,0.0,0.0,106
ATP1A1,CXCL12,ZBTB4,CXCL12#ZBTB4,Endothelial_arterial,0.0,0.0,106
ATP1A1,CCL15,CREB3,CCL15#CREB3,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL18,E2F1,IL18#E2F1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,PDGFA,ETV6,PDGFA#ETV6,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP4,GRHL2,BMP4#GRHL2,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,GAS6,GRHL2,GAS6#GRHL2,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL26,HDAC2,IL26#HDAC2,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP2,HES1,BMP2#HES1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP4,HES1,BMP4#HES1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IGF1,HNF4A,IGF1#HNF4A,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,TGFB1,HNF4A,TGFB1#HNF4A,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,WNT5A,HNF4A,WNT5A#HNF4A,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IFNB1,IRF1,IFNB1#IRF1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,EGF,JUN,EGF#JUN,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,TGFA,JUN,TGFA#JUN,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL18,KLF16,IL18#KLF16,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IFNG,KLF4,IFNG#KLF4,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,VEGFA,KLF4,VEGFA#KLF4,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,TNFSF10,KLF4,TNFSF10#KLF4,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,PDGFB,KLF4,PDGFB#KLF4,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,PDGFC,KLF5,PDGFC#KLF5,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP6,KLF5,BMP6#KLF5,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,PDGFB,KLF5,PDGFB#KLF5,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL26,MAX,IL26#MAX,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,CXCL12,OVOL2,CXCL12#OVOL2,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL18,POLR2A,IL18#POLR2A,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,TGFA,POLR2A,TGFA#POLR2A,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,VEGFA,PRDM1,VEGFA#PRDM1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,CXCL12,RELA,CXCL12#RELA,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP2,REST,BMP2#REST,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP2,RXRA,BMP2#RXRA,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP6,RXRA,BMP6#RXRA,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,EGF,RXRA,EGF#RXRA,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,CXCL12,RXRA,CXCL12#RXRA,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL18,SIN3A,IL18#SIN3A,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,CXCL12,SIN3A,CXCL12#SIN3A,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL18,SMAD1,IL18#SMAD1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,PTHLH,SMAD4,PTHLH#SMAD4,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP6,SMAD4,BMP6#SMAD4,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,LIF,SMC3,LIF#SMC3,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,PDGFA,SP1,PDGFA#SP1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL18,SREBF1,IL18#SREBF1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,GAS6,TFEB,GAS6#TFEB,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL13,VDR,IL13#VDR,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP6,VDR,BMP6#VDR,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,GDF11,VDR,GDF11#VDR,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL12A,XBP1,IL12A#XBP1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,IL15,XBP1,IL15#XBP1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP2,ZBTB1,BMP2#ZBTB1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,BMP6,ZBTB1,BMP6#ZBTB1,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,CXCL12,ZBTB4,CXCL12#ZBTB4,Endothelial_lymphatic,0.0,0.0,71
ATP1A1,CCL15,CREB3,CCL15#CREB3,Endothelial_venous,0.0,0.0,88
ATP1A1,IL18,E2F1,IL18#E2F1,Endothelial_venous,0.0,0.0,88
ATP1A1,PDGFA,ETV6,PDGFA#ETV6,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP4,GRHL2,BMP4#GRHL2,Endothelial_venous,0.0,0.0,88
ATP1A1,GAS6,GRHL2,GAS6#GRHL2,Endothelial_venous,0.0,0.0,88
ATP1A1,IL26,HDAC2,IL26#HDAC2,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP2,HES1,BMP2#HES1,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP4,HES1,BMP4#HES1,Endothelial_venous,0.0,0.0,88
ATP1A1,IGF1,HNF4A,IGF1#HNF4A,Endothelial_venous,0.0,0.0,88
ATP1A1,TGFB1,HNF4A,TGFB1#HNF4A,Endothelial_venous,0.0,0.0,88
ATP1A1,WNT5A,HNF4A,WNT5A#HNF4A,Endothelial_venous,0.0,0.0,88
ATP1A1,IFNB1,IRF1,IFNB1#IRF1,Endothelial_venous,0.0,0.0,88
ATP1A1,EGF,JUN,EGF#JUN,Endothelial_venous,0.0,0.0,88
ATP1A1,TGFA,JUN,TGFA#JUN,Endothelial_venous,0.0,0.0,88
ATP1A1,IL18,KLF16,IL18#KLF16,Endothelial_venous,0.0,0.0,88
ATP1A1,IFNG,KLF4,IFNG#KLF4,Endothelial_venous,0.0,0.0,88
ATP1A1,VEGFA,KLF4,VEGFA#KLF4,Endothelial_venous,0.0,0.0,88
ATP1A1,TNFSF10,KLF4,TNFSF10#KLF4,Endothelial_venous,0.0,0.0,88
ATP1A1,PDGFB,KLF4,PDGFB#KLF4,Endothelial_venous,0.0,0.0,88
ATP1A1,PDGFC,KLF5,PDGFC#KLF5,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP6,KLF5,BMP6#KLF5,Endothelial_venous,0.0,0.0,88
ATP1A1,PDGFB,KLF5,PDGFB#KLF5,Endothelial_venous,0.0,0.0,88
ATP1A1,IL26,MAX,IL26#MAX,Endothelial_venous,0.0,0.0,88
ATP1A1,CXCL12,OVOL2,CXCL12#OVOL2,Endothelial_venous,0.0,0.0,88
ATP1A1,IL18,POLR2A,IL18#POLR2A,Endothelial_venous,0.0,0.0,88
ATP1A1,TGFA,POLR2A,TGFA#POLR2A,Endothelial_venous,0.0,0.0,88
ATP1A1,VEGFA,PRDM1,VEGFA#PRDM1,Endothelial_venous,0.0,0.0,88
ATP1A1,CXCL12,RELA,CXCL12#RELA,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP2,REST,BMP2#REST,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP2,RXRA,BMP2#RXRA,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP6,RXRA,BMP6#RXRA,Endothelial_venous,0.0,0.0,88
ATP1A1,EGF,RXRA,EGF#RXRA,Endothelial_venous,0.0,0.0,88
ATP1A1,CXCL12,RXRA,CXCL12#RXRA,Endothelial_venous,0.0,0.0,88
ATP1A1,IL18,SIN3A,IL18#SIN3A,Endothelial_venous,0.0,0.0,88
ATP1A1,CXCL12,SIN3A,CXCL12#SIN3A,Endothelial_venous,0.0,0.0,88
ATP1A1,IL18,SMAD1,IL18#SMAD1,Endothelial_venous,0.0,0.0,88
ATP1A1,PTHLH,SMAD4,PTHLH#SMAD4,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP6,SMAD4,BMP6#SMAD4,Endothelial_venous,0.0,0.0,88
ATP1A1,LIF,SMC3,LIF#SMC3,Endothelial_venous,0.0,0.0,88
ATP1A1,PDGFA,SP1,PDGFA#SP1,Endothelial_venous,0.0,0.0,88
ATP1A1,IL18,SREBF1,IL18#SREBF1,Endothelial_venous,0.0,0.0,88
ATP1A1,GAS6,TFEB,GAS6#TFEB,Endothelial_venous,0.0,0.0,88
ATP1A1,IL13,VDR,IL13#VDR,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP6,VDR,BMP6#VDR,Endothelial_venous,0.0,0.0,88
ATP1A1,GDF11,VDR,GDF11#VDR,Endothelial_venous,0.0,0.0,88
ATP1A1,IL12A,XBP1,IL12A#XBP1,Endothelial_venous,0.0,0.0,88
ATP1A1,IL15,XBP1,IL15#XBP1,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP2,ZBTB1,BMP2#ZBTB1,Endothelial_venous,0.0,0.0,88
ATP1A1,BMP6,ZBTB1,BMP6#ZBTB1,Endothelial_venous,0.0,0.0,88
ATP1A1,CXCL12,ZBTB4,CXCL12#ZBTB4,Endothelial_venous,0.0,0.0,88
ATP1A1,CCL15,CREB3,CCL15#CREB3,Enteric_glia,0.0,0.0,91
ATP1A1,IL18,E2F1,IL18#E2F1,Enteric_glia,0.0,0.0,91
ATP1A1,PDGFA,ETV6,PDGFA#ETV6,Enteric_glia,0.0,0.0,91
ATP1A1,BMP4,GRHL2,BMP4#GRHL2,Enteric_glia,0.0,0.0,91
ATP1A1,GAS6,GRHL2,GAS6#GRHL2,Enteric_glia,0.0,0.0,91
ATP1A1,IL26,HDAC2,IL26#HDAC2,Enteric_glia,0.0,0.0,91
ATP1A1,BMP2,HES1,BMP2#HES1,Enteric_glia,0.0,0.0,91
ATP1A1,BMP4,HES1,BMP4#HES1,Enteric_glia,0.0,0.0,91
ATP1A1,IGF1,HNF4A,IGF1#HNF4A,Enteric_glia,0.0,0.0,91
ATP1A1,TGFB1,HNF4A,TGFB1#HNF4A,Enteric_glia,0.0,0.0,91
