sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,24_11_12_ICI_5K_Fine_annotations_n_sig_pairs,24_11_12_ICI_5K_Fine_annotations_interactions,24_11_12_ICI_5K_Fine_annotations_within_Tcell,24_11_12_ICI_5K_Fine_annotations_Tcell_interfaces,24_11_12_ICI_5K_Fine_annotations_tcell_involved,25_06_11_ICI_5K_Coarse_annotations_n_sig_pairs,25_06_11_ICI_5K_Coarse_annotations_interactions,25_06_11_ICI_5K_Coarse_annotations_within_Tcell,25_06_11_ICI_5K_Coarse_annotations_Tcell_interfaces,25_06_11_ICI_5K_Coarse_annotations_tcell_involved
13473_HS4_UC-Slice_1,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0019017126921743,1,2,IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),,True,2,IEC (self) (2.0e-02); IEC–T (3.0e-02),IEC (self) (2.0e-02),IEC–T (3.0e-02),True
13473_HS4_UC-Slice_1,17a-Ethynylestradiol,6,"ABCB1, ABCC2, SLC10A1",True,0.0019017126921743,1,4,IEC_CT_absorptive_colonocyte (self) (2.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.2e-03); IEC_Colonocyte_NOS–MAST (3.5e-02); IEC_Colonocyte_NOS–Plasma (4.2e-02),IEC_CT_absorptive_colonocyte (self) (2.2e-03),IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.2e-03); IEC_Colonocyte_NOS–MAST (3.5e-02); IEC_Colonocyte_NOS–Plasma (4.2e-02),True,1,IEC (self) (2.2e-03),IEC (self) (2.2e-03),,True
13473_HS4_UC-Slice_1,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0019017126921743,1,2,IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),,True,2,IEC (self) (2.0e-02); IEC–T (3.0e-02),IEC (self) (2.0e-02),IEC–T (3.0e-02),True
13473_HS4_UC-Slice_1,2-Hydroxychlorpropamide,3,"ABCB1, SLC15A1",True,0.0019017126921743,3,3,IEC_CT_absorptive_colonocyte (self) (2.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.2e-03); IEC_Colonocyte_NOS–MAST (3.5e-02),IEC_CT_absorptive_colonocyte (self) (2.2e-03),IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.2e-03); IEC_Colonocyte_NOS–MAST (3.5e-02),True,1,IEC (self) (2.2e-03),IEC (self) (2.2e-03),,True
13473_HS4_UC-Slice_1,25-Hydroxycholesterol,1,ABCA1,True,0.0055708997499416,1,10,B–MNP_mDC (1.8e-02); T_CD4 (self) (1.8e-02); Fibroblast_CTF_S2 (self) (2.1e-02); IEC_CT_absorptive_colonocyte–Myofibroblast (2.4e-02); Endothelial_lymphatic–Fibroblast_CTF_S2 (2.7e-02); Fibroblast_submucosal_S3–IEC_Colonocyte_NOS (3.2e-02); Fibroblast_cCF_S1–IEC_Goblet (3.3e-02); Enteric_glia–Fibroblast_cCF_S1 (3.4e-02); Myofibroblast–Plasma (3.4e-02); Fibroblast_cCF_S1–Fibroblast_submucosal_S3 (4.1e-02),T_CD4 (self) (1.8e-02); Fibroblast_CTF_S2 (self) (2.1e-02),B–MNP_mDC (1.8e-02); IEC_CT_absorptive_colonocyte–Myofibroblast (2.4e-02); Endothelial_lymphatic–Fibroblast_CTF_S2 (2.7e-02); Fibroblast_submucosal_S3–IEC_Colonocyte_NOS (3.2e-02); Fibroblast_cCF_S1–IEC_Goblet (3.3e-02); Enteric_glia–Fibroblast_cCF_S1 (3.4e-02); Myofibroblast–Plasma (3.4e-02); Fibroblast_cCF_S1–Fibroblast_submucosal_S3 (4.1e-02),True,6,IEC (self) (2.1e-02); T (self) (3.1e-02); Enteric_glia–Fibroblast (3.4e-02); Myofibroblast–Plasma (3.4e-02); MNP (self) (4.6e-02); IEC–MNP (4.8e-02),IEC (self) (2.1e-02); T (self) (3.1e-02); MNP (self) (4.6e-02),Enteric_glia–Fibroblast (3.4e-02); Myofibroblast–Plasma (3.4e-02); IEC–MNP (4.8e-02),True
13473_HS4_UC-Slice_1,"3',4'-Dihydrodiol",3,"ABCB1, ABCC2",True,0.0019017126921743,1,4,IEC_CT_absorptive_colonocyte (self) (2.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.2e-03); IEC_Colonocyte_NOS–MAST (3.5e-02); IEC_Colonocyte_NOS–Plasma (4.2e-02),IEC_CT_absorptive_colonocyte (self) (2.2e-03),IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.2e-03); IEC_Colonocyte_NOS–MAST (3.5e-02); IEC_Colonocyte_NOS–Plasma (4.2e-02),True,1,IEC (self) (2.2e-03),IEC (self) (2.2e-03),,True
13473_HS4_UC-Slice_1,3-Sulfodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0019017126921743,1,2,IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),,True,2,IEC (self) (2.0e-02); IEC–T (3.0e-02),IEC (self) (2.0e-02),IEC–T (3.0e-02),True
13473_HS4_UC-Slice_1,"3alpha,7alpha-Dihydroxycoprostanic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0019017126921743,1,2,IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),,True,2,IEC (self) (2.0e-02); IEC–T (3.0e-02),IEC (self) (2.0e-02),IEC–T (3.0e-02),True
13473_HS4_UC-Slice_1,3b-Hydroxy-5-cholenoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0019017126921743,1,2,IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),IEC_Colonocyte_NOS (self) (5.6e-03); IEC_Goblet_2 (self) (1.6e-02),,True,2,IEC (self) (2.0e-02); IEC–T (3.0e-02),IEC (self) (2.0e-02),IEC–T (3.0e-02),True
13473_HS4_UC-Slice_1,4'-Hydroxydiclofenac,6,"ABCB1, ABCC1, ABCC4",True,0.0019017126921743,1,4,IEC_CT_absorptive_colonocyte (self) (2.2e-03); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.2e-03); IEC_Colonocyte_NOS–MAST (3.5e-02); IEC_Colonocyte_NOS–Plasma (4.2e-02),IEC_CT_absorptive_colonocyte (self) (2.2e-03),IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.2e-03); IEC_Colonocyte_NOS–MAST (3.5e-02); IEC_Colonocyte_NOS–Plasma (4.2e-02),True,1,IEC (self) (2.2e-03),IEC (self) (2.2e-03),,True
