sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,Enteric_glia,Muscularis_mucosa,AQP7,AQP7,Tcell_interface,Water,0.0021148469424331,0.0009990009990009,26.495852
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,Enteric_glia,T,SLC3A1,SLC3A1,Tcell_interface,L-Arginine | L-Cystine | L-Lysine | L-Ornithine,0.0021148469424331,0.0009990009990009,19.151318
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,Enteric_glia,T,SLC12A2,SLC5A3,Tcell_interface,Sodium,0.0021148469424331,0.0009990009990009,38.761898
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,Fibroblast,IEC,SLC12A2,SLC1A5,Tcell_interface,Sodium,0.0021148469424331,0.0009990009990009,254.97046
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,Fibroblast,IEC,SLC9A3,SLC9A3,Tcell_interface,Sodium_hydrogen exchange,0.0021148469424331,0.0009990009990009,189.2284
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,Fibroblast,IEC,SLC26A3,SLC26A3,Tcell_interface,Anion exchange,0.0021148469424331,0.0009990009990009,474.84427
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,Fibroblast,IEC,SLC26A2,SLC26A3,Tcell_interface,Anion exchange,0.0021148469424331,0.0009990009990009,474.8818
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,IEC,MAST,SLC12A2,SLC12A2,Tcell_interface,Chloride ion | Sodium,0.0021148469424331,0.0009990009990009,167.72745
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,IEC,MAST,SLC26A3,SLC26A3,Tcell_interface,Anion exchange,0.0021148469424331,0.0009990009990009,119.66992
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,IEC,MAST,SLC26A2,SLC26A3,Tcell_interface,Anion exchange,0.0021148469424331,0.0009990009990009,129.53888
13473_HS4_UC-Slice_1,25_06_11_ICI_5K_Coarse_annotations,IEC,MAST,SLC26A2,SLC26A2,Tcell_interface,Anion exchange,0.0021148469424331,0.0009990009990009,165.03706
