cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",46723,0.012563405603236093,0.2467356683724966,16.645871321178685,1.323840274815493,-2.5421479406190475
T Cell,17a-Ethynylestradiol,46723,0.0011343449692870749,0.013393718679171902,11.807447506546202,2.7901110231220736,-0.32685492853630516
T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",46723,0.012563405603236093,0.2467356683724966,16.645871321178685,1.323840274815493,-2.5421479406190475
T Cell,2-Hydroxychlorpropamide,46723,0.0009845258224001026,0.011040384128621334,11.213910166121188,2.8171552833653957,-0.21019583710228923
T Cell,25-Hydroxycholesterol,46723,0.10322539220512382,3.46208993459793,31.2468704568352,1.3131143033594836,1.1153943803134416
T Cell,"3',4'-Dihydrodiol",46723,0.0012841641161740471,0.01713729666964298,13.345098538262148,2.774858813723731,-0.25662042703186644
T Cell,3-Sulfodeoxycholic acid,46723,0.012563405603236093,0.2467356683724966,16.645871321178685,1.323840274815493,-2.5421479406190475
T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",46723,0.012563405603236093,0.2467356683724966,16.645871321178685,1.323840274815493,-2.5421479406190475
T Cell,3b-Hydroxy-5-cholenoic acid,46723,0.012563405603236093,0.2467356683724966,16.645871321178685,1.323840274815493,-2.5421479406190475
T Cell,4'-Hydroxydiclofenac,46723,0.007662179226505147,1.2918129950602721,35.63587697057858,1.0591675871855601,-0.22931536530508773
T Cell,4-Hydroxycyclophosphamide,46723,0.0009845258224001026,0.011040384128621334,11.213910166121188,2.8201488339240175,-0.13547648372258414
T Cell,4-Hydroxyvalsartan,46723,0.0,0.0,,2.9966010570437804,-inf
T Cell,4-ene-Valproic acid,46723,0.00419493611283522,0.027412254613370244,6.53460598112499,2.1018097942481018,-1.9008213385689754
T Cell,5-Hydroxyomeprazole,46723,0.013847569719410141,0.27398251639636756,16.32509864242548,1.313437342363474,-2.469474990946284
T Cell,5-Methyltetrahydrofolic acid,46723,0.023521606061254627,0.9206956584850441,31.88089907999795,1.0024974891138538,-2.157617829787205
T Cell,8-Hydroxycarvedilol,46723,0.0009845258224001026,0.011040384128621334,11.213910166121188,2.8201488339240175,-0.13547648372258414
