,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",2110.3273681855926,1.9081804026537685,0.02818395181662642,0.054976103543542904,3138.770840297795,0.002997003,0.005994006060063839,True
1,17a-Ethynylestradiol,1803.6135001539021,2.213726958330325,0.01342378364517408,0.0381395473620064,5584.066792603358,0.000999001,0.0027214164388012782,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",2110.3273681855926,1.9081804026537685,0.02818395181662642,0.054976103543542904,3138.770840297795,0.002997003,0.005994006060063839,True
3,2-Hydroxychlorpropamide,2901.698498338893,6.713911691512696,9.473750263697322e-12,1.6631694907379743e-10,9356.308938682527,0.000999001,0.0027214164388012782,True
4,25-Hydroxycholesterol,1820.0284478455224,7.950679461529333,9.274565930883904e-16,3.663453542699142e-14,2812.959235375156,0.000999001,0.0027214164388012782,True
5,"3',4'-Dihydrodiol",1583.5400907551677,3.091005978376786,0.000997398087842113,0.0046349675846780545,5481.31188596315,0.000999001,0.0027214164388012782,True
6,3-Sulfodeoxycholic acid,2110.3273681855926,1.9081804026537685,0.02818395181662642,0.054976103543542904,3138.770840297795,0.002997003,0.005994006060063839,True
7,"3alpha,7alpha-Dihydroxycoprostanic acid",2110.3273681855926,1.9081804026537685,0.02818395181662642,0.054976103543542904,3138.770840297795,0.002997003,0.005994006060063839,True
8,3b-Hydroxy-5-cholenoic acid,2110.3273681855926,1.9081804026537685,0.02818395181662642,0.054976103543542904,3138.770840297795,0.002997003,0.005994006060063839,True
9,4'-Hydroxydiclofenac,3008.172684098518,3.4730452777822,0.00025729426763119095,0.0015180708416969585,8975.959027478679,0.000999001,0.0027214164388012782,True
10,4-Hydroxycyclophosphamide,1145.8995652976705,5.005789964202176,2.7816697322864144e-07,2.1975190885062673e-06,5151.989660463298,0.000999001,0.0027214164388012782,True
12,4-ene-Valproic acid,673.8226847173416,1.5645975888048549,0.05883864731085439,0.09486230892974484,7976.317807818576,0.000999001,0.0027214164388012782,True
13,5-Hydroxyomeprazole,1984.6697521471629,3.171634741282655,0.0007579176492291766,0.0037422183930690594,19249.028306750253,0.000999001,0.0027214164388012782,True
15,8-Hydroxycarvedilol,1145.8995652976705,5.005789964202176,2.7816697322864144e-07,2.1975190885062673e-06,5151.989660463298,0.000999001,0.0027214164388012782,True
17,Acetate,766.0906717953677,0.9732616707613406,0.16521163353194496,0.23306641158970806,7459.707630922894,0.013986014,0.024283408627405273,True
18,Acetyl-L-Carnitine,486.2514273708905,0.9148457122777035,0.18013631655236695,0.24966261416906999,4669.357758535147,0.000999001,0.0027214164388012782,True
22,Adenosine diphosphate ribose,2090.984056533296,9.134331945384854,3.290592102717807e-20,2.5995677611470676e-18,1283.030720210591,0.005994006,0.011549426310854715,True
23,Adenosine triphosphate,2180.7090375775224,2.7557612753264418,0.002927785845793522,0.011861286247060935,8580.89684225518,0.000999001,0.0027214164388012782,True
25,Amiloride-sensitive sodium transport,939.0164234693189,2.189095296356479,0.014294957172103124,0.03828141073207277,20677.33159329452,0.000999001,0.0027214164388012782,True
27,Anion exchange,9001.376491492758,19.84243705247367,6.404806329823438e-88,1.0119594001121032e-85,316996.604412554,0.000999001,0.0027214164388012782,True
29,Bilirubin,1646.5636928583103,3.185553224100216,0.0007223876272659729,0.003681846616387862,110.36342152000566,0.018981019,0.03224732266158186,True
30,Butyrate,368.231663486946,1.6085967927787768,0.053852267998252136,0.0886318577471233,635.2572684643777,0.000999001,0.0027214164388012782,True
31,Cadmium,719.0683949795371,3.1412049224649885,0.000841271303389151,0.004027905028348057,682.6043143761115,0.024975024,0.039859129473416494,True
35,Chenodeoxycholic acid,2110.3273681855926,1.9081804026537685,0.02818395181662642,0.054976103543542904,3138.770840297795,0.002997003,0.005994006060063839,True
36,Chenodeoxycholic acid 3-sulfate,2110.3273681855926,1.9081804026537685,0.02818395181662642,0.054976103543542904,3138.770840297795,0.002997003,0.005994006060063839,True
37,Chloride,1174.8267640759084,2.5399572632616065,0.005543300753682186,0.01863492593791033,7876.665148134287,0.000999001,0.0027214164388012782,True
38,Chloride ion,3946.5418547883414,5.076692886138316,1.920304466290009e-07,2.1975190885062673e-06,2912.1394335330447,0.000999001,0.0027214164388012782,True
40,Cholesterol,3985.3154615998374,5.526170252640616,1.6364826694048334e-08,2.3505841978723972e-07,12995.656102143479,0.000999001,0.0027214164388012782,True
41,Cholic acid,4966.1084359749475,2.142973782941258,0.016057601797404935,0.04228501806649966,19292.509972971267,0.000999001,0.0027214164388012782,True
42,Choline,136.78374970789366,0.13777132572732823,0.44521057348576115,0.5411020816211558,5293.58985706684,0.000999001,0.0027214164388012782,True
43,Citric acid,390.58812542674696,1.7062595864497494,0.04397987947107683,0.07720912173811265,4163.439471798807,0.007992008,0.01451422100694015,True
45,Coprocholic acid,2110.3273681855926,1.9081804026537685,0.02818395181662642,0.054976103543542904,3138.770840297795,0.002997003,0.005994006060063839,True
46,Cortisol,2969.7902668581364,6.8714615269000845,3.177371570858205e-12,6.275308852444955e-11,11305.923176400833,0.000999001,0.0027214164388012782,True
47,Creatine,230.47256302450884,1.006804852668169,0.1570142811085007,0.22349780554182982,4578.361954544601,0.000999001,0.0027214164388012782,True
48,Cyclic AMP,753.3910040356961,3.2911410749531207,0.0004989092976059367,0.0027181954835082066,231.97878319347,0.007992008,0.01451422100694015,True
52,D-Galactose,1278.358524873569,1.3049653771739043,0.09595231877728183,0.1443853939696241,1481.874960652907,0.001998002,0.005261405115015804,True
53,D-Glucose,385.82791126880613,0.24209845560508608,0.4043519374310436,0.5030520166464952,1574.7690512541378,0.022977022,0.03704458722198496,True
54,D-Lactate,368.231663486946,1.6085967927787768,0.053852267998252136,0.0886318577471233,635.2572684643777,0.000999001,0.0027214164388012782,True
56,D-Mannose,1278.358524873569,1.3049653771739043,0.09595231877728183,0.1443853939696241,1481.874960652907,0.001998002,0.005261405115015804,True
59,Dehydroascorbic acid,1308.8048911513758,1.4964051145847388,0.0672740587735284,0.10524060679423256,1448.4079771842241,0.000999001,0.0027214164388012782,True
