,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
37,T Cell,T Cell,Choline,-10.722977,-0.08163388491295227,0.5325310725269508,0.6277161810702917,0.0,0.14585414585414586,0.20096515861988173,False
38,T Cell,T Cell,Citric acid,134.44252,1.447460582437425,0.07388398433294349,0.14604170734969674,756.04065,0.03996003996003996,0.064515637034721,False
39,T Cell,T Cell,Cobalamin,-8.735502,-0.09404982256565401,0.5374652102929927,0.6277161810702917,0.0,0.11488511488511488,0.16815364566229618,False
40,T Cell,T Cell,Coprocholic acid,-0.8116749,-0.008738808317434664,0.5034862357459976,0.6277161810702917,0.0,0.000999000999000999,0.002247752247752248,False
41,T Cell,T Cell,Cortisol,-96.280685,-1.03659539300274,0.850037769368631,0.8540759535461542,27.988874,0.942057942057942,0.9672099744915279,False
42,T Cell,T Cell,Creatine,-10.756577,-0.11580949631449786,0.5460982379051238,0.6277161810702917,0.0,0.14585414585414586,0.20096515861988173,False
43,T Cell,T Cell,Cyclic AMP,-52.477554,-0.5649938074857617,0.7139610119068958,0.7783647114345796,0.0,0.22077922077922077,0.29316308691308696,False
44,T Cell,T Cell,Cytidine,80.4945,0.866635158146356,0.19307097174339793,0.3240834168549894,360.62204,0.04795204795204795,0.07484766156352872,False
45,T Cell,T Cell,D-Aspartate,-75.591606,-0.8138487000670657,0.792134183944458,0.8411628351390286,0.0,0.44455544455544455,0.5419220548903546,False
46,T Cell,T Cell,D-Galactose,552.0902,3.4317806379262707,0.0002998161829300206,0.0007246985450251354,2742.2454,0.13286713286713286,0.18923500741682558,False
47,T Cell,T Cell,D-Glucose,493.14008,2.3744082703227134,0.008788551523016701,0.019362277574146172,2755.526,0.13986013986013987,0.19786233833056577,False
48,T Cell,T Cell,D-Lactate,-87.959404,-0.9470052331552271,0.8281819438485641,0.8540759535461542,47.832424,0.5894105894105894,0.664855144855145,False
49,T Cell,T Cell,D-Maltose,293.1489,3.1561552865293336,0.0007993186277210423,0.0018783987751444494,1976.4794,0.2217782217782218,0.29316308691308696,False
50,T Cell,T Cell,D-Mannose,552.0902,3.4317806379262707,0.0002998161829300206,0.0007246985450251354,2742.2454,0.13286713286713286,0.18923500741682558,False
51,T Cell,T Cell,D-Xylose,293.1489,3.1561552865293336,0.0007993186277210423,0.0018783987751444494,1976.4794,0.2217782217782218,0.29316308691308696,False
52,T Cell,T Cell,Dehydroascorbic acid,552.0902,3.4317806379262707,0.0002998161829300206,0.0007246985450251354,2742.2454,0.13286713286713286,0.18923500741682558,False
53,T Cell,T Cell,Deoxycholic acid,-0.8116749,-0.008738808317434664,0.5034862357459976,0.6277161810702917,0.0,0.000999000999000999,0.002247752247752248,False
54,T Cell,T Cell,Docosahexaenoic acid,552.0902,3.4317806379262707,0.0002998161829300206,0.0007246985450251354,2742.2454,0.13286713286713286,0.18923500741682558,False
