,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-459.64698146828573,-0.2985175028793284,0.6173458903072182,0.7068163091923223,3948.9409035846393,0.0939061,0.12364302786688008,False
1,17a-Ethynylestradiol,3645.960332522717,3.305501895520907,0.00047403231386860585,0.0014685706978674455,10757.011823336627,0.000999001,0.0026752907364487144,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-459.64698146828573,-0.2985175028793284,0.6173458903072182,0.7068163091923223,3948.9409035846393,0.0939061,0.12364302786688008,False
3,2-Hydroxychlorpropamide,5595.0315272617545,10.034474226277162,5.376537043445997e-24,1.2135612183778108e-22,18492.20787809848,0.000999001,0.0026752907364487144,True
4,25-Hydroxycholesterol,2518.800667461099,8.357461050704858,3.204122672464744e-17,6.328142278117869e-16,4016.136018983832,0.001998002,0.004783095559105277,True
5,"3',4'-Dihydrodiol",1239.0884041684028,1.7439818690240583,0.04058112571901655,0.0915973980514945,10398.343084858545,0.000999001,0.0026752907364487144,True
6,3-Sulfodeoxycholic acid,-459.64698146828573,-0.2985175028793284,0.6173458903072182,0.7068163091923223,3948.9409035846393,0.0939061,0.12364302786688008,False
7,"3alpha,7alpha-Dihydroxycoprostanic acid",-459.64698146828573,-0.2985175028793284,0.6173458903072182,0.7068163091923223,3948.9409035846393,0.0939061,0.12364302786688008,False
8,3b-Hydroxy-5-cholenoic acid,-459.64698146828573,-0.2985175028793284,0.6173458903072182,0.7068163091923223,3948.9409035846393,0.0939061,0.12364302786688008,False
9,4'-Hydroxydiclofenac,2046.81242924299,1.8360902504227978,0.033172154996843825,0.07822687297763171,14624.167775157042,0.000999001,0.0026752907364487144,True
10,4-Hydroxycyclophosphamide,1812.3852254405463,6.013552055216867,9.075080534523666e-10,5.9322678423311754e-09,10121.400249694852,0.000999001,0.0026752907364487144,True
11,4-Hydroxyvalsartan,-875.5311491607602,-1.1855195468603053,0.8820939545706172,0.8820939545706172,21.780392181036177,0.95604396,0.9560439586639404,False
12,4-ene-Valproic acid,92.53317781166646,0.1650647700521994,0.43444650100911814,0.6600244919176987,12566.178203914798,0.000999001,0.0026752907364487144,True
13,5-Hydroxyomeprazole,4726.000596615728,5.707424858878055,5.734911444322537e-09,3.23612860072486e-08,37624.10877305757,0.000999001,0.0026752907364487144,True
14,5-Methyltetrahydrofolic acid,-111.583918602963,-0.3702390052759851,0.6443977918766634,0.723497553255295,0.0,0.13386613,0.17195811988861578,False
15,8-Hydroxycarvedilol,1812.3852254405463,6.013552055216867,9.075080534523666e-10,5.9322678423311754e-09,10121.400249694852,0.000999001,0.0026752907364487144,True
16,ADP,1456.5224950410131,2.2036769499442923,0.01377353566036856,0.03454315292600369,1205.8543902804834,0.17182817,0.21005148268662965,False
17,Acetate,1531.0528898230166,1.4237350522907706,0.07726159140623619,0.1585367719764327,10556.263957661431,0.000999001,0.0026752907364487144,True
18,Acetyl-L-Carnitine,390.42411638176384,0.5090623711659744,0.30535425315696463,0.5025622083208376,7219.995009220582,0.000999001,0.0026752907364487144,True
19,Acetylcholine,32.449086604622934,0.10766710559213924,0.4571298818620978,0.6844060438446067,28.726979006760303,0.08591408,0.12364302786688008,False
20,Adenine,383.97286618096507,1.274034231882895,0.10132564233021607,0.1905887081925493,42.504491001918836,0.49150848,0.5355747617524246,False
21,Adenosine,1052.760987716585,3.493094576400743,0.00023872868828901225,0.0007697782193808966,307.5596811012873,0.066933066,0.1101606705536445,False
22,Adenosine diphosphate ribose,1574.9936578343882,5.225879252972433,8.666472479963598e-08,4.1494019752552985e-07,918.4598893183028,0.1028971,0.13326017888354474,False
23,Adenosine triphosphate,3857.4327044540687,3.8667367668581445,5.515068690237111e-05,0.00020747163168034847,11139.000296431319,0.004995005,0.011115645386383566,True
24,Adenosylcobalamin,1808.8189837648524,6.001719151451579,9.761959740544972e-10,5.9322678423311754e-09,45.42050430490417,0.053946055,0.09470529738399718,False
25,Amiloride-sensitive sodium transport,-57.7681357009285,-0.08257054755547888,0.5329034895369116,0.7068163091923223,30324.57828207433,0.000999001,0.0026752907364487144,True
26,Ammonium,-97.09601899634478,-0.3221676917206801,0.6263371705160263,0.7119516038959148,0.0,0.1028971,0.13326017888354474,False
