,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
1109,CD8 T Cell,gd T Cell,SLC7A5,SLC7A5,51.759296,1.04187540621589,0.14873472391526477,0.3661489719812822,0.03591808035395912,704.90625,0.000999000999000999,0.0036387453605996652,0.44998017220866476,True
1111,CD8 T Cell,gd T Cell,SLC1A5,SLC1A5,121.55656,2.4468413533065814,0.007205712900817614,0.026914377558232176,0.09055944222787785,669.02014,0.000999000999000999,0.0036387453605996652,0.3365309868805499,True
1114,CD8 T Cell,gd T Cell,SLC3A2,SLC7A5,15.940718,0.3208745650675724,0.3741527248419768,0.718896065198558,0.01175349540108262,1991.214,0.003996003996003996,0.01292824822236587,0.48825568075261194,True
1116,CD8 T Cell,gd T Cell,SLC1A5,SLC38A7,173.7151,3.49675336002751,0.0002354785193411822,0.001074798221059338,0.12941747672550147,933.36786,0.001998001998001998,0.006955070246209487,0.46950336341413323,True
1117,CD8 T Cell,gd T Cell,SLC1A5,SLC7A5,16.649702,0.335145883165665,0.368757521246954,0.711637321704648,0.012404001674827546,1286.2622,0.000999000999000999,0.0036387453605996652,0.6470165291035085,True
1118,CD8 T Cell,gd T Cell,SLC7A7,SLC7A7,6.8907504,0.13870558291160173,0.4448414031122867,0.773508827038457,0.006565627403676159,511.06625,0.005994005994005994,0.018289616070475988,0.30518281102976913,True
1119,CD8 T Cell,gd T Cell,SLC1A5,SLC7A7,52.82439,1.0633149410360314,0.1438195758736624,0.35711407101812337,0.03935408719599427,116.186615,0.013986013986013986,0.03784653231147696,0.05844427360792443,True
1120,CD8 T Cell,gd T Cell,SLC38A7,SLC3A2,79.59756,1.602238493262516,0.054551440481205894,0.16023120034533106,0.06444673217882771,332.17416,0.007992007992007992,0.023318856210102896,0.5740251534601134,True
1124,CD8 T Cell,gd T Cell,SLC1A5,SLC43A2,34.70499,0.6985851520403293,0.24240566276223197,0.5354341948563357,0.025855162874355242,586.6282,0.013986013986013986,0.03784653231147696,0.295086120722337,True
1130,CD8 T Cell,gd T Cell,SLC16A4,SLC16A4,152.8614,3.0769842105250134,0.0010455318845409693,0.004449071849110507,0.2022196698223441,49.75284,0.008991008991008992,0.02582274122744097,0.17284537555917692,True
1132,CD8 T Cell,gd T Cell,SLCO2B1,SLCO2B1,195.52231,3.93571587206082,4.147453196074309e-05,0.00019835645720355392,0.2785582908700461,2014.8021,0.000999000999000999,0.0036387453605996652,0.6138205630141221,True
1151,CD8 T Cell,gd T Cell,CUBN,SLC40A1,196.07974,3.9469365976281305,3.957875395621921e-05,0.00019095012873614529,0.22395887310570953,686.5557,0.000999000999000999,0.0036387453605996652,10.786530050828212,True
1153,CD8 T Cell,gd T Cell,CUBN,CUBN,144.22733,2.903186744818681,0.0018469315135376271,0.007594858560341644,0.16473394383273154,51.20806,0.005994005994005994,0.018289616070475988,0.8045338069198433,True
1159,CD8 T Cell,gd T Cell,SLC11A1,SLC39A8,191.45914,3.853927311703716,5.811905887240754e-05,0.0002767574232019407,0.16047044188650203,16.679176,0.002997002997002997,0.0100203747620161,0.8183006687040588,True
