gene,ligand,tf,pair,cell_type,mean,std,n
ATP1A1,BMP2,AR,BMP2#AR,Endothelial,0.0,0.0,151
ATP1A1,BMP6,CBFB,BMP6#CBFB,Endothelial,0.0,0.0,151
ATP1A1,IL7,CBFB,IL7#CBFB,Endothelial,0.0,0.0,151
ATP1A1,TGFB1,CBFB,TGFB1#CBFB,Endothelial,0.0,0.0,151
ATP1A1,IL18,CREB1,IL18#CREB1,Endothelial,0.0,0.0,151
ATP1A1,GNRH1,CREB1,GNRH1#CREB1,Endothelial,0.0,0.0,151
ATP1A1,CCL15,CREB3,CCL15#CREB3,Endothelial,0.0,0.0,151
ATP1A1,PDGFA,CUX2,PDGFA#CUX2,Endothelial,0.0,0.0,151
ATP1A1,IL18,E2F1,IL18#E2F1,Endothelial,0.0,0.0,151
ATP1A1,BMP2,EBF1,BMP2#EBF1,Endothelial,0.0,0.0,151
ATP1A1,IL18,ELK1,IL18#ELK1,Endothelial,0.0,0.0,151
ATP1A1,ADM,ELK1,ADM#ELK1,Endothelial,0.0,0.0,151
ATP1A1,IL26,EP300,IL26#EP300,Endothelial,0.0,0.0,151
ATP1A1,TGFB1,ESRRA,TGFB1#ESRRA,Endothelial,0.0,0.0,151
ATP1A1,CSF1,ETV5,CSF1#ETV5,Endothelial,0.0,0.0,151
ATP1A1,PDGFA,ETV6,PDGFA#ETV6,Endothelial,0.0,0.0,151
ATP1A1,VEGFA,FEV,VEGFA#FEV,Endothelial,0.0,0.0,151
ATP1A1,CXCL12,FOXA2,CXCL12#FOXA2,Endothelial,0.0,0.0,151
ATP1A1,ADM,FOXI1,ADM#FOXI1,Endothelial,0.0,0.0,151
ATP1A1,BMP4,GATA2,BMP4#GATA2,Endothelial,0.0,0.0,151
ATP1A1,BMP4,GRHL2,BMP4#GRHL2,Endothelial,0.0,0.0,151
ATP1A1,TGFB1,GRHL2,TGFB1#GRHL2,Endothelial,0.0,0.0,151
ATP1A1,GAS6,GRHL2,GAS6#GRHL2,Endothelial,0.0,0.0,151
ATP1A1,FGF2,HES1,FGF2#HES1,Endothelial,0.0,0.0,151
ATP1A1,BMP2,HES1,BMP2#HES1,Endothelial,0.0,0.0,151
ATP1A1,BMP4,HES1,BMP4#HES1,Endothelial,0.0,0.0,151
ATP1A1,IGF1,HNF4A,IGF1#HNF4A,Endothelial,0.0,0.0,151
ATP1A1,TGFB1,HNF4A,TGFB1#HNF4A,Endothelial,0.0,0.0,151
ATP1A1,WNT5A,HNF4A,WNT5A#HNF4A,Endothelial,0.0,0.0,151
ATP1A1,PDGFC,HOXB4,PDGFC#HOXB4,Endothelial,0.0,0.0,151
ATP1A1,TGFB1,HOXB4,TGFB1#HOXB4,Endothelial,0.0,0.0,151
ATP1A1,PDGFC,HOXB5,PDGFC#HOXB5,Endothelial,0.0,0.0,151
ATP1A1,BMP2,ID4,BMP2#ID4,Endothelial,0.0,0.0,151
ATP1A1,SHH,IRF3,SHH#IRF3,Endothelial,0.0,0.0,151
ATP1A1,EGF,JUN,EGF#JUN,Endothelial,0.0,0.0,151
ATP1A1,IGF1,JUN,IGF1#JUN,Endothelial,0.0,0.0,151
ATP1A1,TGFB1,JUN,TGFB1#JUN,Endothelial,0.0,0.0,151
ATP1A1,TGFA,JUN,TGFA#JUN,Endothelial,0.0,0.0,151
ATP1A1,IL18,KLF16,IL18#KLF16,Endothelial,0.0,0.0,151
ATP1A1,VEGFA,KLF4,VEGFA#KLF4,Endothelial,0.0,0.0,151
ATP1A1,IL4,KLF4,IL4#KLF4,Endothelial,0.0,0.0,151
ATP1A1,TNFSF10,KLF4,TNFSF10#KLF4,Endothelial,0.0,0.0,151
ATP1A1,PDGFB,KLF4,PDGFB#KLF4,Endothelial,0.0,0.0,151
ATP1A1,WNT3A,KLF5,WNT3A#KLF5,Endothelial,0.0,0.0,151
ATP1A1,PDGFC,KLF5,PDGFC#KLF5,Endothelial,0.0,0.0,151
ATP1A1,INHBA,KLF5,INHBA#KLF5,Endothelial,0.0,0.0,151
ATP1A1,BMP6,KLF5,BMP6#KLF5,Endothelial,0.0,0.0,151
ATP1A1,PDGFB,KLF5,PDGFB#KLF5,Endothelial,0.0,0.0,151
ATP1A1,VEGFC,MECOM,VEGFC#MECOM,Endothelial,0.0,0.0,151
ATP1A1,TGFB1,MECOM,TGFB1#MECOM,Endothelial,0.0,0.0,151
ATP1A1,IFNA1,MECOM,IFNA1#MECOM,Endothelial,0.0,0.0,151
ATP1A1,VEGFA,MEF2C,VEGFA#MEF2C,Endothelial,0.0,0.0,151
ATP1A1,TGFB1,MLXIP,TGFB1#MLXIP,Endothelial,0.0,0.0,151
ATP1A1,IL26,MLXIP,IL26#MLXIP,Endothelial,0.0,0.0,151
ATP1A1,VEGFA,MYCN,VEGFA#MYCN,Endothelial,0.0,0.0,151
ATP1A1,CNTF,NR2C2,CNTF#NR2C2,Endothelial,0.0,0.0,151
ATP1A1,VEGFA,NR4A1,VEGFA#NR4A1,Endothelial,0.0,0.0,151
ATP1A1,ADM,NRF1,ADM#NRF1,Endothelial,0.0,0.0,151
ATP1A1,CXCL12,OVOL2,CXCL12#OVOL2,Endothelial,0.0,0.0,151
