gene,metabolite,cell_type,mean,std,n
CD3E,Amiloride-sensitive sodium transport,Fibroblast,0.0,0.0,753
CD3E,Anion exchange,Fibroblast,0.0,0.0,753
CD3E,Butyrate|D-Lactate|Ketone bodies|L-Glutamate|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,Fibroblast,0.0,0.0,753
CD3E,Chloride,Fibroblast,0.0,0.0,753
CD3E,Chloride ion,Fibroblast,0.0,0.0,753
CD3E,Cholesterol,Fibroblast,0.0,0.0,753
CD3E,Cholic acid,Fibroblast,0.0,0.0,753
CD3E,Citric acid|Oxalic acid,Fibroblast,0.0,0.0,753
CD3E,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen|N-desmethylimatinib,Fibroblast,0.0,0.0,753
CD3E,D-Galactose|D-Glucose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid|Glucosamine,Fibroblast,0.0,0.0,753
CD3E,Estradiol,Fibroblast,0.0,0.0,753
CD3E,Fatty acid,Fibroblast,0.0,0.0,753
CD3E,Folic acid,Fibroblast,0.0,0.0,753
CD3E,Folinic acid|Glutathione,Fibroblast,0.0,0.0,753
CD3E,Glycyl-glycine|L-Dopa,Fibroblast,0.0,0.0,753
CD3E,Iron,Fibroblast,0.0,0.0,753
CD3E,L-Carnitine,Fibroblast,0.0,0.0,753
CD3E,L-Cystine,Fibroblast,0.0,0.0,753
CD3E,Nicotinate,Fibroblast,0.0,0.0,753
CD3E,O-Desmethylverapamil (D-702),Fibroblast,0.0,0.0,753
CD3E,Phosphate,Fibroblast,0.0,0.0,753
CD3E,Sodium,Fibroblast,0.0,0.0,753
CD3E,Sodium_hydrogen exchange,Fibroblast,0.0,0.0,753
CD3E,Taurocholic acid,Fibroblast,0.0,0.0,753
CD3E,Testosterone,Fibroblast,0.0,0.0,753
CD3E,Water,Fibroblast,0.0,0.0,753
CD3E,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan|Progesterone",IEC,0.00025016116,6.7849064e-06,2721
CD3E,2-Hydroxychlorpropamide,IEC,0.0011541576,5.3406868e-05,2721
CD3E,25-Hydroxycholesterol,IEC,0.0,0.0,2721
CD3E,4'-Hydroxydiclofenac,IEC,0.00010769482,7.807161e-06,2721
CD3E,4-ene-Valproic acid,IEC,-0.00015522206,3.8002381e-06,2721
CD3E,5-Hydroxyomeprazole,IEC,0.00030060264,2.7989263e-06,2721
CD3E,Acetate,IEC,-0.00013144864,3.532869e-06,2721
CD3E,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,IEC,-4.3476175e-06,1.2442727e-07,2721
CD3E,Adenosine triphosphate,IEC,-5.142743e-05,4.704842e-06,2721
CD3E,Amiloride-sensitive sodium transport,IEC,-0.00019007747,1.4902085e-05,2721
CD3E,Anion exchange,IEC,-0.034681346,0.0001305299,2721
CD3E,Butyrate|D-Lactate|Ketone bodies|L-Glutamate|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,IEC,1.4578639e-07,7.3940565e-09,2721
CD3E,Chloride,IEC,0.00018120462,5.101165e-06,2721
CD3E,Chloride ion,IEC,7.670542e-06,7.9450683e-07,2721
CD3E,Cholesterol,IEC,0.0006411807,1.4521125e-05,2721
CD3E,Cholic acid,IEC,2.662162e-05,3.920998e-06,2721
CD3E,Citric acid|Oxalic acid,IEC,-4.1409097e-05,2.6904129e-06,2721
CD3E,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen|N-desmethylimatinib,IEC,0.00038099315,5.1850557e-06,2721
CD3E,D-Galactose|D-Glucose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid|Glucosamine,IEC,0.0,0.0,2721
CD3E,Estradiol,IEC,0.0002715359,1.2243253e-05,2721
CD3E,Fatty acid,IEC,8.5400507e-07,5.172062e-08,2721
CD3E,Folic acid,IEC,-6.04619e-05,2.5376255e-06,2721
CD3E,Folinic acid|Glutathione,IEC,-5.9661943e-05,3.2391717e-06,2721
CD3E,Glycyl-glycine|L-Dopa,IEC,0.00014199808,5.637438e-06,2721
CD3E,Iron,IEC,0.0010430776,4.5774857e-05,2721
CD3E,L-Carnitine,IEC,-2.0343818e-07,5.9080203e-09,2721
CD3E,L-Cystine,IEC,3.9882525e-07,1.5702527e-08,2721
CD3E,Nicotinate,IEC,-0.00011674897,1.3437364e-05,2721
CD3E,O-Desmethylverapamil (D-702),IEC,0.00036164353,2.0417816e-05,2721
CD3E,Phosphate,IEC,0.0,0.0,2721
CD3E,Sodium,IEC,1.0803554e-09,2.7004643e-11,2721
CD3E,Sodium_hydrogen exchange,IEC,0.0013213925,3.2889046e-05,2721
CD3E,Taurocholic acid,IEC,-5.6026878e-05,3.5233595e-06,2721
CD3E,Testosterone,IEC,0.0008873136,2.4593392e-05,2721
CD3E,Water,IEC,0.0023706623,0.00018164505,2721
CD3E,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan|Progesterone",MAST,0.0,0.0,52
CD3E,2-Hydroxychlorpropamide,MAST,0.0,0.0,52
CD3E,25-Hydroxycholesterol,MAST,0.0,0.0,52
CD3E,4'-Hydroxydiclofenac,MAST,0.0,0.0,52
CD3E,4-ene-Valproic acid,MAST,0.0,0.0,52
CD3E,5-Hydroxyomeprazole,MAST,0.0,0.0,52
CD3E,Acetate,MAST,0.0,0.0,52
CD3E,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,MAST,0.0,0.0,52
