sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,Tier1_n_sig_pairs,Tier1_interactions,Tier1_within_Tcell,Tier1_Tcell_interfaces,Tier1_tcell_involved,Tier2_n_sig_pairs,Tier2_interactions,Tier2_within_Tcell,Tier2_Tcell_interfaces,Tier2_tcell_involved,Tier3_n_sig_pairs,Tier3_interactions,Tier3_within_Tcell,Tier3_Tcell_interfaces,Tier3_tcell_involved
Human_Lung,Putrescine,1,SLC22A4,True,0.0011336181233537,1,2,T Cell (self) (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),,True,3,CD4 T Cell (self) (4.7e-03); CD8 T Cell–other (9.0e-03); other (self) (2.4e-03),CD4 T Cell (self) (4.7e-03),CD8 T Cell–other (9.0e-03),True,2,Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Exhausted CD8–other (5.8e-03),True
Human_Lung,Pyruvate,1,SLC16A1,True,0.0011336181233537,1,2,T Cell (self) (4.5e-03); other (self) (7.3e-03),T Cell (self) (4.5e-03),,True,2,CD4 T Cell–CD8 T Cell (2.8e-02); other (self) (2.2e-02),,CD4 T Cell–CD8 T Cell (2.8e-02),True,2,CD4–Cytotoxic CD8 (1.6e-02); other (self) (1.0e-02),,CD4–Cytotoxic CD8 (1.6e-02),True
Human_Lung,Serotonin,6,"SLC22A1, SLC22A2, SLC6A4",True,0.0011336181233537,3,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,6,CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); CD4 T Cell (self) (4.7e-03); CD8 T Cell (self) (4.7e-03); CD4 T Cell–CD8 T Cell (9.0e-03); other (self) (2.4e-03),CD4 T Cell (self) (4.7e-03); CD8 T Cell (self) (4.7e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); CD4 T Cell–CD8 T Cell (9.0e-03),True,7,CD4 (self) (5.8e-03); CD4–other (5.8e-03); Cytotoxic CD8 (self) (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Cytotoxic CD8 (1.4e-02); other (self) (5.8e-03),CD4 (self) (5.8e-03); Cytotoxic CD8 (self) (5.8e-03),CD4–other (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); CD4–Cytotoxic CD8 (1.4e-02),True
Human_Lung,Sodium,78,"SLC10A1, SLC12A2, SLC1A5, SLC22A4, SLC22A5, SLC29A1, SLC5A1, SLC5A3, SLC5A5, SLC5A7, SLC6A2, SLC6A4",True,0.0011336181233537,34,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,6,CD4 T Cell (self) (2.4e-03); CD4 T Cell–CD8 T Cell (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell (self) (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03); CD8 T Cell (self) (2.4e-03),CD4 T Cell–CD8 T Cell (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,7,Cytotoxic CD8–other (5.8e-03); Exhausted CD4 (self) (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); Cytotoxic CD8 (self) (1.9e-02); CD4–Treg (4.9e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03); Cytotoxic CD8 (self) (1.9e-02),Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); CD4–Treg (4.9e-02),True
Human_Lung,Sodium_D-Glucose cotransport,1,SLC5A2,False,0.058503587261524,0,0,,,,False,0,,,,False,0,,,,False
Human_Lung,Sodium_calcium_potassium exchange,3,"SLC24A1, SLC24A4",True,0.0011336181233537,2,1,other (self) (1.6e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (5.8e-03),,,False
Human_Lung,Sodium_hydrogen exchange,3,"SLC9A1, SLC9A3",True,0.0011336181233537,3,3,T Cell (self) (1.6e-03); T Cell–other (1.4e-02); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.4e-02),True,3,CD4 T Cell (self) (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD8 T Cell–other (2.4e-03),True,4,Exhausted CD4–other (5.8e-03); Exhausted CD4 (self) (1.0e-02); Cytotoxic CD8–other (1.4e-02); other (self) (5.8e-03),Exhausted CD4 (self) (1.0e-02),Exhausted CD4–other (5.8e-03); Cytotoxic CD8–other (1.4e-02),True
Human_Lung,Spermine,3,"SLC22A1, SLC22A4",True,0.0011336181233537,3,2,T Cell (self) (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),,True,3,CD4 T Cell (self) (4.7e-03); CD8 T Cell–other (1.1e-02); other (self) (2.4e-03),CD4 T Cell (self) (4.7e-03),CD8 T Cell–other (1.1e-02),True,2,Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Exhausted CD8–other (5.8e-03),True
Human_Lung,Sulfolithocholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0011336181233537,4,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,4,CD4 T Cell (self) (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,4,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03); other (self) (5.8e-03),,Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD8–other (5.8e-03),True
Human_Lung,Taurocholic acid,91,"ABCB1, ABCC1, ABCC2, ABCC3, ABCC4, ABCG2, SLC10A1, SLC16A1, SLC22A1, SLCO1B1, SLCO1B3, SLCO1C1, SLCO2B1",True,0.0011336181233537,25,3,T Cell (self) (1.6e-03); T Cell–other (1.6e-03); other (self) (1.6e-03),T Cell (self) (1.6e-03),T Cell–other (1.6e-03),True,5,CD4 T Cell (self) (2.4e-03); CD4 T Cell–CD8 T Cell (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),CD4 T Cell (self) (2.4e-03),CD4 T Cell–CD8 T Cell (2.4e-03); CD4 T Cell–other (2.4e-03); CD8 T Cell–other (2.4e-03),True,14,CD4–Cytotoxic CD8 (5.8e-03); CD4–Treg (5.8e-03); CD4–other (5.8e-03); Cytotoxic CD8–Exhausted CD4 (5.8e-03); Cytotoxic CD8–Treg (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4 (self) (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD4–Treg (1.0e-02); Exhausted CD8–other (1.0e-02); Cytotoxic CD4–Cytotoxic CD8 (3.9e-02); Treg (self) (4.2e-02); Cytotoxic CD4–Treg (4.9e-02); other (self) (5.8e-03),Exhausted CD4 (self) (5.8e-03); Treg (self) (4.2e-02),CD4–Cytotoxic CD8 (5.8e-03); CD4–Treg (5.8e-03); CD4–other (5.8e-03); Cytotoxic CD8–Exhausted CD4 (5.8e-03); Cytotoxic CD8–Treg (5.8e-03); Cytotoxic CD8–other (5.8e-03); Exhausted CD4–other (5.8e-03); Exhausted CD4–Treg (1.0e-02); Exhausted CD8–other (1.0e-02); Cytotoxic CD4–Cytotoxic CD8 (3.9e-02); Cytotoxic CD4–Treg (4.9e-02),True
