gene,export,import,pair,cell_type,mean,std,n
CD3E,ABCC3,ABCC3,ABCC3@ABCC3,CD4,4.2326412e-10,1.692069e-09,10604
CD3E,ABCA1,ABCA1,ABCA1@ABCA1,CD4,-0.0042495592,0.0014069534,10604
CD3E,ABCC1,ABCC1,ABCC1@ABCC1,CD4,6.248238e-05,3.0122794e-05,10604
CD3E,FOLR1,FOLR1,FOLR1@FOLR1,CD4,-8.2666173e-07,1.9290596e-06,10604
CD3E,SLC16A4,SLC16A4,SLC16A4@SLC16A4,CD4,-3.430836e-09,1.4052462e-08,10604
CD3E,SLCO2B1,SLCO2B1,SLCO2B1@SLCO2B1,CD4,-0.0006301918,0.00023127365,10604
CD3E,SLCO2B1,SLC16A1,SLCO2B1@SLC16A1,CD4,-7.561835e-09,3.0317604e-08,10604
CD3E,SLC29A3,SLC29A3,SLC29A3@SLC29A3,CD4,-0.00017322488,7.1810355e-05,10604
CD3E,SLC29A1,SLC29A1,SLC29A1@SLC29A1,CD4,-0.0002058936,0.00010627524,10604
CD3E,CD38,CD38,CD38@CD38,CD4,1.0373963e-05,4.340128e-06,10604
CD3E,ATP7A,TAP1,ATP7A@TAP1,CD4,0.000106771346,4.5508466e-05,10604
CD3E,TAP1,ATP7A,TAP1@ATP7A,CD4,4.9124807e-08,2.5626e-08,10604
CD3E,TAP1,TAP1,TAP1@TAP1,CD4,0.00078124175,0.0004808147,10604
CD3E,SCNN1A,SCNN1A,SCNN1A@SCNN1A,CD4,-7.211566e-08,2.9240005e-07,10604
CD3E,SLC39A8,SLC39A8,SLC39A8@SLC39A8,CD4,-8.0385965e-09,3.3029924e-08,10604
CD3E,ORAI2,ORAI2,ORAI2@ORAI2,CD4,-1.4512554e-09,5.8585705e-09,10604
CD3E,CLCN3,CLCN3,CLCN3@CLCN3,CD4,-7.166038e-09,2.899587e-08,10604
CD3E,SLC12A2,SLC12A2,SLC12A2@SLC12A2,CD4,-5.492071e-08,2.3292941e-07,10604
CD3E,CD36,CD36,CD36@CD36,CD4,-7.339981e-05,4.1090414e-05,10604
CD3E,ABCC1,ABCC3,ABCC1@ABCC3,CD4,-7.767564e-09,3.139369e-08,10604
CD3E,ABCC3,ABCC1,ABCC3@ABCC1,CD4,1.2476786e-05,6.525822e-06,10604
CD3E,SLC2A1,SLC2A1,SLC2A1@SLC2A1,CD4,7.3757576e-08,3.001845e-08,10604
CD3E,SLC2A3,SLC2A3,SLC2A3@SLC2A3,CD4,-0.0020069364,0.00069581665,10604
CD3E,SLC2A3,SLC2A9,SLC2A3@SLC2A9,CD4,-9.5025325e-07,4.206754e-07,10604
CD3E,SLC2A9,SLC2A3,SLC2A9@SLC2A3,CD4,-9.16546e-05,3.689986e-05,10604
CD3E,MSR1,MSR1,MSR1@MSR1,CD4,-0.0078053284,0.002404892,10604
CD3E,CPT1A,CPT1A,CPT1A@CPT1A,CD4,1.9296096e-05,1.07385895e-05,10604
CD3E,CD36,MSR1,CD36@MSR1,CD4,-0.000841025,0.00036978253,10604
CD3E,MSR1,CD36,MSR1@CD36,CD4,-0.00073609693,0.00033244697,10604
CD3E,ABCC4,FOLR1,ABCC4@FOLR1,CD4,-2.6879796e-09,1.0749457e-08,10604
CD3E,FOLR1,ABCC4,FOLR1@ABCC4,CD4,-7.0079076e-09,2.7946882e-08,10604
CD3E,ABCC3,FOLR1,ABCC3@FOLR1,CD4,6.3533835e-06,3.5174967e-06,10604
CD3E,FOLR1,ABCC3,FOLR1@ABCC3,CD4,-3.1882408e-08,1.9546033e-07,10604
CD3E,LRP1,LRP1,LRP1@LRP1,CD4,-7.020418e-05,2.9498296e-05,10604
CD3E,SLC3A2,SLC40A1,SLC3A2@SLC40A1,CD4,0.0012803171,0.00056546787,10604
CD3E,SLC40A1,SLC3A2,SLC40A1@SLC3A2,CD4,9.2716284e-05,5.184646e-05,10604
CD3E,SLC11A2,SLC40A1,SLC11A2@SLC40A1,CD4,0.002488737,0.00091135805,10604
CD3E,SLC40A1,SLC11A2,SLC40A1@SLC11A2,CD4,-3.7598622e-07,1.4492826e-07,10604
CD3E,SLC11A1,SLC11A2,SLC11A1@SLC11A2,CD4,-7.3742826e-06,2.9291389e-06,10604
CD3E,SLC11A2,SLC11A1,SLC11A2@SLC11A1,CD4,-1.1292232e-05,4.7174e-06,10604
