gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,GAS6,AXL,GAS6$AXL,CD4,0.00015722452,7.0555216e-05,10604
CD3E,GAS6,TYRO3,GAS6$TYRO3,CD4,1.5785347e-11,6.286134e-11,10604
CD3E,GRN,SORT1,GRN$SORT1,CD4,-9.4468225e-05,4.1255673e-05,10604
CD3E,PROS1,AXL,PROS1$AXL,CD4,5.560991e-08,3.8693933e-08,10604
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,CD4,1.9724599e-05,1.10528945e-05,10604
CD3E,BAG6,NCR3,BAG6$NCR3,CD4,-4.0785076e-06,1.619914e-05,10604
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,CD4,-0.00016192376,8.744159e-05,10604
CD3E,LGALS9,CD44,LGALS9$CD44,CD4,-1.6880056e-05,0.0003983492,10604
CD3E,LAMB3,CD44,LAMB3$CD44,CD4,5.388951e-08,2.1582296e-07,10604
CD3E,CD40LG,CD40,CD40LG$CD40,CD4,1.31042825e-05,5.4883385e-06,10604
CD3E,CD99,CD99,CD99$CD99,CD4,3.9346406e-07,1.5871531e-06,10604
CD3E,CDH1,CDH1,CDH1$CDH1,CD4,5.4375572e-08,2.1570877e-07,10604
CD3E,CDH1,ITGAE,CDH1$ITGAE,CD4,1.2883855e-07,5.249669e-07,10604
CD3E,ICAM1,ITGB2,ICAM1$ITGB2,CD4,-2.1577325e-06,1.0113954e-06,10604
CD3E,ICAM1,ITGAL,ICAM1$ITGAL,CD4,1.923871e-07,7.7125367e-07,10604
CD3E,ITGB2,ICAM1,ITGB2$ICAM1,CD4,-1.1812792e-05,4.761105e-06,10604
CD3E,F11R,ITGAL,F11R$ITGAL,CD4,6.613036e-07,2.6376265e-06,10604
CD3E,F11R,F11R,F11R$F11R,CD4,-3.434969e-08,1.3856409e-07,10604
CD3E,LCK,CD8A,LCK$CD8A,CD4,4.5167453e-06,1.803898e-05,10604
CD3E,PECAM1,PECAM1,PECAM1$PECAM1,CD4,-3.873566e-09,1.5453523e-08,10604
CD3E,THY1,ITGB2,THY1$ITGB2,CD4,9.575943e-06,3.7862271e-06,10604
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Cytotoxic CD4,1.0047276e-07,2.8652634e-08,377
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,Cytotoxic CD4,3.901902e-07,2.4814146e-06,377
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,Cytotoxic CD4,1.14150694e-07,1.5949367e-06,377
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,Cytotoxic CD4,1.3098651e-06,3.6777087e-06,377
CD3E,BMP2,BMPR2,BMP2$BMPR2,Cytotoxic CD4,-2.2382036e-08,1.3700122e-07,377
CD3E,BMP5,BMPR2,BMP5$BMPR2,Cytotoxic CD4,-7.4313316e-09,4.6159233e-08,377
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,Cytotoxic CD4,1.3596852e-08,8.278611e-08,377
CD3E,TGFA,EGFR,TGFA$EGFR,Cytotoxic CD4,-2.0411977e-09,1.297574e-08,377
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,Cytotoxic CD4,-2.4538664e-08,1.5787012e-07,377
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,Cytotoxic CD4,-1.6400773e-07,1.0124381e-06,377
CD3E,PDGFC,PDGFRA,PDGFC$PDGFRA,Cytotoxic CD4,-4.869049e-07,3.005414e-06,377
CD3E,VEGFA,KDR,VEGFA$KDR,Cytotoxic CD4,-7.301927e-08,4.5206363e-07,377
CD3E,VEGFD,KDR,VEGFD$KDR,Cytotoxic CD4,-2.5573617e-09,1.5692942e-08,377
CD3E,CCL8,CCR1,CCL8$CCR1,Cytotoxic CD4,-3.37287e-07,4.635309e-06,377
CD3E,CCL7,CCR1,CCL7$CCR1,Cytotoxic CD4,-1.516957e-07,2.2356196e-06,377
CD3E,CCL13,CCR1,CCL13$CCR1,Cytotoxic CD4,-7.215613e-07,9.938162e-06,377
CD3E,CCL14,CCR1,CCL14$CCR1,Cytotoxic CD4,6.765616e-09,9.283061e-08,377
CD3E,CCL22,CCR4,CCL22$CCR4,Cytotoxic CD4,-1.9094669e-08,1.2310785e-07,377
CD3E,CCL19,CCR7,CCL19$CCR7,Cytotoxic CD4,3.8450587e-05,1.2378513e-05,377
CD3E,CXCL9,CXCR3,CXCL9$CXCR3,Cytotoxic CD4,9.526671e-05,2.35534e-05,377
CD3E,CXCL10,CXCR3,CXCL10$CXCR3,Cytotoxic CD4,2.4026228e-06,8.424624e-07,377
CD3E,CXCL13,CXCR3,CXCL13$CXCR3,Cytotoxic CD4,1.9567082e-05,6.9467474e-06,377
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,Cytotoxic CD4,0.00072947546,0.000362896,377
CD3E,CXCL13,CXCR5,CXCL13$CXCR5,Cytotoxic CD4,1.2463326e-07,3.728053e-08,377
CD3E,CXCL16,CXCR6,CXCL16$CXCR6,Cytotoxic CD4,9.210722e-06,5.803498e-05,377
CD3E,CX3CL1,CX3CR1,CX3CL1$CX3CR1,Cytotoxic CD4,-4.2126277e-07,2.641364e-06,377
CD3E,IL2,IL2RG,IL2$IL2RG,Cytotoxic CD4,6.602128e-08,1.7748588e-08,377
CD3E,IL7,IL2RG,IL7$IL2RG,Cytotoxic CD4,1.1264818e-06,7.253187e-06,377
CD3E,IL15,IL2RG,IL15$IL2RG,Cytotoxic CD4,8.380178e-06,4.5894003e-06,377
CD3E,IL6,IL6ST,IL6$IL6ST,Cytotoxic CD4,1.9727686e-07,1.2532337e-06,377
CD3E,EBI3,IL6ST,EBI3$IL6ST,Cytotoxic CD4,-9.2494936e-08,5.754437e-07,377
CD3E,IL34,CSF1R,IL34$CSF1R,Cytotoxic CD4,3.3407467e-08,4.675412e-07,377
CD3E,CSF1,CSF1R,CSF1$CSF1R,Cytotoxic CD4,1.6841115e-08,8.4530694e-07,377
CD3E,IL16,CD4,IL16$CD4,Cytotoxic CD4,0.0002706255,0.00023575635,377
CD3E,LTA,TNFRSF14,LTA$TNFRSF14,Cytotoxic CD4,-9.720785e-10,6.074717e-09,377
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Cytotoxic CD4,1.0787832e-06,6.61168e-06,377
CD3E,TNFSF12,TNFRSF12A,TNFSF12$TNFRSF12A,Cytotoxic CD4,2.353103e-09,1.5242678e-08,377
CD3E,TNFSF13B,TNFRSF13C,TNFSF13B$TNFRSF13C,Cytotoxic CD4,6.091364e-06,3.6725137e-06,377
CD3E,CD40LG,ITGAM,CD40LG$ITGAM,Cytotoxic CD4,3.0980496e-07,3.9862575e-06,377
CD3E,CD40LG,ITGB2,CD40LG$ITGB2,Cytotoxic CD4,3.8812726e-05,4.1453724e-05,377
CD3E,RETN,TLR4,RETN$TLR4,Cytotoxic CD4,-4.4833385e-08,6.373821e-07,377
CD3E,ANGPTL2,TLR4,ANGPTL2$TLR4,Cytotoxic CD4,3.8775838e-08,5.3675194e-07,377
CD3E,ANGPTL4,CDH11,ANGPTL4$CDH11,Cytotoxic CD4,-2.3461344e-10,1.5652882e-09,377
CD3E,ANGPT1,TEK,ANGPT1$TEK,Cytotoxic CD4,-4.986191e-10,3.0676441e-09,377
CD3E,POSTN,ITGAV,POSTN$ITGAV,Cytotoxic CD4,-7.9408785e-08,1.2565469e-06,377
CD3E,POSTN,ITGB5,POSTN$ITGB5,Cytotoxic CD4,-1.2604458e-07,2.0328476e-05,377
CD3E,C4A,C3AR1,C4A$C3AR1,Cytotoxic CD4,2.9433338e-07,4.052501e-06,377
CD3E,C4A,CR2,C4A$CR2,Cytotoxic CD4,-1.4031648e-05,3.9596325e-06,377
CD3E,GZMA,F2R,GZMA$F2R,Cytotoxic CD4,1.0580168e-06,6.6375082e-06,377
CD3E,FLT3LG,FLT3,FLT3LG$FLT3,Cytotoxic CD4,0.0,0.0,377
CD3E,SEMA3C,NRP1,SEMA3C$NRP1,Cytotoxic CD4,-3.0130198e-06,1.694602e-05,377
CD3E,SEMA3C,NRP2,SEMA3C$NRP2,Cytotoxic CD4,-4.0430834e-08,6.002249e-07,377
CD3E,ADM,CALCRL,ADM$CALCRL,Cytotoxic CD4,-3.1770302e-08,1.9677448e-07,377
CD3E,GAS6,AXL,GAS6$AXL,Cytotoxic CD4,-3.521629e-07,1.4173145e-05,377
CD3E,GAS6,TYRO3,GAS6$TYRO3,Cytotoxic CD4,6.8086903e-12,4.2225574e-11,377
CD3E,GRN,SORT1,GRN$SORT1,Cytotoxic CD4,-3.4677287e-06,2.0084646e-05,377
