gene,export,import,pair,cell_type,mean,std,n
CD3E,ABCC3,ABCC3,ABCC3@ABCC3,T Cell,3.374916e-09,3.82226e-09,46723
CD3E,ABCA1,ABCA1,ABCA1@ABCA1,T Cell,-0.0023965875,0.0023661815,46723
CD3E,ABCC1,ABCC1,ABCC1@ABCC1,T Cell,3.7462254e-05,3.981687e-05,46723
CD3E,FOLR1,FOLR1,FOLR1@FOLR1,T Cell,-4.0475625e-06,4.1615554e-06,46723
CD3E,SLC16A4,SLC16A4,SLC16A4@SLC16A4,T Cell,-2.8011039e-08,3.277013e-08,46723
CD3E,SLCO2B1,SLCO2B1,SLCO2B1@SLCO2B1,T Cell,-0.0003314106,0.000338519,46723
CD3E,SLCO2B1,SLC16A1,SLCO2B1@SLC16A1,T Cell,-5.4161625e-08,6.2891615e-08,46723
CD3E,SLC29A3,SLC29A3,SLC29A3@SLC29A3,T Cell,-0.00010005725,0.00010286474,46723
CD3E,SLC29A1,SLC29A1,SLC29A1@SLC29A1,T Cell,-0.00012841697,0.00013934216,46723
CD3E,CD38,CD38,CD38@CD38,T Cell,5.5683026e-06,5.9181225e-06,46723
CD3E,ATP7A,TAP1,ATP7A@TAP1,T Cell,6.055992e-05,6.291285e-05,46723
CD3E,TAP1,ATP7A,TAP1@ATP7A,T Cell,1.0184654e-08,4.7113513e-08,46723
CD3E,TAP1,TAP1,TAP1@TAP1,T Cell,0.000499532,0.000562004,46723
CD3E,SCNN1A,SCNN1A,SCNN1A@SCNN1A,T Cell,-5.152327e-07,6.0340165e-07,46723
CD3E,SLC39A8,SLC39A8,SLC39A8@SLC39A8,T Cell,-5.2158917e-08,6.517119e-08,46723
CD3E,ORAI2,ORAI2,ORAI2@ORAI2,T Cell,-1.0707413e-08,1.2357358e-08,46723
CD3E,CLCN3,CLCN3,CLCN3@CLCN3,T Cell,-6.108826e-08,6.9991934e-08,46723
CD3E,SLC12A2,SLC12A2,SLC12A2@SLC12A2,T Cell,-3.476596e-07,4.793444e-07,46723
CD3E,CD36,CD36,CD36@CD36,T Cell,-3.926181e-05,4.387597e-05,46723
CD3E,ABCC1,ABCC3,ABCC1@ABCC3,T Cell,-5.800314e-08,6.682837e-08,46723
CD3E,ABCC3,ABCC1,ABCC3@ABCC1,T Cell,7.3002157e-06,8.447624e-06,46723
CD3E,SLC2A1,SLC2A1,SLC2A1@SLC2A1,T Cell,4.3063064e-08,4.4360434e-08,46723
CD3E,SLC2A3,SLC2A3,SLC2A3@SLC2A3,T Cell,-0.0011100359,0.0011081795,46723
CD3E,SLC2A3,SLC2A9,SLC2A3@SLC2A9,T Cell,-5.3786164e-07,5.62652e-07,46723
CD3E,SLC2A9,SLC2A3,SLC2A9@SLC2A3,T Cell,-4.9719838e-05,5.1393497e-05,46723
CD3E,MSR1,MSR1,MSR1@MSR1,T Cell,-0.0044130636,0.0043098093,46723
CD3E,CPT1A,CPT1A,CPT1A@CPT1A,T Cell,1.1498023e-05,1.2970743e-05,46723
CD3E,CD36,MSR1,CD36@MSR1,T Cell,-0.00049259234,0.000509923,46723
CD3E,MSR1,CD36,MSR1@CD36,T Cell,-0.0004166359,0.00043944342,46723
CD3E,ABCC4,FOLR1,ABCC4@FOLR1,T Cell,-1.9813188e-08,2.2389571e-08,46723
CD3E,FOLR1,ABCC4,FOLR1@ABCC4,T Cell,-5.4480264e-08,6.0490116e-08,46723
CD3E,ABCC3,FOLR1,ABCC3@FOLR1,T Cell,2.056832e-06,5.639541e-06,46723
CD3E,FOLR1,ABCC3,FOLR1@ABCC3,T Cell,-3.6686743e-07,4.3513657e-07,46723
CD3E,LRP1,LRP1,LRP1@LRP1,T Cell,-3.863883e-05,3.896249e-05,46723
CD3E,SLC3A2,SLC40A1,SLC3A2@SLC40A1,T Cell,0.000698618,0.00073908916,46723
CD3E,SLC40A1,SLC3A2,SLC40A1@SLC3A2,T Cell,5.8568414e-05,6.569209e-05,46723
CD3E,SLC11A2,SLC40A1,SLC11A2@SLC40A1,T Cell,0.0013447042,0.0013797052,46723
CD3E,SLC40A1,SLC11A2,SLC40A1@SLC11A2,T Cell,-4.2938618e-07,1.6923906e-07,46723
CD3E,SLC11A1,SLC11A2,SLC11A1@SLC11A2,T Cell,-3.867235e-06,4.009261e-06,46723
CD3E,SLC11A2,SLC11A1,SLC11A2@SLC11A1,T Cell,-6.04478e-06,6.286271e-06,46723
CD3E,SLC11A2,SLC11A2,SLC11A2@SLC11A2,T Cell,-0.00010371694,0.00010698244,46723
CD3E,CUBN,SLC40A1,CUBN@SLC40A1,T Cell,2.0466336e-05,2.1059053e-05,46723
CD3E,SLC40A1,CUBN,SLC40A1@CUBN,T Cell,2.1310454e-08,2.5115396e-08,46723
CD3E,SLC3A2,SLC11A1,SLC3A2@SLC11A1,T Cell,-1.851041e-08,1.9797199e-08,46723
CD3E,SLC3A2,SLC3A2,SLC3A2@SLC3A2,T Cell,-2.7967226e-07,1.04103776e-07,46723
CD3E,SLC11A2,SLC3A2,SLC11A2@SLC3A2,T Cell,-1.2396721e-06,6.2904456e-07,46723
CD3E,SLC3A2,SLC11A2,SLC3A2@SLC11A2,T Cell,-3.0369563e-05,3.3314715e-05,46723
CD3E,SLC40A1,SLC40A1,SLC40A1@SLC40A1,T Cell,0.007185112,0.0070323464,46723
CD3E,SLC1A5,SLC1A5,SLC1A5@SLC1A5,T Cell,2.430763e-05,2.581093e-05,46723
CD3E,SLC43A2,SLC43A2,SLC43A2@SLC43A2,T Cell,-2.6780086e-08,2.7231325e-08,46723
CD3E,SLC1A5,SLC3A2,SLC1A5@SLC3A2,T Cell,-3.1370132e-07,3.4911866e-07,46723
CD3E,SLC3A2,SLC1A5,SLC3A2@SLC1A5,T Cell,1.4397067e-06,1.735088e-06,46723
CD3E,SLC7A7,SLC7A7,SLC7A7@SLC7A7,T Cell,-0.00066283694,0.0006808248,46723
CD3E,SLC38A7,SLC1A5,SLC38A7@SLC1A5,T Cell,2.6057435e-08,3.212072e-08,46723
CD3E,SLC38A7,SLC7A7,SLC38A7@SLC7A7,T Cell,-2.3107614e-05,2.515943e-05,46723
CD3E,SLC7A7,SLC38A7,SLC7A7@SLC38A7,T Cell,-5.2442498e-05,5.458566e-05,46723
CD3E,SLC3A2,SLC7A7,SLC3A2@SLC7A7,T Cell,-0.000109966255,0.000112492395,46723
CD3E,SLC7A7,SLC3A2,SLC7A7@SLC3A2,T Cell,-0.00011016586,0.000114631475,46723
CD3E,SLC43A2,SLC3A2,SLC43A2@SLC3A2,T Cell,-2.8891577e-07,3.3435035e-07,46723
CD3E,SLC6A4,SLC6A4,SLC6A4@SLC6A4,T Cell,1.12602216e-07,1.3641991e-07,46723
CD3E,ABCC3,SLC22A5,ABCC3@SLC22A5,T Cell,1.3558019e-08,1.5082955e-08,46723
CD3E,SLC22A5,ABCC3,SLC22A5@ABCC3,T Cell,-5.396147e-08,6.180791e-08,46723
CD3E,SLC12A2,SLC22A5,SLC12A2@SLC22A5,T Cell,1.6505041e-09,1.9012256e-09,46723
CD3E,SLC22A5,SLC12A2,SLC22A5@SLC12A2,T Cell,-9.9838555e-09,1.11874465e-08,46723
CD3E,SLC1A5,SLC22A5,SLC1A5@SLC22A5,T Cell,1.1240806e-08,1.2806119e-08,46723
CD3E,SLC22A5,SLC1A5,SLC22A5@SLC1A5,T Cell,1.9608455e-08,2.439299e-08,46723
CD3E,SLC12A2,SLC5A3,SLC12A2@SLC5A3,T Cell,2.712636e-08,3.2496313e-08,46723
CD3E,SLC5A3,SLC12A2,SLC5A3@SLC12A2,T Cell,-2.1101698e-08,2.5729722e-08,46723
CD3E,SLC22A4,SLC5A3,SLC22A4@SLC5A3,T Cell,3.17508e-07,3.5755505e-07,46723
CD3E,SLC12A2,SLC1A5,SLC12A2@SLC1A5,T Cell,3.098662e-05,3.2874526e-05,46723
CD3E,SLC1A5,SLC12A2,SLC1A5@SLC12A2,T Cell,-4.449116e-08,5.552026e-08,46723
CD3E,SLC5A3,SLC1A5,SLC5A3@SLC1A5,T Cell,1.5601217e-05,1.6186117e-05,46723
CD3E,SLC5A3,SLC5A3,SLC5A3@SLC5A3,T Cell,-7.3038403e-10,9.044404e-10,46723
CD3E,SLC1A5,SLC29A1,SLC1A5@SLC29A1,T Cell,-2.8725967e-07,3.582736e-07,46723
CD3E,SLC29A1,SLC1A5,SLC29A1@SLC1A5,T Cell,2.4617957e-08,2.8258723e-08,46723
CD3E,SLC22A5,SLC29A1,SLC22A5@SLC29A1,T Cell,-4.047498e-08,5.2113712e-08,46723
CD3E,SLC29A1,SLC22A5,SLC29A1@SLC22A5,T Cell,-4.9704422e-08,5.6047966e-08,46723
CD3E,SLC12A2,SLC29A1,SLC12A2@SLC29A1,T Cell,-1.2645658e-05,1.3345024e-05,46723
CD3E,SLC29A1,SLC12A2,SLC29A1@SLC12A2,T Cell,-2.4674313e-07,2.7166533e-07,46723
CD3E,SLC5A3,SLC29A1,SLC5A3@SLC29A1,T Cell,-4.2635397e-06,3.8156354e-06,46723
CD3E,SLC9A1,SLC9A1,SLC9A1@SLC9A1,T Cell,-5.996701e-09,6.9195707e-09,46723
CD3E,AQP9,AQP9,AQP9@AQP9,T Cell,-3.530188e-05,4.5470933e-05,46723
CD3E,ABCC3,ABCC3,ABCC3@ABCC3,other,7.5189177e-10,2.2223954e-09,231605
CD3E,ABCA1,ABCA1,ABCA1@ABCA1,other,-4.550909e-05,0.00046421832,231605
CD3E,ABCC1,ABCC1,ABCC1@ABCC1,other,7.192804e-07,7.393299e-06,231605
CD3E,FOLR1,FOLR1,FOLR1@FOLR1,other,-8.8369603e-07,2.5778368e-06,231605
CD3E,SLC16A4,SLC16A4,SLC16A4@SLC16A4,other,-6.2745413e-09,1.8984592e-08,231605
CD3E,SLCO2B1,SLCO2B1,SLCO2B1@SLCO2B1,other,-6.523979e-06,6.7573565e-05,231605
CD3E,SLCO2B1,SLC16A1,SLCO2B1@SLC16A1,other,-1.3268647e-08,3.932014e-08,231605
CD3E,SLC29A3,SLC29A3,SLC29A3@SLC29A3,other,-1.8897208e-06,1.9736615e-05,231605
CD3E,SLC29A1,SLC29A1,SLC29A1@SLC29A1,other,-2.4566978e-06,2.5626488e-05,231605
CD3E,CD38,CD38,CD38@CD38,other,9.820479e-08,1.1523248e-06,231605
CD3E,ATP7A,TAP1,ATP7A@TAP1,other,1.1524293e-06,1.2097707e-05,231605
CD3E,TAP1,ATP7A,TAP1@ATP7A,other,-3.5105043e-09,1.3191316e-08,231605
CD3E,TAP1,TAP1,TAP1@TAP1,other,8.622798e-06,0.000101335834,231605
CD3E,SCNN1A,SCNN1A,SCNN1A@SCNN1A,other,-1.2358923e-07,3.701837e-07,231605
CD3E,SLC39A8,SLC39A8,SLC39A8@SLC39A8,other,-1.3469655e-08,4.136488e-08,231605
CD3E,ORAI2,ORAI2,ORAI2@ORAI2,other,-2.5599485e-09,7.638666e-09,231605
CD3E,CLCN3,CLCN3,CLCN3@CLCN3,other,-1.3184178e-08,3.9371834e-08,231605
CD3E,SLC12A2,SLC12A2,SLC12A2@SLC12A2,other,-9.0798395e-08,2.9142726e-07,231605
CD3E,CD36,CD36,CD36@CD36,other,-7.515912e-07,8.341931e-06,231605
CD3E,ABCC1,ABCC3,ABCC1@ABCC3,other,-1.401855e-08,4.187453e-08,231605
CD3E,ABCC3,ABCC1,ABCC3@ABCC1,other,6.979983e-08,1.5088159e-06,231605
CD3E,SLC2A1,SLC2A1,SLC2A1@SLC2A1,other,8.0672297e-10,8.489451e-09,231605
CD3E,SLC2A3,SLC2A3,SLC2A3@SLC2A3,other,-2.1078265e-05,0.00021841426,231605
CD3E,SLC2A3,SLC2A9,SLC2A3@SLC2A9,other,-1.0061587e-08,1.0663189e-07,231605
CD3E,SLC2A9,SLC2A3,SLC2A9@SLC2A3,other,-9.629912e-07,1.0086942e-05,231605
CD3E,MSR1,MSR1,MSR1@MSR1,other,-8.202731e-05,0.000835697,231605
CD3E,CPT1A,CPT1A,CPT1A@CPT1A,other,2.0302562e-07,2.2576655e-06,231605
CD3E,CD36,MSR1,CD36@MSR1,other,-9.226828e-06,9.799595e-05,231605
CD3E,MSR1,CD36,MSR1@CD36,other,-7.822598e-06,8.3685016e-05,231605
CD3E,ABCC4,FOLR1,ABCC4@FOLR1,other,-4.7335007e-09,1.4001956e-08,231605
CD3E,FOLR1,ABCC4,FOLR1@ABCC4,other,-1.2256184e-08,3.60447e-08,231605
CD3E,ABCC3,FOLR1,ABCC3@FOLR1,other,-3.0922516e-07,1.3842396e-06,231605
CD3E,FOLR1,ABCC3,FOLR1@ABCC3,other,-8.424005e-08,2.5144823e-07,231605
CD3E,LRP1,LRP1,LRP1@LRP1,other,-8.6532117e-07,7.650843e-06,231605
CD3E,SLC3A2,SLC40A1,SLC3A2@SLC40A1,other,1.3419995e-05,0.00014544356,231605
CD3E,SLC40A1,SLC3A2,SLC40A1@SLC3A2,other,1.0662128e-06,1.0828684e-05,231605
CD3E,SLC11A2,SLC40A1,SLC11A2@SLC40A1,other,2.5665815e-05,0.00027567186,231605
CD3E,SLC40A1,SLC11A2,SLC40A1@SLC11A2,other,-5.7706817e-08,1.656301e-07,231605
CD3E,SLC11A1,SLC11A2,SLC11A1@SLC11A2,other,-7.336761e-08,7.7361284e-07,231605
CD3E,SLC11A2,SLC11A1,SLC11A2@SLC11A1,other,-1.1747311e-07,1.2395758e-06,231605
CD3E,SLC11A2,SLC11A2,SLC11A2@SLC11A2,other,-2.027983e-06,2.0790345e-05,231605
CD3E,CUBN,SLC40A1,CUBN@SLC40A1,other,3.9840066e-07,4.155275e-06,231605
CD3E,SLC40A1,CUBN,SLC40A1@CUBN,other,4.6204103e-09,1.3989678e-08,231605
