cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
B,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",7,0.0,0.0,,1.7199924,-inf
B,17a-Ethynylestradiol,7,0.0,0.0,,2.4380748,-inf
B,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",7,0.0,0.0,,1.7199924,-inf
B,2-Hydroxychlorpropamide,7,0.0,0.0,,2.4267633,-inf
B,25-Hydroxycholesterol,7,0.0,0.0,,2.1362603,-inf
B,"3',4'-Dihydrodiol",7,0.0,0.0,,2.4380748,-inf
B,3-Sulfodeoxycholic acid,7,0.0,0.0,,1.7199924,-inf
B,"3alpha,7alpha-Dihydroxycoprostanic acid",7,0.0,0.0,,1.7199924,-inf
B,3b-Hydroxy-5-cholenoic acid,7,0.0,0.0,,1.7199924,-inf
B,4'-Hydroxydiclofenac,7,0.0,0.0,,2.4380748,-inf
B,4-Hydroxycyclophosphamide,7,0.0,0.0,,2.4380748,-inf
B,4-ene-Valproic acid,7,0.0,0.0,,1.4645317,-inf
B,5-Hydroxyomeprazole,7,0.0,0.0,,1.6168455,-inf
B,8-Hydroxycarvedilol,7,0.0,0.0,,2.4380748,-inf
B,Acetate,7,0.0,0.0,,1.4665926,-inf
B,Acetyl-L-Carnitine,7,0.0,0.0,,1.6587852,-inf
B,Adenosine diphosphate ribose,7,0.0,0.0,,2.114614,-inf
B,Adenosine triphosphate,7,0.14285714285714285,0.7348446015047168,5.143912210533017,1.4803478,1.738585689834368
B,Amiloride-sensitive sodium transport,7,0.0,0.0,,1.4376851,-inf
B,Anion exchange,7,0.0,0.0,,0.68903095,-inf
B,Butyrate,7,0.0,0.0,,1.9453477,-inf
B,Chenodeoxycholic acid,7,0.0,0.0,,1.7199924,-inf
B,Chenodeoxycholic acid 3-sulfate,7,0.0,0.0,,1.7199924,-inf
B,Chloride,7,0.0,0.0,,1.5945781,-inf
