sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,25_06_11_ICI_5K_Coarse_annotations_n_sig_pairs,25_06_11_ICI_5K_Coarse_annotations_interactions,25_06_11_ICI_5K_Coarse_annotations_within_Tcell,25_06_11_ICI_5K_Coarse_annotations_Tcell_interfaces,25_06_11_ICI_5K_Coarse_annotations_tcell_involved
13473_HS4_UC-Slice_4,Inosine,1,SLC29A1,False,0.8559901401018485,0,0,,,,False
13473_HS4_UC-Slice_4,Iron,15,"CUBN, SLC11A1, SLC11A2, SLC3A2, SLC40A1",True,0.0028698573354631,2,5,B–Pericyte (2.0e-03); IEC (self) (2.0e-03); Muscularis_mucosa–T (5.6e-03); Fibroblast–MNP (3.1e-02); Myofibroblast–T (3.1e-02),IEC (self) (2.0e-03),B–Pericyte (2.0e-03); Muscularis_mucosa–T (5.6e-03); Fibroblast–MNP (3.1e-02); Myofibroblast–T (3.1e-02),True
13473_HS4_UC-Slice_4,Isoursodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,Ketone bodies,1,SLC16A1,True,0.0028698573354631,1,1,Endothelial–Pericyte (2.0e-03),,Endothelial–Pericyte (2.0e-03),True
13473_HS4_UC-Slice_4,L-Alanine,1,SLC1A5,False,0.0619567341615106,0,0,,,,False
13473_HS4_UC-Slice_4,L-Arginine,3,"SLC3A1, SLC7A5",False,0.1695824859063487,0,0,,,,False
13473_HS4_UC-Slice_4,L-Asparagine,1,SLC1A5,False,0.0619567341615106,0,0,,,,False
13473_HS4_UC-Slice_4,L-Aspartate,3,"SLC1A2, SLC1A3",False,0.2802270119604857,0,0,,,,False
13473_HS4_UC-Slice_4,L-Carnitine,15,"SLC16A9, SLC22A4, SLC22A5, SLC22A8, SLCO1B1",True,0.0028698573354631,3,2,IEC (self) (2.0e-03); IEC–MNP (7.1e-03),IEC (self) (2.0e-03),IEC–MNP (7.1e-03),True
13473_HS4_UC-Slice_4,L-Cysteine,3,"SLC1A5, SLC7A11",False,0.0852068253850514,0,0,,,,False
13473_HS4_UC-Slice_4,L-Cystine,6,"SLC3A1, SLC3A2, SLC7A11",False,0.0746162927286191,1,3,IEC (self) (2.0e-03); IEC–MNP (2.2e-02); Enteric_glia–Fibroblast (3.9e-02),IEC (self) (2.0e-03),IEC–MNP (2.2e-02); Enteric_glia–Fibroblast (3.9e-02),True
13473_HS4_UC-Slice_4,L-Dopa,1,SLC15A1,True,0.0028698573354631,1,2,IEC (self) (2.0e-03); Enteric_glia–IEC (5.6e-03),IEC (self) (2.0e-03),Enteric_glia–IEC (5.6e-03),True
13473_HS4_UC-Slice_4,L-Glutamate,28,"SLC16A1, SLC1A1, SLC1A2, SLC1A3, SLC1A5, SLC3A2, SLC7A11",True,0.0179366079286079,1,1,Endothelial–Pericyte (2.0e-03),,Endothelial–Pericyte (2.0e-03),True
13473_HS4_UC-Slice_4,L-Glutamine,15,"SLC1A5, SLC38A7, SLC3A2, SLC7A5, SLC7A7",True,0.0179366079286079,0,0,,,,False
13473_HS4_UC-Slice_4,L-Histidine,1,SLC7A5,False,0.2183680930980166,0,0,,,,False
13473_HS4_UC-Slice_4,L-Lactate,3,"SLC16A1, SLC16A4",True,0.005919080984313,1,1,Endothelial–Pericyte (2.0e-03),,Endothelial–Pericyte (2.0e-03),True
13473_HS4_UC-Slice_4,L-Leucine,6,"SLC1A5, SLC3A2, SLC7A5",False,0.2727419602520325,0,0,,,,False
13473_HS4_UC-Slice_4,L-Lysine,1,SLC3A1,False,0.1102173668814116,0,0,,,,False
13473_HS4_UC-Slice_4,L-Methionine,1,SLC7A5,False,0.2183680930980166,0,0,,,,False
13473_HS4_UC-Slice_4,L-Ornithine,1,SLC3A1,False,0.1102173668814116,0,0,,,,False
13473_HS4_UC-Slice_4,L-Phenylalanine,1,SLC7A5,False,0.2183680930980166,0,0,,,,False
13473_HS4_UC-Slice_4,L-Serine,3,"SLC1A5, SLC3A2",False,0.2965177472148623,0,0,,,,False
13473_HS4_UC-Slice_4,L-Threonine,1,SLC1A5,False,0.0619567341615106,0,0,,,,False
13473_HS4_UC-Slice_4,L-Tyrosine,1,SLC7A5,False,0.2183680930980166,0,0,,,,False
13473_HS4_UC-Slice_4,Leukotriene C4,1,ABCC1,True,0.0455626842287397,0,0,,,,False
13473_HS4_UC-Slice_4,Lithocholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0039960038848221,1,0,,,,False
13473_HS4_UC-Slice_4,Malic acid,1,SLC1A3,False,0.1746614042852745,0,0,,,,False
13473_HS4_UC-Slice_4,Manganese,3,"SLC11A1, SLC39A8",True,0.0398759139995825,0,0,,,,False
13473_HS4_UC-Slice_4,N-Desmethylcitalopram,3,"ABCB1, SLC6A4",True,0.0028698573354631,1,2,IEC (self) (2.0e-03); IEC–T (1.3e-02),IEC (self) (2.0e-03),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,N-Desmethyleletriptan,1,ABCB1,True,0.0028698573354631,1,2,IEC (self) (2.0e-03); IEC–T (1.3e-02),IEC (self) (2.0e-03),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,N-Desmethyltamoxifen,3,"ABCB1, ABCG2",True,0.0028698573354631,3,2,IEC (self) (2.0e-03); IEC–T (7.1e-03),IEC (self) (2.0e-03),IEC–T (7.1e-03),True
13473_HS4_UC-Slice_4,N-desmethylimatinib,10,"ABCB1, ABCG2, SLC22A1, SLC22A2",True,0.0028698573354631,3,2,IEC (self) (2.0e-03); IEC–T (7.1e-03),IEC (self) (2.0e-03),IEC–T (7.1e-03),True
13473_HS4_UC-Slice_4,Neurotransmitter,3,"SLC6A5, SLC6A9",False,0.3902809550500896,0,0,,,,False
13473_HS4_UC-Slice_4,Nicotinate,6,"SLC16A1, SLC22A5, SLCO2B1",True,0.0028698573354631,4,5,IEC (self) (2.0e-03); Endothelial–IEC (7.1e-03); Endothelial–Pericyte (8.7e-03); Enteric_glia–IEC (1.5e-02); Fibroblast–MNP (1.8e-02),IEC (self) (2.0e-03),Endothelial–IEC (7.1e-03); Endothelial–Pericyte (8.7e-03); Enteric_glia–IEC (1.5e-02); Fibroblast–MNP (1.8e-02),True
13473_HS4_UC-Slice_4,Norepinephrine,10,"SLC22A1, SLC22A2, SLC22A5, SLC6A2",True,0.0028698573354631,1,2,IEC (self) (3.8e-03); IEC–MNP (2.0e-02),IEC (self) (3.8e-03),IEC–MNP (2.0e-02),True
13473_HS4_UC-Slice_4,O-Deethylated candesartan,1,ABCB1,True,0.0028698573354631,1,2,IEC (self) (2.0e-03); IEC–T (1.3e-02),IEC (self) (2.0e-03),IEC–T (1.3e-02),True
13473_HS4_UC-Slice_4,O-Desmethylverapamil (D-702),66,"ABCB1, ABCC1, ABCC2, ABCC3, ABCC4, ABCG2, SLC22A1, SLC22A4, SLC22A5, SLC6A4, SLCO1B1",True,0.0028698573354631,12,3,IEC (self) (2.0e-03); IEC–T (1.8e-02); Fibroblast (self) (1.9e-02),IEC (self) (2.0e-03); Fibroblast (self) (1.9e-02),IEC–T (1.8e-02),True
13473_HS4_UC-Slice_4,Oxalic acid,1,SLCO2B1,True,0.0131535130065111,1,2,Enteric_glia–IEC (3.8e-03); Fibroblast–MNP (1.5e-02),,Enteric_glia–IEC (3.8e-03); Fibroblast–MNP (1.5e-02),True
13473_HS4_UC-Slice_4,Phosphate,6,"ATP7A, ATP7B, SLC20A2",True,0.0028698573354631,2,3,IEC (self) (2.0e-03); IEC–Plasma (1.5e-02); MNP–T (3.6e-02),IEC (self) (2.0e-03),IEC–Plasma (1.5e-02); MNP–T (3.6e-02),True
13473_HS4_UC-Slice_4,Potassium,1,ABCC8,False,0.0845582971482404,0,0,,,,False
