sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,Tier1_n_sig_pairs,Tier1_interactions,Tier1_within_Tcell,Tier1_Tcell_interfaces,Tier1_tcell_involved,Tier2_n_sig_pairs,Tier2_interactions,Tier2_within_Tcell,Tier2_Tcell_interfaces,Tier2_tcell_involved,Tier3_n_sig_pairs,Tier3_interactions,Tier3_within_Tcell,Tier3_Tcell_interfaces,Tier3_tcell_involved
Human_Breast,Eicosanoid,1,SLCO2A1,True,0.0013051464301233,1,3,T Cell–other (2.4e-03); T Cell (self) (3.4e-02); other (self) (2.4e-03),T Cell (self) (3.4e-02),T Cell–other (2.4e-03),True,3,CD8 T Cell–other (2.4e-03); CD8 T Cell (self) (3.4e-02); other (self) (2.4e-03),CD8 T Cell (self) (3.4e-02),CD8 T Cell–other (2.4e-03),True,3,Exhausted CD8 T cell–other (2.7e-03); Exhausted CD8 T cell (self) (2.4e-02); other (self) (2.7e-03),Exhausted CD8 T cell (self) (2.4e-02),Exhausted CD8 T cell–other (2.7e-03),True
Human_Breast,Estradiol,21,"ABCB1, ABCG2, SLC22A1, SLC22A2, SLCO1B1, SLCO2B1",True,0.0013051464301233,4,3,T Cell–other (2.4e-03); T Cell (self) (7.0e-03); other (self) (2.4e-03),T Cell (self) (7.0e-03),T Cell–other (2.4e-03),True,3,CD8 T Cell–other (2.4e-03); CD8 T Cell (self) (7.0e-03); other (self) (2.4e-03),CD8 T Cell (self) (7.0e-03),CD8 T Cell–other (2.4e-03),True,3,Exhausted CD8 T cell–other (2.7e-03); Exhausted CD8 T cell (self) (1.4e-02); other (self) (2.7e-03),Exhausted CD8 T cell (self) (1.4e-02),Exhausted CD8 T cell–other (2.7e-03),True
Human_Breast,Estriol,1,ABCB1,True,0.0166272080745803,1,1,other (self) (1.5e-02),,,False,1,other (self) (1.5e-02),,,False,1,other (self) (1.4e-02),,,False
Human_Breast,Estrone,1,SLCO1B1,False,0.1068343414979822,0,0,,,,False,0,,,,False,0,,,,False
Human_Breast,Estrone sulfate,3,"SLCO1B1, SLCO1C1",True,0.0025091187183766,1,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (9.9e-03),,,False
Human_Breast,Ethanol,3,"CHRNA5, SLC29A1",True,0.0013051464301233,3,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (2.7e-03),,,False
Human_Breast,Fatty acid,6,"CD36, CPT1A, MSR1",True,0.0013051464301233,5,2,T Cell–other (2.4e-03); other (self) (2.4e-03),,T Cell–other (2.4e-03),True,2,CD8 T Cell–other (2.4e-03); other (self) (2.4e-03),,CD8 T Cell–other (2.4e-03),True,3,Exhausted CD8 T cell–other (2.7e-03); Exhausted CD8 T cell–Proliferating CD8 T cell (2.9e-02); other (self) (2.7e-03),,Exhausted CD8 T cell–other (2.7e-03); Exhausted CD8 T cell–Proliferating CD8 T cell (2.9e-02),True
Human_Breast,Folic acid,21,"ABCC3, ABCC4, ABCG2, FOLR1, FOLR2, SLC19A1",True,0.0013051464301233,8,3,T Cell–other (2.4e-03); T Cell (self) (4.8e-03); other (self) (2.4e-03),T Cell (self) (4.8e-03),T Cell–other (2.4e-03),True,3,CD8 T Cell–other (2.4e-03); CD8 T Cell (self) (4.8e-03); other (self) (2.4e-03),CD8 T Cell (self) (4.8e-03),CD8 T Cell–other (2.4e-03),True,3,Exhausted CD8 T cell (self) (5.2e-03); Exhausted CD8 T cell–other (5.2e-03); other (self) (2.7e-03),Exhausted CD8 T cell (self) (5.2e-03),Exhausted CD8 T cell–other (5.2e-03),True
Human_Breast,Folinic acid,6,"ABCC2, ABCC3, ABCC4",True,0.0013051464301233,4,3,T Cell (self) (1.1e-02); T Cell–other (1.3e-02); other (self) (2.4e-03),T Cell (self) (1.1e-02),T Cell–other (1.3e-02),True,3,CD8 T Cell (self) (1.1e-02); CD8 T Cell–other (1.3e-02); other (self) (2.4e-03),CD8 T Cell (self) (1.1e-02),CD8 T Cell–other (1.3e-02),True,3,Exhausted CD8 T cell–other (7.7e-03); Exhausted CD8 T cell (self) (1.5e-02); other (self) (2.7e-03),Exhausted CD8 T cell (self) (1.5e-02),Exhausted CD8 T cell–other (7.7e-03),True
Human_Breast,Fusidic Acid,1,ABCC2,True,0.0013051464301233,1,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (2.7e-03),,,False
Human_Breast,GABA,3,"SLC6A1, SLC6A12",True,0.0013051464301233,2,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (2.7e-03),,,False
Human_Breast,Glucosamine,6,"SLC2A1, SLC2A2, SLC2A4",True,0.0013051464301233,2,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (2.7e-03),,,False
Human_Breast,Glutathione,10,"ABCC1, ABCC2, ABCC3, ABCC4",True,0.0013051464301233,7,2,T Cell (self) (2.4e-03); other (self) (2.4e-03),T Cell (self) (2.4e-03),,True,2,CD8 T Cell (self) (2.4e-03); other (self) (2.4e-03),CD8 T Cell (self) (2.4e-03),,True,2,Exhausted CD8 T cell (self) (2.7e-03); other (self) (2.7e-03),Exhausted CD8 T cell (self) (2.7e-03),,True
Human_Breast,Glycerol,1,ABCB1,True,0.0166272080745803,1,1,other (self) (1.5e-02),,,False,1,other (self) (1.5e-02),,,False,1,other (self) (1.4e-02),,,False
Human_Breast,Glycochenodeoxycholate-3-sulfate,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0013051464301233,5,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,2,Exhausted CD8 T cell (self) (4.0e-02); other (self) (2.7e-03),Exhausted CD8 T cell (self) (4.0e-02),,True
Human_Breast,Glycyl-glycine,1,SLC15A1,False,0.1378234586408061,0,0,,,,False,0,,,,False,0,,,,False
Human_Breast,Guanosine,1,SLC29A1,True,0.0013051464301233,1,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (2.7e-03),,,False
Human_Breast,Heme,3,"LRP1, TRPV6",True,0.0013051464301233,1,3,T Cell–other (2.4e-03); T Cell (self) (1.3e-02); other (self) (2.4e-03),T Cell (self) (1.3e-02),T Cell–other (2.4e-03),True,3,CD8 T Cell–other (2.4e-03); CD8 T Cell (self) (1.3e-02); other (self) (2.4e-03),CD8 T Cell (self) (1.3e-02),CD8 T Cell–other (2.4e-03),True,3,Exhausted CD8 T cell–other (2.7e-03); Exhausted CD8 T cell (self) (1.9e-02); other (self) (2.7e-03),Exhausted CD8 T cell (self) (1.9e-02),Exhausted CD8 T cell–other (2.7e-03),True
Human_Breast,Histamine,3,"SLC22A2, SLC22A5",True,0.0013051464301233,1,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (2.7e-03),,,False
Human_Breast,Hydroxycelecoxib,1,ABCC4,True,0.0013051464301233,1,3,T Cell–other (2.4e-03); T Cell (self) (1.5e-02); other (self) (2.4e-03),T Cell (self) (1.5e-02),T Cell–other (2.4e-03),True,3,CD8 T Cell–other (2.4e-03); CD8 T Cell (self) (1.5e-02); other (self) (2.4e-03),CD8 T Cell (self) (1.5e-02),CD8 T Cell–other (2.4e-03),True,3,Exhausted CD8 T cell–other (2.7e-03); Exhausted CD8 T cell (self) (1.9e-02); other (self) (2.7e-03),Exhausted CD8 T cell (self) (1.9e-02),Exhausted CD8 T cell–other (2.7e-03),True
Human_Breast,Hydroxylansoprazole,3,"ABCB1, ABCG2",True,0.0116430326304632,1,1,other (self) (1.5e-02),,,False,1,other (self) (1.5e-02),,,False,1,other (self) (1.4e-02),,,False
Human_Breast,Hyodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0013051464301233,5,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,2,Exhausted CD8 T cell (self) (4.0e-02); other (self) (2.7e-03),Exhausted CD8 T cell (self) (4.0e-02),,True
Human_Breast,Inosine,1,SLC29A1,True,0.0013051464301233,1,1,other (self) (2.4e-03),,,False,1,other (self) (2.4e-03),,,False,1,other (self) (2.7e-03),,,False
