gene,metabolite,cell_type,mean,std,n
CD3E,Sodium_hydrogen exchange,Effector CD8 T cell,-2.1098437e-08,6.2413843e-09,4715
CD3E,Neurotransmitter,Effector CD8 T cell,-1.6121005e-05,4.209845e-06,4715
CD3E,Anion exchange,Effector CD8 T cell,-5.4703725e-07,1.4623501e-07,4715
CD3E,Calcium release-activated calcium transport,Effector CD8 T cell,3.1181173e-06,2.1032088e-06,4715
CD3E,Amiloride-sensitive sodium transport,Effector CD8 T cell,0.0,0.0,4715
CD3E,Vitamin C,Effector CD8 T cell,-1.7195772e-06,3.1034676e-07,4715
CD3E,D-Glucose,Gamma delta T cell,0.0007611038,0.0001249503,2417
CD3E,D-Galactose|D-Mannose,Gamma delta T cell,0.000840905,0.00015815659,2417
CD3E,Glucosamine,Gamma delta T cell,5.0269186e-08,3.553141e-08,2417
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,Gamma delta T cell,0.0008517108,0.00016455817,2417
CD3E,D-Xylose|D-Maltose,Gamma delta T cell,0.0005355421,0.00012915091,2417
CD3E,L-Glutamine,Gamma delta T cell,-0.0018956066,0.00024976916,2417
CD3E,L-Alanine|L-Asparagine|L-Threonine,Gamma delta T cell,-3.217869e-05,1.10586225e-05,2417
CD3E,L-Cysteine,Gamma delta T cell,-0.0002111188,5.3923995e-05,2417
CD3E,L-Histidine|L-Tyrosine,Gamma delta T cell,8.11046e-05,1.5292813e-05,2417
CD3E,L-Serine,Gamma delta T cell,-9.3252944e-05,2.3049332e-05,2417
CD3E,L-Methionine|L-Phenylalanine,Gamma delta T cell,-6.873681e-05,1.8480794e-05,2417
CD3E,L-Lactate,Gamma delta T cell,-0.00034088173,8.8110115e-05,2417
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,Gamma delta T cell,-1.6387623e-05,8.532525e-06,2417
CD3E,Nicotinate,Gamma delta T cell,-0.0021054693,0.0002745128,2417
CD3E,L-Glutamate,Gamma delta T cell,-0.0008088054,0.00014218243,2417
CD3E,L-Aspartate|D-Aspartate,Gamma delta T cell,2.1907987e-07,5.9391812e-08,2417
CD3E,L-Cystine,Gamma delta T cell,-3.6392773e-06,1.5503896e-06,2417
CD3E,Zinc,Gamma delta T cell,-2.716735e-06,6.60528e-07,2417
CD3E,Iron,Gamma delta T cell,-0.0034135235,0.00041181006,2417
CD3E,Cadmium,Gamma delta T cell,-1.6640311e-06,1.0145777e-06,2417
CD3E,Manganese,Gamma delta T cell,-8.546009e-06,2.5692568e-06,2417
CD3E,L-Carnitine,Gamma delta T cell,-1.0388599e-08,8.342264e-09,2417
CD3E,Sodium,Gamma delta T cell,-0.00097430934,0.00013880878,2417
CD3E,Acetate,Gamma delta T cell,-0.0035013696,0.00041791482,2417
CD3E,L-Leucine,Gamma delta T cell,-0.000429621,8.352242e-05,2417
CD3E,L-Arginine,Gamma delta T cell,7.525137e-05,2.1095804e-05,2417
CD3E,Fatty acid,Gamma delta T cell,-0.0013645616,0.00021246183,2417
CD3E,25-Hydroxycholesterol,Gamma delta T cell,-0.0008169192,0.0001475905,2417
CD3E,Cholesterol,Gamma delta T cell,1.796658e-05,4.357646e-06,2417
CD3E,Phosphate,Gamma delta T cell,2.2765745e-07,6.976673e-08,2417
CD3E,Ethanol,Gamma delta T cell,-0.0006399169,0.00012056389,2417
CD3E,Folic acid,Gamma delta T cell,-3.3575838e-05,2.6004182e-05,2417
CD3E,Heme,Gamma delta T cell,-0.0008964983,0.00015219252,2417
CD3E,Citric acid|Oxalic acid,Gamma delta T cell,-0.0010974443,0.0001740902,2417
CD3E,Malic acid,Gamma delta T cell,2.0878524e-07,5.6709393e-08,2417
CD3E,L-Valine|L-Isoleucine,Gamma delta T cell,-4.4412623e-08,3.530012e-08,2417
CD3E,Adenosine|Uridine|Inosine|Cytidine|Guanosine,Gamma delta T cell,-0.0005953526,0.00011033688,2417
CD3E,Thymidine,Gamma delta T cell,-0.0006020277,0.00011747063,2417
CD3E,Vitamin D3,Gamma delta T cell,-5.488678e-07,1.3269075e-06,2417
CD3E,Urea,Gamma delta T cell,0.0,0.0,2417
CD3E,Adenosine diphosphate ribose,Gamma delta T cell,6.1727483e-06,3.6674921e-06,2417
CD3E,Chloride ion,Gamma delta T cell,1.8562137e-07,1.2731114e-07,2417
CD3E,alpha-Tocopherol,Gamma delta T cell,-1.776953e-05,5.866241e-06,2417
CD3E,Taurocholic acid,Gamma delta T cell,-0.0024207113,0.00031176888,2417
CD3E,Bilirubin,Gamma delta T cell,5.1371345e-08,2.7020471e-08,2417
CD3E,Glutathione,Gamma delta T cell,-3.0595344e-05,9.6073345e-06,2417
CD3E,Estradiol,Gamma delta T cell,-0.00071995176,0.00013335976,2417
CD3E,Adenosine triphosphate,Gamma delta T cell,0.0013537979,0.00020505214,2417
CD3E,Cholic acid,Gamma delta T cell,8.9222944e-05,3.3159387e-05,2417
CD3E,Leukotriene C4,Gamma delta T cell,-7.599518e-06,1.9790593e-06,2417
