gene,tf,cell_type,mean,std,n
CD3E,STAT1,Gamma delta T cell,-0.13192075,0.023352353,2417
CD3E,STAT3,Gamma delta T cell,-0.84130245,0.110971734,2417
CD3E,STAT5A,Gamma delta T cell,0.4356581,0.043888908,2417
CD3E,STAT5B,Gamma delta T cell,1.9250484,0.22088589,2417
CD3E,TCF7L2,Gamma delta T cell,-1.7009572,0.21397772,2417
CD3E,THRA,Gamma delta T cell,0.80879545,0.32168663,2417
CD3E,THRB,Gamma delta T cell,-0.84877896,0.13782975,2417
CD3E,ZBTB1,Gamma delta T cell,2.4315095,0.26853997,2417
CD3E,ARID3B,ISG CD8 T cell,0.37984228,0.040183503,239
CD3E,BCL6,ISG CD8 T cell,-2.218582,0.28922483,239
CD3E,BCL6B,ISG CD8 T cell,-0.4841305,0.059712578,239
CD3E,CTCF,ISG CD8 T cell,0.20051797,0.037824027,239
CD3E,EHF,ISG CD8 T cell,0.023402318,0.021868149,239
CD3E,ELK4,ISG CD8 T cell,1.4695438,0.20857216,239
CD3E,EP300,ISG CD8 T cell,0.24359128,0.06821506,239
CD3E,ESRRA,ISG CD8 T cell,-0.30479547,0.23621343,239
CD3E,ETV5,ISG CD8 T cell,-0.8518894,0.10104533,239
CD3E,FLI1,ISG CD8 T cell,2.4292743,0.31954473,239
CD3E,FOXA1,ISG CD8 T cell,0.37090468,0.050023012,239
CD3E,FOXD2,ISG CD8 T cell,0.08372285,0.068318136,239
CD3E,FOXI1,ISG CD8 T cell,-0.029686932,0.0059070215,239
CD3E,FOXJ2,ISG CD8 T cell,0.13055937,0.0428225,239
CD3E,FOXL2,ISG CD8 T cell,0.16926959,0.022916913,239
CD3E,FOXO1,ISG CD8 T cell,0.06161048,0.07018201,239
CD3E,FOXO3,ISG CD8 T cell,-0.34605658,0.024456972,239
CD3E,FOXO4,ISG CD8 T cell,2.79465,0.37831157,239
CD3E,GATA1,ISG CD8 T cell,-0.2153419,0.026763728,239
CD3E,GATA2,ISG CD8 T cell,-0.6764239,0.08982991,239
CD3E,GATA3,ISG CD8 T cell,2.1782372,0.52374744,239
CD3E,HOXA5,ISG CD8 T cell,-0.5284196,0.16476803,239
CD3E,HOXB4,ISG CD8 T cell,-0.414344,0.14803049,239
CD3E,HOXB6,ISG CD8 T cell,0.4282402,0.07986613,239
CD3E,HOXB7,ISG CD8 T cell,-0.026677422,0.014792613,239
CD3E,HOXB9,ISG CD8 T cell,0.012480307,0.015714534,239
CD3E,IRX1,ISG CD8 T cell,-1.5905668,0.21059322,239
CD3E,MECOM,ISG CD8 T cell,0.44860518,0.06068031,239
CD3E,MEF2A,ISG CD8 T cell,-1.2177981,0.3024629,239
CD3E,MYEF2,ISG CD8 T cell,-0.19779174,0.16213907,239
CD3E,NR3C1,ISG CD8 T cell,-0.68088025,0.15522373,239
CD3E,PDX1,ISG CD8 T cell,0.34000197,0.044089455,239
CD3E,PITX1,ISG CD8 T cell,0.09151178,0.030753603,239
CD3E,POU1F1,ISG CD8 T cell,-0.3464792,0.045475297,239
CD3E,POU2F1,ISG CD8 T cell,-0.20879427,0.06514332,239
CD3E,PPARGC1A,ISG CD8 T cell,-0.45760834,0.052571595,239
CD3E,RUNX1,ISG CD8 T cell,0.023569224,0.025684474,239
CD3E,SIN3A,ISG CD8 T cell,1.3050609,0.1649043,239
CD3E,SMAD4,ISG CD8 T cell,-0.5848901,0.07074195,239
CD3E,STAT1,ISG CD8 T cell,-0.13259166,0.025511963,239
CD3E,STAT3,ISG CD8 T cell,-0.83587986,0.12973255,239
CD3E,STAT5A,ISG CD8 T cell,0.43434802,0.050683856,239
CD3E,STAT5B,ISG CD8 T cell,1.9158523,0.26073706,239
CD3E,TCF7L2,ISG CD8 T cell,-1.7007772,0.24011873,239
CD3E,THRA,ISG CD8 T cell,0.84208614,0.28600422,239
CD3E,THRB,ISG CD8 T cell,-0.83893555,0.16992797,239
CD3E,ZBTB1,ISG CD8 T cell,2.4197192,0.31711686,239
CD3E,ARID3B,Proliferating CD8 T cell,0.3804117,0.040774796,1993
CD3E,BCL6,Proliferating CD8 T cell,-2.2272153,0.25410914,1993
CD3E,BCL6B,Proliferating CD8 T cell,-0.48451772,0.055537216,1993
CD3E,CTCF,Proliferating CD8 T cell,0.19901118,0.03961219,1993
CD3E,EHF,Proliferating CD8 T cell,0.026233748,0.010322101,1993
CD3E,ELK4,Proliferating CD8 T cell,1.457119,0.2088583,1993
CD3E,EP300,Proliferating CD8 T cell,0.25245705,0.05154889,1993
CD3E,ESRRA,Proliferating CD8 T cell,-0.40407184,0.22799978,1993
CD3E,ETV5,Proliferating CD8 T cell,-0.85410744,0.093333274,1993
CD3E,FLI1,Proliferating CD8 T cell,2.444548,0.23193285,1993
CD3E,FOXA1,Proliferating CD8 T cell,0.37271383,0.0416731,1993
CD3E,FOXD2,Proliferating CD8 T cell,0.096532516,0.06679204,1993
CD3E,FOXI1,Proliferating CD8 T cell,-0.03016714,0.0022201727,1993
CD3E,FOXJ2,Proliferating CD8 T cell,0.1386047,0.033101853,1993
CD3E,FOXL2,Proliferating CD8 T cell,0.17007932,0.01916053,1993
CD3E,FOXO1,Proliferating CD8 T cell,0.09461502,0.06539731,1993
CD3E,FOXO3,Proliferating CD8 T cell,-0.3447856,0.036766388,1993
CD3E,FOXO4,Proliferating CD8 T cell,2.8050833,0.31799924,1993
CD3E,GATA1,Proliferating CD8 T cell,-0.21552788,0.02600644,1993
CD3E,GATA2,Proliferating CD8 T cell,-0.6793652,0.0766117,1993
CD3E,GATA3,Proliferating CD8 T cell,2.2314637,0.41675094,1993
CD3E,HOXA5,Proliferating CD8 T cell,-0.566813,0.10607774,1993
CD3E,HOXB4,Proliferating CD8 T cell,-0.38588202,0.17269719,1993
CD3E,HOXB6,Proliferating CD8 T cell,0.4113101,0.10269923,1993
CD3E,HOXB7,Proliferating CD8 T cell,-0.02999118,0.011407223,1993
CD3E,HOXB9,Proliferating CD8 T cell,0.01505575,0.016854623,1993
CD3E,IRX1,Proliferating CD8 T cell,-1.6004962,0.18617752,1993
CD3E,MECOM,Proliferating CD8 T cell,0.4508639,0.049903035,1993
CD3E,MEF2A,Proliferating CD8 T cell,-1.2470558,0.23422168,1993
CD3E,MYEF2,Proliferating CD8 T cell,-0.22948144,0.1582452,1993
CD3E,NR3C1,Proliferating CD8 T cell,-0.6420857,0.191443,1993
CD3E,PDX1,Proliferating CD8 T cell,0.34179243,0.034762148,1993
CD3E,PITX1,Proliferating CD8 T cell,0.08427331,0.03705358,1993
CD3E,POU1F1,Proliferating CD8 T cell,-0.34789798,0.039914794,1993
CD3E,POU2F1,Proliferating CD8 T cell,-0.19063991,0.08360071,1993
CD3E,PPARGC1A,Proliferating CD8 T cell,-0.45912597,0.046149265,1993
CD3E,RUNX1,Proliferating CD8 T cell,0.013579573,0.021661773,1993
CD3E,SIN3A,Proliferating CD8 T cell,1.309342,0.1502246,1993
CD3E,SMAD4,Proliferating CD8 T cell,-0.58670366,0.06561466,1993
CD3E,STAT1,Proliferating CD8 T cell,-0.13141057,0.022405157,1993
CD3E,STAT3,Proliferating CD8 T cell,-0.837069,0.11598661,1993
CD3E,STAT5A,Proliferating CD8 T cell,0.43479016,0.047891084,1993
CD3E,STAT5B,Proliferating CD8 T cell,1.9245558,0.21785377,1993
CD3E,TCF7L2,Proliferating CD8 T cell,-1.6848835,0.23284414,1993
CD3E,THRA,Proliferating CD8 T cell,0.7613557,0.36099678,1993
CD3E,THRB,Proliferating CD8 T cell,-0.8273683,0.18264303,1993
CD3E,ZBTB1,Proliferating CD8 T cell,2.4299073,0.27364153,1993
CD3E,ARID3B,other,0.11127972,0.21560425,103187
