gene,ligand,tf,pair,cell_type,mean,std,n
CD3E,EBI3,CTCF,EBI3#CTCF,Effector CD8 T cell,-7.057608e-09,2.8942104e-09,4715
CD3E,CSF1,ETV5,CSF1#ETV5,Effector CD8 T cell,4.4738925e-07,2.3120319e-07,4715
CD3E,IL15,ETV5,IL15#ETV5,Effector CD8 T cell,2.567906e-07,8.196606e-08,4715
CD3E,IL6,FLI1,IL6#FLI1,Effector CD8 T cell,4.4288882e-08,3.209769e-08,4715
CD3E,CXCL12,FOXJ2,CXCL12#FOXJ2,Effector CD8 T cell,-5.311387e-07,1.8302818e-07,4715
CD3E,TGFB3,FOXO1,TGFB3#FOXO1,Effector CD8 T cell,-4.53028e-08,9.948675e-09,4715
CD3E,TNFSF9,HOXB7,TNFSF9#HOXB7,Effector CD8 T cell,8.4228805e-07,3.4510748e-07,4715
CD3E,IL18,HOXB7,IL18#HOXB7,Effector CD8 T cell,1.8051854e-06,1.10157e-06,4715
CD3E,HBEGF,HOXB7,HBEGF#HOXB7,Effector CD8 T cell,1.8252521e-07,1.1903655e-07,4715
CD3E,CXCL12,HOXB7,CXCL12#HOXB7,Effector CD8 T cell,-3.452824e-05,7.409087e-06,4715
CD3E,POSTN,POU1F1,POSTN#POU1F1,Effector CD8 T cell,-2.6632298e-08,1.6332738e-08,4715
CD3E,PDGFA,POU2F1,PDGFA#POU2F1,Effector CD8 T cell,-1.1583927e-08,4.0746118e-09,4715
CD3E,FGF2,RUNX1,FGF2#RUNX1,Effector CD8 T cell,7.079055e-08,1.4383786e-08,4715
CD3E,IL18,SIN3A,IL18#SIN3A,Effector CD8 T cell,-9.562343e-08,1.8667501e-08,4715
CD3E,CXCL12,SIN3A,CXCL12#SIN3A,Effector CD8 T cell,-1.4272524e-06,8.143423e-07,4715
CD3E,EBI3,SIN3A,EBI3#SIN3A,Effector CD8 T cell,-3.2301488e-09,9.1726804e-10,4715
CD3E,IFNG,STAT1,IFNG#STAT1,Effector CD8 T cell,-7.616315e-08,4.9177366e-08,4715
CD3E,IL6,STAT3,IL6#STAT3,Effector CD8 T cell,-4.9135696e-07,1.893357e-07,4715
CD3E,TNFSF12,STAT5A,TNFSF12#STAT5A,Effector CD8 T cell,3.7524802e-07,1.390211e-07,4715
CD3E,TNFSF12,TCF7L2,TNFSF12#TCF7L2,Effector CD8 T cell,-8.22823e-08,1.3463989e-08,4715
CD3E,VEGFC,ZBTB1,VEGFC#ZBTB1,Effector CD8 T cell,-1.317046e-08,6.3222907e-09,4715
CD3E,EBI3,CTCF,EBI3#CTCF,Gamma delta T cell,-6.5681682e-09,3.02005e-09,2417
