sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,24_11_12_ICI_5K_Fine_annotations_n_sig_pairs,24_11_12_ICI_5K_Fine_annotations_interactions,24_11_12_ICI_5K_Fine_annotations_within_Tcell,24_11_12_ICI_5K_Fine_annotations_Tcell_interfaces,24_11_12_ICI_5K_Fine_annotations_tcell_involved,25_06_11_ICI_5K_Coarse_annotations_n_sig_pairs,25_06_11_ICI_5K_Coarse_annotations_interactions,25_06_11_ICI_5K_Coarse_annotations_within_Tcell,25_06_11_ICI_5K_Coarse_annotations_Tcell_interfaces,25_06_11_ICI_5K_Coarse_annotations_tcell_involved
13473_HS4_UC-Slice_3,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0175380168229709,1,5,Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03),Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),True,1,Enteric_glia–IEC (4.1e-02),,Enteric_glia–IEC (4.1e-02),True
13473_HS4_UC-Slice_3,17a-Ethynylestradiol,6,"ABCB1, ABCC2, SLC10A1",True,0.0028698573354631,1,3,IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.1e-03); IEC_Colonocyte_NOS (self) (6.8e-03); Plasma–T_CD4 (4.1e-02),IEC_Colonocyte_NOS (self) (6.8e-03),IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.1e-03); Plasma–T_CD4 (4.1e-02),True,1,IEC (self) (2.7e-03),IEC (self) (2.7e-03),,True
13473_HS4_UC-Slice_3,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0175380168229709,1,5,Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03),Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),True,1,Enteric_glia–IEC (4.1e-02),,Enteric_glia–IEC (4.1e-02),True
13473_HS4_UC-Slice_3,2-Hydroxychlorpropamide,3,"ABCB1, SLC15A1",True,0.0028698573354631,2,3,IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.1e-03); IEC_Colonocyte_NOS (self) (6.8e-03); Plasma–T_CD4 (4.6e-02),IEC_Colonocyte_NOS (self) (6.8e-03),IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.1e-03); Plasma–T_CD4 (4.6e-02),True,1,IEC (self) (2.7e-03),IEC (self) (2.7e-03),,True
13473_HS4_UC-Slice_3,25-Hydroxycholesterol,1,ABCA1,True,0.0052614051150158,1,5,Fibroblast_CTF_S2–IEC_Colonocyte_NOS (6.8e-03); IEC_Colonocyte_NOS–MAST (1.3e-02); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (1.8e-02); Myofibroblast–Pericyte (3.6e-02); Endothelial_lymphatic–Myofibroblast (4.2e-02),,Fibroblast_CTF_S2–IEC_Colonocyte_NOS (6.8e-03); IEC_Colonocyte_NOS–MAST (1.3e-02); IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (1.8e-02); Myofibroblast–Pericyte (3.6e-02); Endothelial_lymphatic–Myofibroblast (4.2e-02),True,2,IEC–MAST (2.8e-02); Myofibroblast–Pericyte (3.7e-02),,IEC–MAST (2.8e-02); Myofibroblast–Pericyte (3.7e-02),True
13473_HS4_UC-Slice_3,"3',4'-Dihydrodiol",3,"ABCB1, ABCC2",True,0.0028698573354631,1,3,IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.1e-03); IEC_Colonocyte_NOS (self) (6.8e-03); Plasma–T_CD4 (4.1e-02),IEC_Colonocyte_NOS (self) (6.8e-03),IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.1e-03); Plasma–T_CD4 (4.1e-02),True,1,IEC (self) (2.7e-03),IEC (self) (2.7e-03),,True
13473_HS4_UC-Slice_3,3-Sulfodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0175380168229709,1,5,Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03),Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),True,1,Enteric_glia–IEC (4.1e-02),,Enteric_glia–IEC (4.1e-02),True
13473_HS4_UC-Slice_3,"3alpha,7alpha-Dihydroxycoprostanic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0175380168229709,1,5,Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03),Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),True,1,Enteric_glia–IEC (4.1e-02),,Enteric_glia–IEC (4.1e-02),True
13473_HS4_UC-Slice_3,3b-Hydroxy-5-cholenoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0175380168229709,1,5,Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),IEC_NOS2_DUOX2_colonocyte (self) (2.1e-03),Enteric_glia–IEC_Goblet_2 (2.1e-03); IEC_Goblet_2–IEC_Tuft (3.9e-03); Endothelial_arterial–IEC_CT_absorptive_colonocyte (8.1e-03); IEC_Colonocyte_NOS–Myofibroblast (3.1e-02),True,1,Enteric_glia–IEC (4.1e-02),,Enteric_glia–IEC (4.1e-02),True
13473_HS4_UC-Slice_3,4'-Hydroxydiclofenac,6,"ABCB1, ABCC1, ABCC4",True,0.0028698573354631,1,3,IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.1e-03); IEC_Colonocyte_NOS (self) (6.8e-03); Plasma–T_CD4 (4.1e-02),IEC_Colonocyte_NOS (self) (6.8e-03),IEC_CT_absorptive_colonocyte–IEC_Colonocyte_NOS (2.1e-03); Plasma–T_CD4 (4.1e-02),True,1,IEC (self) (2.7e-03),IEC (self) (2.7e-03),,True
