cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
Endothelial,SLC12A2_SLC1A5,391,0.0,0.038389484527463553,,2.4286401,-inf
Endothelial,SLC12A2_SLC5A1,391,0.0,0.029737714852578447,,2.760803,-inf
Endothelial,SLC1A5_SLC5A3,391,0.0025575447570332483,0.401077261721518,55.90195695318903,2.5057113,0.4972620419061047
Endothelial,SLC5A1_SLC5A1,391,0.0,0.0,,2.1418686,-inf
Endothelial,CPT1A_CPT1A,391,0.01278772378516624,1.3367853544907407,46.21575505759207,0.67159474,-2.433905245009059
Endothelial,FABP5_FABP5,391,0.11508951406649616,2.930795913377857,24.330389731258542,1.338426,1.3770843943164524
Endothelial,CD36_MSR1,391,0.015345268542199489,0.7076675814484953,38.99570814491003,2.7792432,3.0180942052075452
Endothelial,CD36_CD36,391,0.028132992327365727,0.4725118004294502,16.79564672435591,2.8112533,3.4619289687938237
Endothelial,MSR1_MSR1,391,0.0,0.0,,2.8296,-inf
Endothelial,ABCA1_ABCA1,391,0.005115089514066497,0.11905992226624643,23.276214803051175,2.0637996,-1.0767293409940484
Endothelial,ABCG2_ABCG2,391,0.005115089514066497,0.11258827214177196,22.011007203716417,2.4898498,-1.8246660529812577
Endothelial,ABCB1_ABCB1,391,0.0,0.0,,2.1717827,-inf
Endothelial,ABCB1_ABCG2,391,0.0025575447570332483,0.22229870847582867,86.91879501404901,2.864149,-2.469571094158696
Endothelial,SLC20A2_SLC20A2,391,0.0025575447570332483,0.027569475640616833,10.779664975481182,2.635344,-1.19305345896128
Endothelial,ABCC3_ABCG2,391,0.0,0.0,,2.9213653,-inf
Endothelial,ABCC3_ABCC3,391,0.0,0.0,,1.831617,-inf
Endothelial,SLC15A1_SLC15A1,391,0.0,0.0,,2.9505808,-inf
Endothelial,CD38_CD38,391,0.0,0.0,,2.4811828,-inf
Endothelial,ABCB1_SLC22A1,391,0.0,0.0,,2.9257267,-inf
Endothelial,ABCC3_SLC16A1,391,0.0,0.0,,2.849878,-inf
Endothelial,ABCB1_ABCC3,391,0.0,0.11709105801603882,,2.7678576,-inf
Endothelial,ABCG2_SLC16A1,391,0.0,0.0,,2.8459122,-inf
Endothelial,ABCB1_SLC16A1,391,0.0,0.032709027351799994,,2.7882102,-inf
Endothelial,ABCB1_SLC22A4,391,0.0,0.0,,2.92015,-inf
Endothelial,ABCG2_SLC22A4,391,0.0,0.0,,2.9559605,-inf
Endothelial,TAP1_TAP1,391,0.0076726342710997444,0.10133757585951113,13.207664053689617,1.4460113,-2.412540149122317
Endothelial,AQP8_AQP8,391,0.0025575447570332483,0.049467209892458286,19.34167906795119,1.6028796,-4.745479024822146
Endothelial,AQP5_AQP9,391,0.0,0.0,,3.0004358,-inf
Endothelial,AQP7_AQP8,391,0.0,0.0,,2.826774,-inf
Endothelial,AQP7_AQP7,391,0.0025575447570332483,0.026581436769245095,10.393341776774832,2.4066412,-1.7981938416200667
Endothelial,ABCB1_SLC22A5,391,0.0,0.0,,2.6618009,-inf
Endothelial,ABCC3_SLC22A4,391,0.0,0.0,,2.9783418,-inf
Endothelial,ABCG2_SLC22A5,391,0.0,0.0,,2.7432542,-inf
Endothelial,ABCC3_SLC22A5,391,0.0,0.0,,2.720693,-inf
Endothelial,ABCB1_SLC15A1,391,0.0,0.0,,2.941641,-inf
Endothelial,CLCN3_CLCN3,391,0.0025575447570332483,0.025324108149858807,9.901726286594794,1.5340757,-3.837722205806704
Endothelial,SLC9A3_SLC9A3,391,0.0,0.0,,1.3481015,-inf
Endothelial,SLC9A1_SLC9A3,391,0.0025575447570332483,0.33827356971021477,95.94612283355445,2.7901862,-2.151830796234767
Endothelial,SLC9A1_SLC9A1,391,0.0076726342710997444,0.19634330604058173,25.59007755395582,1.8376657,-1.4526972755943
Endothelial,SLC6A9_SLC6A9,391,0.0,0.0,,2.6432507,-inf
