,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
1,T Cell,T Cell,17a-Ethynylestradiol,1505.7822,4.157018993939897,1.612135966336383e-05,1.957593673408465e-05,2130.3076,0.002997002997002997,0.004069894602438981,True
3,T Cell,T Cell,2-Hydroxychlorpropamide,5340.5244,20.850609025442644,7.524744521336003e-97,1.6930675173006009e-96,2154.2854,0.001998001998001998,0.0027213142940145907,True
4,T Cell,T Cell,25-Hydroxycholesterol,2859.9377,15.79088305620233,1.7975580679763605e-56,3.466719131097267e-56,23056.377,0.000999000999000999,0.0014329420579420578,True
5,T Cell,T Cell,"3',4'-Dihydrodiol",1410.504,3.8939840923357476,4.930555960277936e-05,5.93996111750019e-05,2130.3076,0.003996003996003996,0.005347422257043248,True
10,T Cell,T Cell,4-Hydroxycyclophosphamide,1254.072,6.924243255255035,2.1915609260035003e-12,3.076227721821427e-12,2114.3215,0.001998001998001998,0.0027213142940145907,True
11,T Cell,T Cell,4-Hydroxyvalsartan,897.24365,3.503041114523922,0.0002299892291697203,0.00026929861272678983,9.035555,0.01898101898101898,0.02447271829294301,True
13,T Cell,T Cell,5-Hydroxyomeprazole,2311.6875,6.381884894133174,8.746071393407283e-11,1.216499021083013e-10,2453.7373,0.001998001998001998,0.0027213142940145907,True
14,T Cell,T Cell,5-Methyltetrahydrofolic acid,7208.456,39.80082671678847,0.0,0.0,95020.28,0.000999000999000999,0.0014329420579420578,True
15,T Cell,T Cell,8-Hydroxycarvedilol,1254.072,6.924243255255035,2.1915609260035003e-12,3.076227721821427e-12,2114.3215,0.001998001998001998,0.0027213142940145907,True
17,T Cell,T Cell,Acetate,8791.455,21.708289117704314,8.565846610096109e-105,1.9463978188287693e-104,45449.785,0.000999000999000999,0.0014329420579420578,True
20,T Cell,T Cell,Adenine,790.00085,4.361917014852563,6.44638872489847e-06,7.93268746575978e-06,2593.2412,0.000999000999000999,0.0014329420579420578,True
22,T Cell,T Cell,Adenosine diphosphate ribose,6196.4375,34.21305940244115,7.731118973385943e-257,2.0277620621623702e-256,75312.555,0.000999000999000999,0.0014329420579420578,True
23,T Cell,T Cell,Adenosine triphosphate,6834.66,15.406044126097513,7.453092157852583e-54,1.4136236778736923e-53,424861.03,0.000999000999000999,0.0014329420579420578,True
25,T Cell,T Cell,Amiloride-sensitive sodium transport,5406.2354,17.23392341099524,7.388951661018061e-67,1.5006764656669424e-66,31805.977,0.000999000999000999,0.0014329420579420578,True
30,T Cell,T Cell,Cadmium,1744.971,9.63469649687144,2.8530184085435174e-22,4.744693657686502e-22,1544.8596,0.000999000999000999,0.0014329420579420578,True
38,T Cell,T Cell,Cholesterol,2810.4087,6.3349573091178755,1.1870349948776385e-10,1.6411116344844462e-10,2417.3435,0.001998001998001998,0.0027213142940145907,True
41,T Cell,T Cell,Citric acid,5043.2188,27.845668204231057,6.077117745415239e-171,1.5242606804074285e-170,32567.695,0.000999000999000999,0.0014329420579420578,True
44,T Cell,T Cell,Cortisol,1831.4675,5.838327241988204,2.636375853438309e-09,3.449077365062673e-09,2232.8254,0.003996003996003996,0.005347422257043248,True
46,T Cell,T Cell,Cyclic AMP,1057.2992,5.837780199020582,2.645044079525187e-09,3.449077365062673e-09,2578.7502,0.03596403596403597,0.04560080803174726,True
50,T Cell,T Cell,D-Galactose,9085.616,25.08269688289335,3.8412064316546595e-139,9.328644191161316e-139,110056.17,0.000999000999000999,0.0014329420579420578,True
51,T Cell,T Cell,D-Glucose,8912.986,17.399152102694153,4.186658598236228e-68,8.540783540401904e-68,113118.5,0.000999000999000999,0.0014329420579420578,True
53,T Cell,T Cell,D-Maltose,2819.1514,15.565684829397393,6.226504773491464e-55,1.1858778800965072e-54,25348.184,0.026973026973026972,0.034582735700054136,True
54,T Cell,T Cell,D-Mannose,9085.616,25.08269688289335,3.8412064316546595e-139,9.328644191161316e-139,110056.17,0.000999000999000999,0.0014329420579420578,True
