gene,tf,cell_type,mean,std,n
CD3E,MYEF2,Gamma delta T cell,-0.20743357,0.16883269,2417
CD3E,NR3C1,Gamma delta T cell,-0.5802302,0.20904215,2417
CD3E,PDX1,Gamma delta T cell,0.341114,0.037269846,2417
CD3E,PITX1,Gamma delta T cell,0.10291323,0.008782846,2417
CD3E,POU1F1,Gamma delta T cell,-0.34810212,0.038506616,2417
CD3E,POU2F1,Gamma delta T cell,-0.14052689,0.10611627,2417
CD3E,PPARGC1A,Gamma delta T cell,-0.45917988,0.04387628,2417
CD3E,RUNX1,Gamma delta T cell,0.0004973213,0.008495022,2417
CD3E,SIN3A,Gamma delta T cell,1.3072144,0.14432126,2417
CD3E,SMAD4,Gamma delta T cell,-0.58603954,0.06161292,2417
CD3E,STAT1,Gamma delta T cell,-0.13038716,0.02704254,2417
CD3E,STAT3,Gamma delta T cell,-0.82866955,0.11859168,2417
CD3E,STAT5A,Gamma delta T cell,0.43580565,0.044501018,2417
CD3E,STAT5B,Gamma delta T cell,1.9242269,0.2186869,2417
CD3E,TCF7L2,Gamma delta T cell,-1.7162719,0.19287924,2417
CD3E,THRA,Gamma delta T cell,0.6977139,0.38798755,2417
CD3E,THRB,Gamma delta T cell,-0.86672467,0.100007385,2417
CD3E,ZBTB1,Gamma delta T cell,2.4285767,0.2686074,2417
CD3E,ARID3B,ISG CD8 T cell,0.38045654,0.040039226,239
CD3E,BCL6,ISG CD8 T cell,-2.193124,0.29659364,239
CD3E,BCL6B,ISG CD8 T cell,-0.48444623,0.0588101,239
CD3E,CTCF,ISG CD8 T cell,0.20381509,0.026063766,239
CD3E,EHF,ISG CD8 T cell,0.032571826,0.017414482,239
CD3E,ELK4,ISG CD8 T cell,1.4384719,0.24291958,239
CD3E,EP300,ISG CD8 T cell,0.22911248,0.08206298,239
CD3E,ESRRA,ISG CD8 T cell,-0.4385941,0.19676086,239
CD3E,ETV5,ISG CD8 T cell,-0.84683526,0.10113731,239
CD3E,FLI1,ISG CD8 T cell,2.4294553,0.31235743,239
CD3E,FOXA1,ISG CD8 T cell,0.3702934,0.050141323,239
CD3E,FOXD2,ISG CD8 T cell,0.099887446,0.056592524,239
CD3E,FOXI1,ISG CD8 T cell,-0.0296377,0.0059097884,239
CD3E,FOXJ2,ISG CD8 T cell,0.013113488,0.023721669,239
CD3E,FOXL2,ISG CD8 T cell,0.16923341,0.022903403,239
CD3E,FOXO1,ISG CD8 T cell,0.10140063,0.06389404,239
CD3E,FOXO3,ISG CD8 T cell,-0.3439848,0.025856411,239
CD3E,FOXO4,ISG CD8 T cell,2.7680511,0.40022463,239
CD3E,GATA1,ISG CD8 T cell,-0.21043119,0.039497916,239
CD3E,GATA2,ISG CD8 T cell,-0.67556274,0.090173505,239
CD3E,GATA3,ISG CD8 T cell,2.2777565,0.33703682,239
CD3E,HOXA5,ISG CD8 T cell,-0.5504739,0.1270326,239
CD3E,HOXB4,ISG CD8 T cell,-0.4664442,0.06114491,239
CD3E,HOXB6,ISG CD8 T cell,0.43270168,0.07327863,239
CD3E,HOXB7,ISG CD8 T cell,-0.027485536,0.012050753,239
CD3E,HOXB9,ISG CD8 T cell,0.014287282,0.016915308,239
