gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,CXCL16,CXCR6,CXCL16$CXCR6,Effector CD8 T cell,0.0009187039,0.00013716001,4715
CD3E,IL7,IL2RG,IL7$IL2RG,Effector CD8 T cell,0.0005666118,9.929744e-05,4715
CD3E,IL15,IL2RB,IL15$IL2RB,Effector CD8 T cell,6.436248e-05,5.686306e-05,4715
CD3E,IL15,IL2RG,IL15$IL2RG,Effector CD8 T cell,0.0011364046,0.00016376832,4715
CD3E,IL21,IL2RG,IL21$IL2RG,Effector CD8 T cell,-2.4693646e-08,1.3638236e-08,4715
CD3E,IL6,IL6R,IL6$IL6R,Effector CD8 T cell,-1.3531913e-05,8.139234e-06,4715
CD3E,IL6,IL6ST,IL6$IL6ST,Effector CD8 T cell,-7.670408e-05,2.7921727e-05,4715
CD3E,IL11,IL6ST,IL11$IL6ST,Effector CD8 T cell,-9.083833e-08,4.9185136e-08,4715
CD3E,CNTF,IL6ST,CNTF$IL6ST,Effector CD8 T cell,4.4011514e-07,3.0993888e-07,4715
CD3E,IL1B,IL1R1,IL1B$IL1R1,Effector CD8 T cell,-1.7816565e-05,5.8533597e-06,4715
CD3E,IL18,IL18R1,IL18$IL18R1,Effector CD8 T cell,-2.080045e-08,6.1768324e-09,4715
CD3E,CSF1,CSF1R,CSF1$CSF1R,Effector CD8 T cell,-4.2283013e-05,4.9006012e-05,4715
CD3E,IL16,CD4,IL16$CD4,Effector CD8 T cell,-0.0020464004,0.00026134844,4715
CD3E,IFNG,IFNGR1,IFNG$IFNGR1,Effector CD8 T cell,5.510631e-09,1.4337798e-09,4715
CD3E,IFNG,IFNGR2,IFNG$IFNGR2,Effector CD8 T cell,-1.7882014e-07,4.5990795e-08,4715
CD3E,LTA,TNFRSF1B,LTA$TNFRSF1B,Effector CD8 T cell,-4.2178894e-07,1.9813066e-07,4715
CD3E,TNFSF14,LTBR,TNFSF14$LTBR,Effector CD8 T cell,-2.8489653e-08,3.0226406e-08,4715
CD3E,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,Effector CD8 T cell,1.609164e-07,1.14758144e-07,4715
CD3E,FASLG,FAS,FASLG$FAS,Effector CD8 T cell,-1.5986944e-07,6.5396776e-08,4715
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Effector CD8 T cell,0.00015616405,3.703636e-05,4715
CD3E,TNFSF12,TNFRSF12A,TNFSF12$TNFRSF12A,Effector CD8 T cell,-1.8511846e-06,1.1599147e-06,4715
CD3E,CD70,CD27,CD70$CD27,Effector CD8 T cell,1.4254343e-05,1.0075872e-05,4715
CD3E,TNFSF9,TNFRSF9,TNFSF9$TNFRSF9,Effector CD8 T cell,1.1979351e-07,7.8502765e-08,4715
CD3E,TNFSF13B,TNFRSF13C,TNFSF13B$TNFRSF13C,Effector CD8 T cell,-2.4351075e-06,1.2331556e-06,4715
CD3E,CD40LG,ITGB2,CD40LG$ITGB2,Effector CD8 T cell,1.3252558e-05,2.6268046e-06,4715
CD3E,ANGPTL2,ITGA5,ANGPTL2$ITGA5,Effector CD8 T cell,-3.188176e-05,1.1244255e-05,4715
CD3E,ANGPTL2,TLR4,ANGPTL2$TLR4,Effector CD8 T cell,-0.00017016543,4.0863608e-05,4715
CD3E,ANGPTL4,ITGA5,ANGPTL4$ITGA5,Effector CD8 T cell,-1.937978e-06,7.185196e-07,4715
CD3E,ANGPTL4,ITGAV,ANGPTL4$ITGAV,Effector CD8 T cell,-4.3548016e-07,1.755723e-07,4715
CD3E,ANGPTL4,ITGB3,ANGPTL4$ITGB3,Effector CD8 T cell,-5.83209e-09,1.4589765e-09,4715
CD3E,ANGPTL4,CDH5,ANGPTL4$CDH5,Effector CD8 T cell,0.0,0.0,4715
CD3E,ANGPTL4,CDH11,ANGPTL4$CDH11,Effector CD8 T cell,-5.6789908e-05,4.0249866e-05,4715
CD3E,ANGPTL4,SDC2,ANGPTL4$SDC2,Effector CD8 T cell,-4.8125814e-05,1.137381e-05,4715
CD3E,ANGPTL4,SDC3,ANGPTL4$SDC3,Effector CD8 T cell,-6.420282e-07,2.2789408e-07,4715
CD3E,ANGPT2,ITGA5,ANGPT2$ITGA5,Effector CD8 T cell,-5.484783e-08,1.811302e-08,4715
CD3E,POSTN,ITGAV,POSTN$ITGAV,Effector CD8 T cell,-0.0029626056,0.00030484982,4715
CD3E,POSTN,ITGB3,POSTN$ITGB3,Effector CD8 T cell,-0.0004635505,8.414643e-05,4715
CD3E,POSTN,ITGB5,POSTN$ITGB5,Effector CD8 T cell,-0.008764712,0.00061774027,4715
CD3E,C4A,C3AR1,C4A$C3AR1,Effector CD8 T cell,-1.2158328e-08,1.8657367e-09,4715
CD3E,CTSG,F2R,CTSG$F2R,Effector CD8 T cell,8.9480634e-10,1.0512978e-09,4715
CD3E,GZMA,F2R,GZMA$F2R,Effector CD8 T cell,4.81772e-05,1.32996365e-05,4715
CD3E,GZMA,F2RL1,GZMA$F2RL1,Effector CD8 T cell,-2.586276e-08,9.61862e-09,4715
CD3E,GZMA,PARD3,GZMA$PARD3,Effector CD8 T cell,-3.60765e-08,3.003466e-08,4715
CD3E,HGF,MET,HGF$MET,Effector CD8 T cell,2.4098345e-08,1.3127084e-08,4715
CD3E,SEMA3A,NRP1,SEMA3A$NRP1,Effector CD8 T cell,-3.073877e-05,8.921619e-06,4715
CD3E,SEMA3C,NRP1,SEMA3C$NRP1,Effector CD8 T cell,-0.00089564483,0.00018052766,4715
CD3E,SEMA3C,NRP2,SEMA3C$NRP2,Effector CD8 T cell,-7.126687e-05,8.8786175e-05,4715
CD3E,ADM,CALCRL,ADM$CALCRL,Effector CD8 T cell,0.0,0.0,4715
CD3E,APELA,APLNR,APELA$APLNR,Effector CD8 T cell,0.0,0.0,4715
CD3E,GAS6,AXL,GAS6$AXL,Effector CD8 T cell,-0.0009715085,0.00011763531,4715
CD3E,GAS6,MERTK,GAS6$MERTK,Effector CD8 T cell,-5.5422744e-05,8.226484e-06,4715
CD3E,GAS6,TYRO3,GAS6$TYRO3,Effector CD8 T cell,-8.761821e-09,2.62986e-09,4715
CD3E,GRN,SORT1,GRN$SORT1,Effector CD8 T cell,-3.6961683e-05,6.5436407e-06,4715
CD3E,PROS1,AXL,PROS1$AXL,Effector CD8 T cell,-0.0011161198,0.00020150705,4715
CD3E,PROS1,TYRO3,PROS1$TYRO3,Effector CD8 T cell,-1.5111819e-05,3.3528743e-06,4715
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,Effector CD8 T cell,1.2439e-07,2.3138934e-08,4715
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,Effector CD8 T cell,2.8349315e-05,2.2495477e-05,4715
CD3E,LGALS9,CD44,LGALS9$CD44,Effector CD8 T cell,0.0006714001,0.00011945621,4715
CD3E,COL4A1,ITGA1,COL4A1$ITGA1,Effector CD8 T cell,0.0,0.0,4715
CD3E,COL4A2,ITGA1,COL4A2$ITGA1,Effector CD8 T cell,0.0,0.0,4715
CD3E,LAMC1,ITGA3,LAMC1$ITGA3,Effector CD8 T cell,1.1143741e-06,3.6003536e-07,4715
CD3E,THBS1,ITGA3,THBS1$ITGA3,Effector CD8 T cell,-2.7101514e-08,1.626376e-08,4715
CD3E,THBS2,ITGA3,THBS2$ITGA3,Effector CD8 T cell,1.06995e-07,8.8509076e-08,4715
CD3E,COL4A1,ITGA3,COL4A1$ITGA3,Effector CD8 T cell,6.8307465e-08,2.4098206e-08,4715
CD3E,COL4A2,ITGA3,COL4A2$ITGA3,Effector CD8 T cell,0.0,0.0,4715
