gene,ligand,tf,pair,cell_type,mean,std,n
CD3E,EBI3,CTCF,EBI3#CTCF,Effector CD8 T cell,-3.5452181e-09,3.9120667e-09,4715
CD3E,CSF1,ETV5,CSF1#ETV5,Effector CD8 T cell,1.464773e-07,1.1942305e-07,4715
CD3E,IL15,ETV5,IL15#ETV5,Effector CD8 T cell,1.2343212e-07,9.2730794e-08,4715
CD3E,IL6,FLI1,IL6#FLI1,Effector CD8 T cell,8.3296e-08,4.18242e-08,4715
CD3E,CXCL12,FOXJ2,CXCL12#FOXJ2,Effector CD8 T cell,-4.3823482e-07,3.2469134e-07,4715
CD3E,TGFB3,FOXO1,TGFB3#FOXO1,Effector CD8 T cell,-4.4741224e-08,2.4302912e-08,4715
CD3E,TNFSF9,HOXB7,TNFSF9#HOXB7,Effector CD8 T cell,2.0763832e-07,1.9900396e-07,4715
CD3E,IL18,HOXB7,IL18#HOXB7,Effector CD8 T cell,4.241115e-06,1.0983692e-06,4715
CD3E,HBEGF,HOXB7,HBEGF#HOXB7,Effector CD8 T cell,2.867284e-07,1.7845312e-07,4715
CD3E,CXCL12,HOXB7,CXCL12#HOXB7,Effector CD8 T cell,-3.7402624e-05,6.3058565e-06,4715
CD3E,POSTN,POU1F1,POSTN#POU1F1,Effector CD8 T cell,-1.6551246e-08,1.4645796e-08,4715
CD3E,PDGFA,POU2F1,PDGFA#POU2F1,Effector CD8 T cell,4.818609e-09,2.0435922e-09,4715
CD3E,FGF2,RUNX1,FGF2#RUNX1,Effector CD8 T cell,8.174251e-08,1.3407901e-08,4715
CD3E,IL18,SIN3A,IL18#SIN3A,Effector CD8 T cell,-7.207795e-08,2.5854623e-08,4715
CD3E,CXCL12,SIN3A,CXCL12#SIN3A,Effector CD8 T cell,-3.4488223e-06,1.5955637e-06,4715
CD3E,EBI3,SIN3A,EBI3#SIN3A,Effector CD8 T cell,2.4241464e-09,3.9574624e-10,4715
CD3E,IFNG,STAT1,IFNG#STAT1,Effector CD8 T cell,-1.0574062e-07,5.3440488e-08,4715
CD3E,IL6,STAT3,IL6#STAT3,Effector CD8 T cell,-9.852088e-07,2.9454293e-07,4715
CD3E,TNFSF12,STAT5A,TNFSF12#STAT5A,Effector CD8 T cell,2.3000352e-07,1.5801139e-07,4715
CD3E,TNFSF12,TCF7L2,TNFSF12#TCF7L2,Effector CD8 T cell,-1.02061705e-07,1.7526434e-08,4715
CD3E,VEGFC,ZBTB1,VEGFC#ZBTB1,Effector CD8 T cell,-2.880544e-08,4.145875e-09,4715
CD3E,EBI3,CTCF,EBI3#CTCF,Gamma delta T cell,-3.0401168e-09,3.6252603e-09,2417
CD3E,CSF1,ETV5,CSF1#ETV5,Gamma delta T cell,1.3052184e-07,1.18138246e-07,2417
CD3E,IL15,ETV5,IL15#ETV5,Gamma delta T cell,1.17957356e-07,8.8890765e-08,2417
CD3E,IL6,FLI1,IL6#FLI1,Gamma delta T cell,7.763015e-08,4.3237147e-08,2417
CD3E,CXCL12,FOXJ2,CXCL12#FOXJ2,Gamma delta T cell,-4.2256974e-07,3.2358773e-07,2417
CD3E,TGFB3,FOXO1,TGFB3#FOXO1,Gamma delta T cell,-4.243116e-08,2.563608e-08,2417
CD3E,TNFSF9,HOXB7,TNFSF9#HOXB7,Gamma delta T cell,1.7975178e-07,1.8926382e-07,2417
CD3E,IL18,HOXB7,IL18#HOXB7,Gamma delta T cell,4.16006e-06,1.1878893e-06,2417
CD3E,HBEGF,HOXB7,HBEGF#HOXB7,Gamma delta T cell,3.0006413e-07,1.8732494e-07,2417
CD3E,CXCL12,HOXB7,CXCL12#HOXB7,Gamma delta T cell,-3.77385e-05,6.8796344e-06,2417
CD3E,POSTN,POU1F1,POSTN#POU1F1,Gamma delta T cell,-1.4258208e-08,1.4034187e-08,2417
CD3E,PDGFA,POU2F1,PDGFA#POU2F1,Gamma delta T cell,4.8839093e-09,2.190186e-09,2417
CD3E,FGF2,RUNX1,FGF2#RUNX1,Gamma delta T cell,8.2154294e-08,1.4817052e-08,2417
CD3E,IL18,SIN3A,IL18#SIN3A,Gamma delta T cell,-7.280351e-08,2.6527786e-08,2417
CD3E,CXCL12,SIN3A,CXCL12#SIN3A,Gamma delta T cell,-3.5639423e-06,1.6670042e-06,2417
CD3E,EBI3,SIN3A,EBI3#SIN3A,Gamma delta T cell,2.4452276e-09,4.3398887e-10,2417
CD3E,IFNG,STAT1,IFNG#STAT1,Gamma delta T cell,-9.841917e-08,5.4807646e-08,2417
CD3E,IL6,STAT3,IL6#STAT3,Gamma delta T cell,-1.0086352e-06,2.9924283e-07,2417
CD3E,TNFSF12,STAT5A,TNFSF12#STAT5A,Gamma delta T cell,2.0585058e-07,1.5929865e-07,2417
CD3E,TNFSF12,TCF7L2,TNFSF12#TCF7L2,Gamma delta T cell,-1.0021036e-07,1.9805789e-08,2417
