gene,metabolite,cell_type,mean,std,n
ENTPD1,L-Cystine,other,1.0914259e-06,4.197674e-06,103187
ENTPD1,L-Lactate,other,1.05432e-06,4.104793e-06,103187
ENTPD1,Neurotransmitter,other,1.5296107e-08,6.4581094e-08,103187
ENTPD1,Nicotinate,other,-2.5552563e-07,6.1758976e-07,103187
ENTPD1,Sodium,other,9.241102e-05,0.00038451765,103187
ENTPD1,Taurocholic acid,other,4.9603113e-06,2.3283275e-05,103187
ENTPD1,Vitamin D3,other,2.5816166e-07,5.703274e-07,103187
ENTPD1,alpha-Tocopherol,other,1.9020893e-08,7.949858e-08,103187
HAVCR2,25-Hydroxycholesterol,Effector CD8 T cell,1.0858558e-05,0.00037270924,4715
HAVCR2,Acetate,Effector CD8 T cell,3.908975e-06,0.00013416803,4715
HAVCR2,Adenine,Effector CD8 T cell,8.686955e-08,3.1847812e-06,4715
HAVCR2,Adenosine|Cytidine|Guanosine|Inosine|Thymidine|Uridine,Effector CD8 T cell,4.418233e-07,1.51726e-05,4715
HAVCR2,Adenosine diphosphate ribose,Effector CD8 T cell,-1.9922444e-08,7.140608e-07,4715
HAVCR2,Adenosine triphosphate,Effector CD8 T cell,1.6460809e-06,5.6516506e-05,4715
HAVCR2,Cadmium|Manganese,Effector CD8 T cell,1.8466375e-09,6.395e-08,4715
HAVCR2,Chloride,Effector CD8 T cell,3.120244e-07,1.1076826e-05,4715
HAVCR2,Cholesterol,Effector CD8 T cell,7.206955e-06,0.0002477628,4715
HAVCR2,Citric acid|Oxalic acid,Effector CD8 T cell,1.9425572e-06,6.6694614e-05,4715
HAVCR2,D-Galactose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid,Effector CD8 T cell,1.6225065e-05,0.00055705116,4715
HAVCR2,D-Glucose,Effector CD8 T cell,1.6751657e-05,0.00057506864,4715
HAVCR2,D-Maltose|D-Xylose,Effector CD8 T cell,6.6187454e-06,0.00022746655,4715
HAVCR2,Estradiol,Effector CD8 T cell,1.9700976e-06,6.7653375e-05,4715
HAVCR2,Ethanol,Effector CD8 T cell,7.454746e-07,2.5600142e-05,4715
HAVCR2,Fatty acid,Effector CD8 T cell,5.9870174e-05,0.002054865,4715
HAVCR2,Folic acid,Effector CD8 T cell,-2.3820492e-08,8.3190184e-07,4715
HAVCR2,Glutathione,Effector CD8 T cell,9.205466e-09,3.226509e-07,4715
HAVCR2,Heme,Effector CD8 T cell,5.97763e-07,2.1320518e-05,4715
HAVCR2,Iron,Effector CD8 T cell,1.5344996e-07,5.275792e-06,4715
HAVCR2,L-Arginine|L-Histidine|L-Tyrosine,Effector CD8 T cell,1.2926743e-07,4.43879e-06,4715
HAVCR2,L-Cystine,Effector CD8 T cell,1.9093434e-07,6.8681184e-06,4715
HAVCR2,L-Lactate,Effector CD8 T cell,1.9989781e-07,6.939481e-06,4715
HAVCR2,L-Methionine|L-Phenylalanine,Effector CD8 T cell,5.746843e-08,1.9759702e-06,4715
HAVCR2,Neurotransmitter,Effector CD8 T cell,1.2124084e-07,4.1681915e-06,4715
HAVCR2,Nicotinate,Effector CD8 T cell,2.4930935e-06,8.558332e-05,4715
HAVCR2,Sodium,Effector CD8 T cell,2.6476005e-06,9.112315e-05,4715
HAVCR2,Taurocholic acid,Effector CD8 T cell,4.319294e-06,0.00014825014,4715
HAVCR2,Vitamin D3,Effector CD8 T cell,6.841782e-06,0.00023532867,4715
HAVCR2,Zinc,Effector CD8 T cell,2.5755003e-09,8.843622e-08,4715
HAVCR2,alpha-Tocopherol,Effector CD8 T cell,3.5207243e-08,1.2688553e-06,4715
HAVCR2,25-Hydroxycholesterol,Gamma delta T cell,8.1949285e-05,0.0010133468,2417
HAVCR2,Acetate,Gamma delta T cell,3.0172576e-05,0.0003701653,2417
HAVCR2,Adenine,Gamma delta T cell,6.7997104e-07,8.74247e-06,2417
HAVCR2,Adenosine|Cytidine|Guanosine|Inosine|Thymidine|Uridine,Gamma delta T cell,3.6196616e-06,4.4776378e-05,2417
HAVCR2,Adenosine diphosphate ribose,Gamma delta T cell,-1.5407784e-07,1.9691342e-06,2417
HAVCR2,Adenosine triphosphate,Gamma delta T cell,1.2770888e-05,0.00015708721,2417
HAVCR2,Cadmium|Manganese,Gamma delta T cell,1.197238e-08,1.5438681e-07,2417
HAVCR2,Chloride,Gamma delta T cell,2.674882e-06,3.471985e-05,2417
HAVCR2,Cholesterol,Gamma delta T cell,5.5814664e-05,0.0006853324,2417
HAVCR2,Citric acid|Oxalic acid,Gamma delta T cell,1.5165053e-05,0.00018599168,2417
HAVCR2,D-Galactose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid,Gamma delta T cell,0.0001259877,0.0015443296,2417
HAVCR2,D-Glucose,Gamma delta T cell,0.00012720912,0.0015640947,2417
HAVCR2,D-Maltose|D-Xylose,Gamma delta T cell,5.0735132e-05,0.00062530994,2417
HAVCR2,Estradiol,Gamma delta T cell,1.525654e-05,0.00018714787,2417
HAVCR2,Ethanol,Gamma delta T cell,6.0193615e-06,7.399874e-05,2417
HAVCR2,Fatty acid,Gamma delta T cell,0.00046579287,0.0057075894,2417
HAVCR2,Folic acid,Gamma delta T cell,-2.1753915e-07,2.7341964e-06,2417
HAVCR2,Glutathione,Gamma delta T cell,7.880615e-08,9.751989e-07,2417
HAVCR2,Heme,Gamma delta T cell,4.8630363e-06,6.159261e-05,2417
HAVCR2,Iron,Gamma delta T cell,1.2290857e-06,1.5179591e-05,2417
HAVCR2,L-Arginine|L-Histidine|L-Tyrosine,Gamma delta T cell,9.786027e-07,1.2229932e-05,2417
HAVCR2,L-Cystine,Gamma delta T cell,1.4037302e-06,1.7692166e-05,2417
HAVCR2,L-Lactate,Gamma delta T cell,1.5898233e-06,1.9836816e-05,2417
HAVCR2,L-Methionine|L-Phenylalanine,Gamma delta T cell,4.3831963e-07,5.4522948e-06,2417
HAVCR2,Neurotransmitter,Gamma delta T cell,9.3505383e-07,1.1529955e-05,2417
HAVCR2,Nicotinate,Gamma delta T cell,1.9213943e-05,0.00023579161,2417
HAVCR2,Sodium,Gamma delta T cell,2.0366802e-05,0.0002504679,2417
HAVCR2,Taurocholic acid,Gamma delta T cell,3.3496515e-05,0.00041052833,2417
HAVCR2,Vitamin D3,Gamma delta T cell,5.3385156e-05,0.0006553383,2417
HAVCR2,Zinc,Gamma delta T cell,2.1434515e-08,2.700356e-07,2417
