sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
Human_Cervical_Cancer,Tier1,other,other,SLC7A5,SLC7A5,within_other,L-Arginine | L-Glutamine | L-Histidine | L-Leucine | L-Methionine | L-Phenylalanine | L-Tyrosine,0.0032674092824468,0.0009990009990009,8284.191
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC38A7,within_other,L-Glutamine,0.0032674092824468,0.0009990009990009,55947.387
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC7A5,within_other,L-Glutamine | L-Leucine,0.0032674092824468,0.0009990009990009,14012.659
Human_Cervical_Cancer,Tier1,other,other,SLC3A2,SLC7A5,within_other,L-Glutamine | L-Leucine,0.0032674092824468,0.0009990009990009,573772.56
Human_Cervical_Cancer,Tier1,other,other,SLC43A2,SLC43A2,within_other,L-Cysteine | L-Isoleucine | L-Leucine | L-Methionine | L-Phenylalanine | L-Valine,0.0032674092824468,0.0009990009990009,6484.7383
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC7A11,within_other,L-Cysteine | L-Glutamate,0.0032674092824468,0.0009990009990009,4611.814
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC43A2,within_other,L-Cysteine | L-Leucine,0.0032674092824468,0.0009990009990009,36447.812
Human_Cervical_Cancer,Tier1,other,other,SLC16A1,SLC16A1,within_other,4-ene-Valproic acid | Acetate | Butyrate | D-Lactate | Ketone bodies | L-Glutamate | L-Lactate | Nicotinate | Pyruvate | Taurocholic acid | alpha-Ketoisovaleric acid,0.0032674092824468,0.0009990009990009,12183.476
Human_Cervical_Cancer,Tier1,other,other,SLCO2A1,SLCO2A1,within_other,Arachidonic acid | Eicosanoid | Prostaglandins | Pyruvate,0.0032674092824468,0.0009990009990009,638622.44
Human_Cervical_Cancer,Tier1,other,other,SLC16A1,SLC22A5,within_other,4-ene-Valproic acid | Nicotinate,0.0032674092824468,0.0009990009990009,3910.3596
Human_Cervical_Cancer,Tier1,other,other,SLC22A5,SLC22A5,within_other,4-ene-Valproic acid | Acetyl-L-Carnitine | Choline | Creatine | Dopamine | Histamine | L-Carnitine | Nicotinate | Norepinephrine | O-Desmethylverapamil (D-702) | Sodium,0.0032674092824468,0.0009990009990009,4106.806
Human_Cervical_Cancer,Tier1,other,other,SLCO2B1,SLCO2B1,within_other,Acetate | Citric acid | Estradiol | Nicotinate | Oxalic acid | Taurocholic acid,0.0032674092824468,0.0009990009990009,21195.473
Human_Cervical_Cancer,Tier1,other,other,SLC1A3,SLC1A3,within_other,D-Aspartate | L-Aspartate | L-Glutamate | Malic acid,0.0032674092824468,0.0009990009990009,1936.819
Human_Cervical_Cancer,Tier1,other,other,SLC1A1,SLC1A1,within_other,L-Glutamate,0.0032674092824468,0.0009990009990009,13486.022
Human_Cervical_Cancer,Tier1,other,other,SLC16A1,SLC1A3,within_other,L-Glutamate,0.0032674092824468,0.0009990009990009,7901.9023
Human_Cervical_Cancer,Tier1,other,other,SLC1A3,SLC1A5,within_other,L-Glutamate,0.0032674092824468,0.0009990009990009,13738.116
Human_Cervical_Cancer,Tier1,other,other,SLC1A2,SLC1A5,within_other,L-Glutamate,0.0032674092824468,0.0009990009990009,440.2886
Human_Cervical_Cancer,Tier1,other,other,SLC16A1,SLC3A2,within_other,L-Glutamate,0.0032674092824468,0.0009990009990009,1735.2865
Human_Cervical_Cancer,Tier1,other,other,SLC16A1,SLC1A5,within_other,L-Glutamate,0.0032674092824468,0.0009990009990009,60014.723
Human_Cervical_Cancer,Tier1,other,other,SLC1A3,SLC3A2,within_other,L-Glutamate,0.0032674092824468,0.0009990009990009,3490.3674
Human_Cervical_Cancer,Tier1,other,other,SLC1A2,SLC3A2,within_other,L-Glutamate,0.0032674092824468,0.0009990009990009,2643.206
Human_Cervical_Cancer,Tier1,other,other,SLC39A8,SLC39A8,within_other,Cadmium | Manganese | Zinc,0.0032674092824468,0.0009990009990009,77636.875
Human_Cervical_Cancer,Tier1,other,other,SLC11A2,SLC3A2,within_other,Iron,0.0032674092824468,0.0009990009990009,83059.38
Human_Cervical_Cancer,Tier1,other,other,SLC11A2,SLC40A1,within_other,Iron,0.0032674092824468,0.0009990009990009,38425.45
Human_Cervical_Cancer,Tier1,other,other,SLC3A2,SLC40A1,within_other,Iron,0.0032674092824468,0.0009990009990009,5088.853
Human_Cervical_Cancer,Tier1,other,other,SLC40A1,SLC40A1,within_other,Iron,0.0032674092824468,0.0009990009990009,132198.66
Human_Cervical_Cancer,Tier1,other,other,SLC11A2,SLC11A2,within_other,Iron,0.0032674092824468,0.0009990009990009,44008.887
Human_Cervical_Cancer,Tier1,other,other,CUBN,SLC40A1,within_other,Iron,0.0032674092824468,0.0009990009990009,508796.1
Human_Cervical_Cancer,Tier1,other,other,SLC16A9,SLC16A9,within_other,L-Carnitine,0.0032674092824468,0.0009990009990009,4779.288
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC22A5,within_other,Sodium,0.0032674092824468,0.0009990009990009,34371.89
Human_Cervical_Cancer,Tier1,other,other,SLC12A2,SLC5A5,within_other,Sodium,0.0032674092824468,0.0009990009990009,2325.5186
Human_Cervical_Cancer,Tier1,other,other,SLC12A2,SLC29A1,within_other,Sodium,0.0032674092824468,0.0009990009990009,12326.364
Human_Cervical_Cancer,Tier1,other,other,SLC12A2,SLC5A1,within_other,Sodium,0.0032674092824468,0.0009990009990009,2070.2642
Human_Cervical_Cancer,Tier1,other,other,SLC22A5,SLC5A3,within_other,Sodium,0.0032674092824468,0.0009990009990009,6787.329
Human_Cervical_Cancer,Tier1,other,other,SLC12A2,SLC12A2,within_other,Chloride ion | Sodium,0.0032674092824468,0.0009990009990009,17226.225
Human_Cervical_Cancer,Tier1,other,other,SLC29A1,SLC5A3,within_other,Sodium,0.0032674092824468,0.0009990009990009,16630.514
Human_Cervical_Cancer,Tier1,other,other,SLC12A2,SLC22A5,within_other,Sodium,0.0032674092824468,0.0009990009990009,6121.055
Human_Cervical_Cancer,Tier1,other,other,SLC5A1,SLC5A5,within_other,Sodium | Urea,0.0032674092824468,0.0009990009990009,1133.2406
Human_Cervical_Cancer,Tier1,other,other,SLC5A1,SLC5A1,within_other,Sodium | Urea,0.0032674092824468,0.0009990009990009,2469.7034
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC5A3,within_other,Sodium,0.0032674092824468,0.0009990009990009,98253.09
Human_Cervical_Cancer,Tier1,other,other,SLC5A3,SLC5A3,within_other,Sodium,0.0032674092824468,0.0009990009990009,34182.047
Human_Cervical_Cancer,Tier1,other,other,SLC12A2,SLC5A3,within_other,Sodium,0.0032674092824468,0.0009990009990009,15000.384
Human_Cervical_Cancer,Tier1,other,other,SLC22A5,SLC5A5,within_other,Sodium,0.0032674092824468,0.0009990009990009,1937.2695
Human_Cervical_Cancer,Tier1,other,other,SLC22A5,SLC29A1,within_other,Sodium,0.0032674092824468,0.0009990009990009,4650.899
Human_Cervical_Cancer,Tier1,other,other,SLC29A1,SLC29A1,within_other,Adenosine | Cytidine | Ethanol | Guanosine | Inosine | Sodium | Thymidine | Uridine,0.0032674092824468,0.0009990009990009,17352.97
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC22A4,within_other,Sodium,0.0032674092824468,0.0009990009990009,15010.729
Human_Cervical_Cancer,Tier1,other,other,SLC12A2,SLC1A5,within_other,Sodium,0.0032674092824468,0.0009990009990009,70377.914
Human_Cervical_Cancer,Tier1,other,other,SLC22A5,SLC5A1,within_other,Sodium,0.0032674092824468,0.0009990009990009,1149.9376
Human_Cervical_Cancer,Tier1,other,other,SLC1A5,SLC5A5,within_other,Sodium,0.0032674092824468,0.0009990009990009,7844.2354
