gene,metabolite,cell_type,mean,std,n
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,Enteric_glia,0.0,0.0,91
CD3E,Nicotinate,Enteric_glia,0.0,0.0,91
CD3E,L-Glutamate,Enteric_glia,0.0,0.0,91
CD3E,L-Cystine,Enteric_glia,0.0,0.0,91
CD3E,Zinc,Enteric_glia,0.0,0.0,91
CD3E,Iron,Enteric_glia,0.0,0.0,91
CD3E,Cadmium,Enteric_glia,0.0,0.0,91
CD3E,Manganese,Enteric_glia,0.0,0.0,91
CD3E,Acetyl-L-Carnitine,Enteric_glia,0.0,0.0,91
CD3E,L-Carnitine,Enteric_glia,0.0,0.0,91
CD3E,Sodium,Enteric_glia,0.0,0.0,91
CD3E,Acetate,Enteric_glia,0.0,0.0,91
CD3E,L-Leucine,Enteric_glia,0.0,0.0,91
CD3E,L-Arginine,Enteric_glia,0.0,0.0,91
CD3E,Fatty acid,Enteric_glia,0.0,0.0,91
CD3E,Creatine,Enteric_glia,0.0,0.0,91
CD3E,Choline,Enteric_glia,0.0,0.0,91
CD3E,25-Hydroxycholesterol,Enteric_glia,0.0,0.0,91
CD3E,Cholesterol,Enteric_glia,0.0,0.0,91
CD3E,Dopamine,Enteric_glia,0.0,0.0,91
CD3E,Folic acid,Enteric_glia,0.0,0.0,91
CD3E,Heme,Enteric_glia,0.0,0.0,91
CD3E,Citric acid|Oxalic acid,Enteric_glia,0.0,0.0,91
CD3E,Norepinephrine,Enteric_glia,0.0,0.0,91
CD3E,Histamine,Enteric_glia,0.0,0.0,91
CD3E,Urea,Enteric_glia,0.0,0.0,91
CD3E,Adenosine diphosphate ribose,Enteric_glia,0.0,0.0,91
CD3E,Chloride ion,Enteric_glia,0.0,0.0,91
CD3E,Taurocholic acid,Enteric_glia,0.0,0.0,91
CD3E,Cyclic AMP|Hydroxycelecoxib,Enteric_glia,0.0,0.0,91
CD3E,Cortisol|N-Desmethyltamoxifen|Hydroxylansoprazole,Enteric_glia,0.0,0.0,91
CD3E,Glutathione,Enteric_glia,0.0,0.0,91
CD3E,Glycerol|Estriol|O-Deethylated candesartan|E-3179|4-Hydroxycyclophosphamide|N-Desmethyleletriptan|8-Hydroxycarvedilol,Enteric_glia,0.0,0.0,91
CD3E,Estradiol,Enteric_glia,0.0,0.0,91
CD3E,Testosterone,Enteric_glia,0.0,0.0,91
CD3E,"3b-Hydroxy-5-cholenoic acid|1b,3a,12a-Trihydroxy-5b-cholanoic acid|3alpha,7alpha-Dihydroxycoprostanic acid|Chenodeoxycholic acid|Coprocholic acid|Deoxycholic acid|Isoursodeoxycholic acid|Hyodeoxycholic acid|Lithocholic acid|Sulfolithocholic acid|Ursocholic acid|Ursodeoxycholic acid|Trihydroxycoprostanoic acid|Varanic acid|(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid|Glycochenodeoxycholate-3-sulfate|3-Sulfodeoxycholic acid|Chenodeoxycholic acid 3-sulfate|Ursodeoxycholic acid 3-sulfate",Enteric_glia,0.0,0.0,91
CD3E,Adenosine triphosphate,Enteric_glia,0.0,0.0,91
CD3E,Cholic acid,Enteric_glia,0.0,0.0,91
CD3E,Leukotriene C4,Enteric_glia,0.0,0.0,91
CD3E,ADP,Enteric_glia,0.0,0.0,91
CD3E,Folinic acid,Enteric_glia,0.0,0.0,91
CD3E,Progesterone,Enteric_glia,0.0,0.0,91
CD3E,17a-Ethynylestradiol,Enteric_glia,0.0,0.0,91
CD3E,Water,Enteric_glia,0.0,0.0,91
CD3E,N-desmethylimatinib,Enteric_glia,0.0,0.0,91
CD3E,"3',4'-Dihydrodiol",Enteric_glia,0.0,0.0,91
CD3E,4-ene-Valproic acid,Enteric_glia,0.0,0.0,91
CD3E,O-Desmethylverapamil (D-702),Enteric_glia,0.0,0.0,91
CD3E,4'-Hydroxydiclofenac,Enteric_glia,0.0,0.0,91
CD3E,5-Hydroxyomeprazole,Enteric_glia,0.0,0.0,91
CD3E,N-Desmethylcitalopram,Enteric_glia,0.0,0.0,91
CD3E,2-Hydroxychlorpropamide,Enteric_glia,0.0,0.0,91
CD3E,Chloride,Enteric_glia,0.0,0.0,91
CD3E,Sodium_hydrogen exchange,Enteric_glia,0.0,0.0,91
CD3E,Anion exchange,Enteric_glia,0.0,0.0,91
CD3E,Calcium release-activated calcium transport,Enteric_glia,0.0,0.0,91
CD3E,Amiloride-sensitive sodium transport,Enteric_glia,0.0,0.0,91
CD3E,D-Glucose,Fibroblast,0.0,0.0,811
CD3E,D-Galactose|D-Mannose,Fibroblast,0.0,0.0,811
CD3E,Glucosamine,Fibroblast,0.0,0.0,811
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,Fibroblast,0.0,0.0,811
CD3E,L-Glutamine,Fibroblast,0.0,0.0,811
CD3E,L-Alanine|L-Asparagine|L-Threonine,Fibroblast,0.0,0.0,811
CD3E,L-Cysteine,Fibroblast,0.0,0.0,811
CD3E,L-Serine,Fibroblast,0.0,0.0,811
CD3E,L-Lactate,Fibroblast,0.0,0.0,811
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,Fibroblast,0.0,0.0,811
CD3E,Nicotinate,Fibroblast,0.0,0.0,811
CD3E,L-Glutamate,Fibroblast,0.0,0.0,811
CD3E,L-Cystine,Fibroblast,0.0,0.0,811
CD3E,Zinc,Fibroblast,0.0,0.0,811
CD3E,Iron,Fibroblast,0.0,0.0,811
