gene,ligand,receptor,pair,cell_type,mean,std,n
CD4,TGFB1,TGFBR1,TGFB1$TGFBR1,Endothelial,0.0,0.0,265
CD4,TGFB1,TGFBR2,TGFB1$TGFBR2,Endothelial,0.0,0.0,265
CD4,TGFB2,TGFBR2,TGFB2$TGFBR2,Endothelial,0.0,0.0,265
CD4,TGFB3,TGFBR2,TGFB3$TGFBR2,Endothelial,0.0,0.0,265
CD4,BMP2,BMPR1A,BMP2$BMPR1A,Endothelial,0.0,0.0,265
CD4,BMP2,BMPR2,BMP2$BMPR2,Endothelial,0.0,0.0,265
CD4,BMP4,BMPR2,BMP4$BMPR2,Endothelial,0.0,0.0,265
CD4,BMP6,BMPR2,BMP6$BMPR2,Endothelial,0.0,0.0,265
CD4,BMP7,BMPR2,BMP7$BMPR2,Endothelial,0.0,0.0,265
CD4,GDF11,TGFBR1,GDF11$TGFBR1,Endothelial,0.0,0.0,265
CD4,FGF7,FGFR1,FGF7$FGFR1,Endothelial,0.0,0.0,265
CD4,PDGFA,PDGFRA,PDGFA$PDGFRA,Endothelial,0.0,0.0,265
CD4,PDGFA,PDGFRB,PDGFA$PDGFRB,Endothelial,0.0,0.0,265
CD4,PDGFB,PDGFRA,PDGFB$PDGFRA,Endothelial,0.0,0.0,265
CD4,PDGFC,PDGFRA,PDGFC$PDGFRA,Endothelial,0.0,0.0,265
CD4,PDGFD,PDGFRB,PDGFD$PDGFRB,Endothelial,0.0,0.0,265
CD4,IGF1,ITGAV,IGF1$ITGAV,Endothelial,0.0,0.0,265
CD4,IHH,PTCH1,IHH$PTCH1,Endothelial,0.0,0.0,265
CD4,IHH,SMO,IHH$SMO,Endothelial,0.0,0.0,265
CD4,CCL8,CCR1,CCL8$CCR1,Endothelial,0.0,0.0,265
CD4,CCL13,CCR1,CCL13$CCR1,Endothelial,0.0,0.0,265
CD4,CCL14,CCR1,CCL14$CCR1,Endothelial,0.0,0.0,265
CD4,CCL15,CCR1,CCL15$CCR1,Endothelial,0.0,0.0,265
CD4,CCL16,CCR1,CCL16$CCR1,Endothelial,0.0,0.0,265
CD4,CXCL12,CXCR4,CXCL12$CXCR4,Endothelial,0.0,0.0,265
CD4,CXCL12,ACKR3,CXCL12$ACKR3,Endothelial,0.0,0.0,265
CD4,IL4,IL13RA1,IL4$IL13RA1,Endothelial,0.0,0.0,265
CD4,IL13,IL13RA1,IL13$IL13RA1,Endothelial,0.0,0.0,265
CD4,CNTF,IL6ST,CNTF$IL6ST,Endothelial,0.0,0.0,265
CD4,LIF,IL6ST,LIF$IL6ST,Endothelial,0.0,0.0,265
CD4,IL34,CSF1R,IL34$CSF1R,Endothelial,0.0,0.0,265
CD4,CSF1,CSF1R,CSF1$CSF1R,Endothelial,0.0,0.0,265
CD4,LTB,LTBR,LTB$LTBR,Endothelial,0.0,0.0,265
CD4,CD40LG,ITGB2,CD40LG$ITGB2,Endothelial,0.0,0.0,265
CD4,ANGPTL2,TLR4,ANGPTL2$TLR4,Endothelial,0.0,0.0,265
CD4,ANGPTL4,ITGAV,ANGPTL4$ITGAV,Endothelial,0.0,0.0,265
CD4,ANGPTL3,ITGAV,ANGPTL3$ITGAV,Endothelial,0.0,0.0,265
CD4,POSTN,ITGAV,POSTN$ITGAV,Endothelial,0.0,0.0,265
CD4,POSTN,ITGB3,POSTN$ITGB3,Endothelial,0.0,0.0,265
CD4,POSTN,ITGB5,POSTN$ITGB5,Endothelial,0.0,0.0,265
CD4,C4A,C3AR1,C4A$C3AR1,Endothelial,0.0,0.0,265
CD4,SEMA3A,NRP1,SEMA3A$NRP1,Endothelial,0.0,0.0,265
CD4,SEMA3C,NRP1,SEMA3C$NRP1,Endothelial,0.0,0.0,265
CD4,SEMA3C,NRP2,SEMA3C$NRP2,Endothelial,0.0,0.0,265
CD4,ADM,CALCR,ADM$CALCR,Endothelial,0.0,0.0,265
CD4,GAS6,AXL,GAS6$AXL,Endothelial,0.0,0.0,265
CD4,GAS6,MERTK,GAS6$MERTK,Endothelial,0.0,0.0,265
